scene,views,independent_total_ms,shared_total_ms,speedup,shared_geometry_side_ms,shared_detector_side_ms,incremental_ms_per_view,transport_nnz,transport_density,peak_allocated_mib,peak_reserved_mib,camera_hits,absorbed_detector_bound_photons,max_output_error
sphere,1,23.598575592041016,23.216032028198242,1.0164775601350884,18.179184049367905,5.112800117582083,,722,1.3601044077932098e-06,205.4169921875,288.0,181,0,0.0
sphere,2,43.45377540588379,29.25785541534424,1.4852002919904554,18.639983907341957,10.519919969141483,6.041823387145996,1828,1.7217942226080248e-06,221.5224609375,288.0,458,0,0.0
sphere,4,85.0621566772461,38.892160415649414,2.187128608135094,18.363999783992767,20.300031941384077,4.817152500152588,3368,1.5861605420524692e-06,221.88134765625,288.0,843,0,0.0
sphere,8,171.12247467041016,66.34555053710938,2.579260753510447,18.16535985469818,47.97044773772359,6.86334753036499,6898,1.624307514708719e-06,221.89013671875,288.0,1726,0,0.0
sphere,16,337.2256164550781,108.53489303588867,3.1070709798697593,18.082752287387848,89.88271982222795,5.273667812347412,13372,1.5743867850597994e-06,221.89013671875,288.0,3346,0,0.0
sphere,20,419.2908477783203,126.20536041259766,3.3222903243376596,17.98009580373764,107.51623968407512,4.417616844177246,16414,1.5460355782214506e-06,221.89013671875,288.0,4107,0,0.0
torus,1,27.172800064086914,27.160351753234863,1.0004583265697422,20.61871999502182,6.40590413659811,,428,8.062668788580247e-07,205.4169921875,286.0,107,31,0.0
torus,2,51.71892738342285,34.81384086608887,1.4855852183147287,20.24638420343399,14.38582381233573,7.653489112854004,828,7.798936631944445e-07,221.51611328125,288.0,207,63,0.0
torus,4,96.16629028320312,47.87295913696289,2.0087809907065632,20.313999891281128,27.464064095169306,6.529559135437012,2218,1.0445677203896605e-06,221.8798828125,288.0,555,73,0.0
torus,8,190.35049438476562,73.42984008789062,2.592277119995478,20.474672377109528,52.558127861469984,6.389220237731934,5722,1.3473887502411266e-06,221.8955078125,288.0,1432,111,0.0
torus,16,377.4226989746094,115.51359939575195,3.2673442862909283,20.534816056489944,94.58505585417151,5.260469913482666,12474,1.468658447265625e-06,221.8955078125,288.0,3120,181,0.0
torus,20,466.86309814453125,141.0070571899414,3.3109200876070366,20.44902428984642,119.87515230476856,6.373364448547363,14788,1.3928825472608024e-06,221.8955078125,288.0,3699,224,0.0
