candidate_id,control_label,target_source_id,center_x,center_y,center_z,support_radius,visibility,jacobian_nnz,affected_pixels,jacobian_norm,local_residual,raw_alignment,quadratic_score,novelty_ratio,orthogonalized_score,rank_increase,actual_gain_new_only,actual_gain_joint,relative_gain_joint,geometry_error_improvement
0,redundant_control,-1,0.5763351935801926,0.38084501872345256,-0.7230455147184132,0.6,3,918,306,17.032737779709905,0.010970199383625633,2.1550817137783174e-09,1.6008792030615332e-20,3.70343438851942e-08,5.238410393371395e-37,False,1.457167719820518e-16,5.323889986861771e-06,0.0004533667348346973,1.1117632433460035e-06
1,ordinary,13,-0.40444549170479716,-0.20818645848835193,-0.8905516507995157,0.34,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,5.323889985817468e-06,0.00045336673474576745,1.1117632430859576e-06
2,known_missing_detail_control,8,0.9299836773996785,0.2780221024086948,0.24048715213586758,0.34,2,966,322,24.504117211481283,0.11711811057146862,2.6937476332899406,0.012084694876969893,0.9999965516456715,0.012084778224274333,True,0.006041964988447789,0.005946127661682854,0.5063546560015388,6.842062167481083e-06
3,ordinary,32,-0.6620970431424213,0.6071933071276675,0.4392536775502609,0.34,4,420,140,10.45262419357458,0.03260408561531083,0.22820349963276748,0.000476643777585362,0.8409024966228672,0.0006740661919288129,True,0.00023832152277163815,0.0002408199152031474,0.020507512159013804,-1.3215118569143234e-05
4,ordinary,60,-0.4733045987938461,-0.5346591832551134,0.7000873620638866,0.34,2,402,134,4.451692329152907,0.015341381977838417,0.06814725921885215,0.00023434004288476362,0.9971557083701192,0.0002356810799280391,True,0.00011717717099039675,2.719662217704269e-05,0.002315983956348964,-7.484329224510431e-06
5,ordinary,19,-0.6941291659437355,-0.06401221152152489,0.716998701367288,0.34,3,1503,501,12.920008756200705,0.02109256280997193,0.06414830565339338,2.465158021907055e-05,0.6444390923058267,5.935855141170632e-05,True,1.2326817441536339e-05,1.7814153763368035e-05,0.0015170006791034567,1.2762580827930712e-06
6,ordinary,47,0.9056742527855355,-0.15381046623607256,0.3950904811781777,0.34,2,1128,376,17.78270689544488,0.024447040440093958,0.23678746598487804,0.000177305284295973,0.5023600219689771,0.0007025730359891351,True,8.867350395306249e-05,0.0002562088083207809,0.021817984810154033,-2.1926770682479714e-05
7,ordinary,3,0.3833757517204091,0.2715355201071502,0.8827748831457263,0.34,2,1482,494,26.372575940391982,0.06124543734873113,1.4182047951422134,0.0028918302461158943,0.8706283357440435,0.003815111191881857,True,0.0014457796997657917,0.0018117444442300665,0.15428280168495054,-1.6400029972144143e-05
8,ordinary,52,0.22609857504239012,-0.7378951416344619,-0.6359168139906808,0.34,1,72,24,2.235042692611477,0.002842174872553052,0.004930112772803476,4.865663378812414e-06,0.16016746857219263,2.195006373610997e-06,True,2.432940316977189e-06,5.436240623634889e-06,0.0004629341829743333,1.1722617127558183e-06
9,ordinary,45,-0.28005318057762923,-0.170536193982254,-0.944715630542017,0.34,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,5.323889985817468e-06,0.00045336673474576745,1.1117632430859576e-06
10,ordinary,21,0.4952640947332696,0.8115469616100099,0.31000807339421965,0.34,1,300,100,12.580196082737396,0.012139086047735061,0.04438524570661091,1.2448081871869183e-05,0.2571062065610471,0.0001883117093992677,True,6.224036533868799e-06,2.8266527127937535e-05,0.002407093899523541,-8.551392077205914e-06
11,ordinary,57,-0.2019481850333988,0.43680754802842464,-0.876593461387382,0.34,1,723,241,12.877867994117906,0.027567265465063093,0.3529553140151589,0.0007511929645686458,0.9790448721537202,0.0007836936245617821,True,0.0003756176408481037,0.00029598282696355685,0.025205022673038008,-1.7214469832677905e-05
12,ordinary,39,0.9111646964800946,0.41144646654423095,-0.02215177321580275,0.34,2,486,162,11.913664596450522,0.09209727322177774,0.32579678956680486,0.0007478299635323755,0.9570053105306598,0.0008165337134441753,True,0.0003736078070033684,0.00031214039611964645,0.026580953503547174,-1.8037047503802314e-05
13,ordinary,1,0.10954082714428218,-0.03216132967854721,-0.9934618543567006,0.34,1,72,24,0.016084711786095666,0.009112316401496068,0.00014656886940661012,8.303097214647683e-05,0.9997237640629304,8.307686233452019e-05,True,4.281674205769415e-06,5.323989372855997e-06,0.00045337519825219873,1.1122844526636794e-06
14,ordinary,14,-0.7127973559718079,0.3951789256662806,0.5794424441036778,0.34,3,906,302,9.078933263792788,0.03451971896041151,0.07630477082132361,7.063724248349801e-05,0.6248244114478949,0.0001809328253714033,True,3.532398569898974e-05,2.144428944155126e-05,0.0018261323034394798,-9.34260600177916e-06
