k,k_gt,candidate_count,emitters,packets_per_emitter,photons,emitters_per_basis,photons_per_basis,support_radius,target_geometry_rms_displacement,initial_loss,baseline_final_loss,baseline_relative_reduction,baseline_iterations,baseline_last_step_relative_improvement,baseline_gradient_norm,initial_residual_norm,residual_norm,geometry_rms_error,no_birth_continuation_gain,responsive_candidate_fraction,median_affected_views_per_responsive_candidate,median_affected_pixels_per_responsive_candidate,zero_jacobian_candidate_fraction,correlation_sample_size,oracle_evaluated_candidates,oracle_mode,regret_scope,raw_alignment_spearman,raw_alignment_pearson,quadratic_spearman,quadratic_pearson,local_residual_spearman,raw_top_1_actual_gain,raw_top_5_mean_actual_gain,fd_median_error,fd_maximum_error,transport_event_fraction,active_bases_per_query,active_parameters_per_affected_pixel,affected_image_fraction_per_parameter,jacobian_nnz,jacobian_nnz_per_parameter,jacobian_density,candidate_score_runtime_seconds,baseline_optimization_runtime_seconds,oracle_runtime_seconds,total_runtime_seconds,peak_allocated_mib,peak_reserved_mib,numerical_failures
32,64,64,256,8,2048,8,64.0,0.6,0.003000000026509189,0.6631097158345546,0.2639401448185676,0.6019661022665207,4,0.0,2.4610027388483884,1.1516160087759761,0.7265537073314919,0.0019545616801351566,0.0,0.984375,2.0,312.0,0.015625,64,64,exhaustive,global exhaustive,0.885047345854044,0.9305383857127016,0.9795418456817369,0.9998342826889158,0.5658679594721593,0.01398879045387802,0.01976907002132143,1.367551368107116e-09,1.4987261580415518e-09,0.0001373291015625,2.90234375,2.9216118369274358,0.0011063218116760254,55588,1737.125,0.001104434331258138,0.05148241017013788,0.613158643944189,11.875342841027305,13.820264036068693,89.1025390625,110.0,0
64,128,128,512,8,4096,8,64.0,0.4242640687119285,0.0030000000330522593,1.3728244613053533,0.5572288212626019,0.5941004571460218,4,0.0,4.210209164571339,1.6569999766477688,1.0556787591522356,0.0020743740585859407,0.0,0.9921875,2.0,307.0,0.0078125,128,128,exhaustive,global exhaustive,0.8635150163375067,0.937253141904332,0.9773750552475154,0.9998173807039458,0.46890925856231674,0.06149537768445368,0.03954504854888688,2.1423997233737276e-09,2.6556603703163524e-09,0.0001983642578125,2.958984375,2.9845577912962096,0.0011404752731323242,114537,1789.640625,0.0011378228664398193,0.02425314299762249,0.5838230189401656,22.767687085084617,24.158021050971,91.11962890625,114.0,0
128,256,256,1024,8,8192,8,64.0,0.3,0.0030000000396591775,2.7155700654000148,1.3342485014823684,0.5086672524187558,4,0.0,3.7604904111904585,2.330480665184766,1.6335534894715682,0.002173117734451435,2.402672727441768e-09,0.99609375,2.0,318.0,0.00390625,256,256,exhaustive,global exhaustive,0.9015903295540204,0.9765344341684044,0.9696939932335495,0.9983253774179296,0.43989616675915205,0.2737365137333869,0.14410127955271174,4.298173906575204e-09,5.141357464868121e-09,0.0004482269287109375,2.8349609375,2.8356115816427025,0.001072615385055542,215794,1685.890625,0.001071860392888387,0.022896289126947522,0.5789782870560884,44.41513170604594,45.85874065104872,94.76025390625,122.0,0
256,512,512,2048,8,16384,8,64.0,0.21213203435596426,0.0030000000480794463,4.922964007292431,2.1248741169892993,0.5683750452285038,6,0.0,7.338326070585608,3.1378221770178216,2.0614917496751226,0.002017629629294816,6.702331578622989e-09,0.994140625,1.0,301.0,0.005859375,512,512,exhaustive,global exhaustive,0.8813558810001638,0.9432441316325569,0.9700089626392482,0.9975275476713312,0.4763925757074298,0.10521808240574382,0.08016304201818142,8.94773741492979e-09,3.913866120492947e-06,0.00084686279296875,2.958984375,2.9816020379281065,0.0010987818241119385,442139,1727.10546875,0.001098064084847768,0.02393671590834856,0.8718396679032594,87.94691041694023,89.67431190400384,102.61767578125,140.0,0
512,1024,1024,4096,8,32768,8,64.0,0.15,0.002999999955149699,9.946834282194681,4.909422225543711,0.5064336967660338,6,0.0,17.545730220227604,4.46023189580871,3.133503542536281,0.0022271855409074733,0.0,0.9853515625,1.0,305.0,0.0146484375,1024,1024,exhaustive,global exhaustive,0.9055417446563737,0.9493836745892453,0.9638155922860809,0.9981876424316352,0.5170740043968002,0.09361954383940407,0.08486736926712216,1.8450545660168646e-08,0.0011866741257610847,0.0019016265869140625,2.88818359375,3.0037937077883217,0.0010471157729625702,842675,1645.849609375,0.0010464030007521312,0.028814097167924047,1.0377968319226056,176.91086664493196,178.99170814896934,120.38525390625,158.0,0
1024,2048,2048,8192,8,65536,8,64.0,0.10606601717798213,0.0029999999885021882,19.49260684448978,8.748949582464162,0.5511657495448159,6,8.202988001535484e-07,13.499643870625032,6.243814033824163,4.183049027315879,0.0020526753775591076,1.3678807810890703e-06,0.9794921875,1.0,305.0,0.0205078125,128,232,sampled,sample-relative,0.8871027688443144,0.9353408267741925,0.9624019906950297,0.9998427281569516,0.360267233240116,0.17388556813573786,0.12090880949058302,3.283584605830424e-08,0.0017341227881377977,0.0038585662841796875,2.915283203125,3.2159209250013387,0.0010065976530313492,1620865,1582.8759765625,0.0010063654432694118,0.03255634102970362,1.1155882810708135,39.49414937896654,41.53712037508376,175.86669921875,212.0,0
2048,4096,4096,16384,8,131072,8,64.0,0.075,0.003000000035953244,36.703956421168826,19.111680901811056,0.47930188553764497,4,0.0,15.084281236776324,8.567841784389909,6.182504492810508,0.0022507622511139204,1.1822812950867956e-08,0.973876953125,1.0,293.0,0.026123046875,128,240,sampled,sample-relative,0.8598082295724668,0.8741301979206383,0.9587595683942957,0.9995631517254892,0.44021888130753123,0.14215519731711268,0.11973701320332993,7.601637211665791e-08,0.00547691323745005,0.008878707885742188,2.90838623046875,3.642759858062782,0.0009340904653072357,3007508,1468.509765625,0.0009336533645788828,0.04779886896722019,1.059159702155739,41.08087027887814,43.21470447489992,279.47119140625,336.0,0
4096,8192,8192,32768,8,262144,8,64.0,0.053033008588991064,0.0030000000342054367,63.35745226448306,29.409701735275075,0.5358130624870221,6,1.1197946619340788e-05,17.58685364448275,11.256771496702157,7.669380905298038,0.0021515690096658587,3.552713678800501e-15,0.9698486328125,1.0,260.0,0.0301513671875,128,246,sampled,sample-relative,0.9180534977282765,0.9624312948458137,0.9886685791955135,0.9980591979600447,0.4426452446877465,0.10468047485909437,0.0892215308425243,1.0776003382790508e-07,0.4455516959173862,0.022289276123046875,2.925048828125,4.5972403448808805,0.000844928901642561,5441796,1328.5634765625,0.0008446779102087021,0.07397187105379999,2.390697036869824,41.97717334702611,45.78480495791882,459.1982421875,544.0,0
8192,16384,16384,65536,4,262144,8,32.0,0.0375,0.0029999999644396086,61.35557711715813,30.72617619196616,0.4992113572121618,6,3.4291406554665476e-05,10.287393333962497,11.077506679497704,7.839155080997717,0.00226153722063992,0.000742698325893798,0.95172119140625,1.0,141.0,0.04827880859375,128,240,sampled,sample-relative,0.924938444682155,0.9579300771339143,0.9860923242652742,0.9983787058644735,0.513513019434835,0.0588027791389969,0.046566439401685505,2.978401519601419e-07,1.0,0.023904800415039062,2.85113525390625,4.662303579209305,0.00043100095354020596,5551673,677.6944580078125,0.00043086653264860314,0.07638562610372901,2.700869688997045,40.57090120902285,44.97160387597978,498.78857421875,584.0,0
16384,32768,32768,131072,2,262144,8,16.0,0.026516504294495532,0.003000000003619371,57.13745857575598,27.942622594925037,0.5109579023736736,6,2.17150428317746e-05,7.406508496204982,10.689944674857394,7.475643463264555,0.0023430081545736466,0.0011128497415242578,0.921539306640625,1.0,66.0,0.078460693359375,128,244,sampled,sample-relative,0.9408373447830956,0.9398430769933693,0.991384300203067,0.995488514157075,0.648264129385618,0.022065219496585797,0.022248361566006028,5.761667317609297e-07,1.0,0.02622222900390625,2.9024810791015625,4.83522214824957,0.0002240571193397045,5772087,352.30023193359375,0.00022398645523935556,0.07176132989116013,3.5294709280133247,41.64113637106493,47.607027598889545,558.9326171875,638.0,0
