method,target_regime,target_seed,selection_seed,active_k,birth_count,image_loss,residual_norm,geometry_rms_error,optimizer_steps,last_step_relative_improvement,gradient_norm,cumulative_scoring_seconds,cumulative_optimization_seconds,total_runtime_seconds,peak_allocated_mib,peak_reserved_mib,best_remaining_candidate_score,last_predicted_quadratic,last_predicted_raw,last_realized_birth_gain,last_new_only_gain,responsive_candidate_fraction,zero_jacobian_candidate_fraction,median_affected_pixels,median_affected_views,no_birth_continuation_gain,root_failures
quadratic,sparse,5,0,32,0,14.79565458238042,5.43978944121561,0.002837898765988333,4,9.315716111109366e-09,0.03603348076002276,0.10296747204847634,0.4159110158216208,0.6355184740386903,208.779296875,230.0,4.650679864842208,,,,,0.9969757795333862,0.0030241934582591057,693.0,1.0,1.4261889447197973e-09,0
quadratic,sparse,5,0,48,16,5.992593457308955,3.4619628701963157,0.00206042193117528,20,0.037285737413113,46.609357048230294,1.2698995228856802,2.1684954890515655,5.458932455163449,213.091796875,254.0,0.43620040266075993,0.4535082173097591,19.041168957637154,0.23209198695401678,0.2259811446667177,0.9969261884689331,0.003073770320042968,689.0,1.0,0.003311629394747939,0
quadratic,sparse,5,0,64,32,3.088821864037233,2.4854866179632644,0.0017985157137366758,36,0.027231792736182914,37.94947009445775,2.4422867682296783,3.975811627227813,10.33128205104731,216.142578125,254.0,0.23832104019975284,0.24136533783883693,7.863067181217962,0.0864688588425877,0.12060529819606103,0.9968750476837158,0.0031250002793967724,688.0,1.0,0.019199470766809945,0
quadratic,sparse,5,0,96,64,0.9416664924132574,1.3723457963744103,0.001079797907802333,68,0.023995038785883053,38.81517508993693,4.777248187921941,7.670599359087646,19.9943070220761,220.166015625,266.0,0.05777866942503093,0.05916483451679313,2.7381976987951995,0.023150829049794375,0.029608875377219457,0.9967672228813171,0.003232758492231369,686.0,1.0,0.015177257065332683,0
quadratic,sparse,5,0,128,96,0.32564137887747036,0.8070209153144302,0.0006993941330394202,100,0.020327121512853513,38.28813924277417,7.119973087217659,11.453790266765282,29.738853954011574,223.7685546875,266.0,0.016375887347670294,0.01768788256984152,0.8941887485168906,0.006756696059889711,0.008721076206605116,0.996651828289032,0.00334821455180645,686.0,1.0,0.004467314032537639,0
quadratic,sparse,5,0,192,160,0.19627482996833368,0.6265378359976892,0.0005404859384978001,164,0.0028147640383164806,36.31361216177375,11.82470301212743,19.392134299734607,49.47158233099617,227.67431640625,266.0,0.0003947909001458825,0.0003973719513995015,0.3693963872338243,0.0005540267877021665,3.0531133177191805e-16,0.9963942766189575,0.003605769481509924,686.0,1.0,6.494789369962395e-05,0
quadratic,sparse,5,0,256,224,0.18583525587958719,0.6096478588161975,0.0005138195314678884,228,0.0,35.21512349222662,16.50761310523376,28.01424734061584,69.9867304021027,235.23583984375,284.0,7.85749122241849e-05,8.557539391964921e-05,0.09414339206204864,7.771561172376096e-16,3.885780586188048e-16,0.99609375,0.00390625,681.0,1.0,0.0,0
raw,sparse,5,0,32,0,14.795654582380365,5.4397894412156,0.0028378987659883324,4,9.315713829981578e-09,0.03603348075823219,0.07380873593501747,0.4004245540127158,0.593095235992223,208.779296875,230.0,4.650679864842185,,,,,0.9969757795333862,0.0030241934582591057,693.0,1.0,1.4261889447197973e-09,0
raw,sparse,5,0,48,16,6.41683608388708,3.5824115017365274,0.0021762078164569696,20,0.0486047613443392,46.686022456070816,1.2389263983350247,2.160200914600864,5.455435296986252,214.71484375,254.0,0.5556907487976729,0.4973531582730895,21.389406401922923,0.32782252188247085,0.24915428877204526,0.9969261884689331,0.003073770320042968,688.0,1.0,0.005909152495757297,0
raw,sparse,5,0,64,32,3.399657709509326,2.6075496963660445,0.0018229755431717414,36,0.04695027093292719,40.55500755988154,2.391780099598691,3.9317732679191977,10.156440179096535,218.07470703125,254.0,0.29306475895495254,0.3192542870219018,12.096590082588234,0.16747798742561315,0.15976447395601445,0.9968750476837158,0.0031250002793967724,686.0,1.0,0.012108669071129174,0
raw,sparse,5,0,96,64,1.4115811613731055,1.6802268664517335,0.0014303332115725548,68,0.02794187020962172,39.68964079600708,4.69521508179605,7.638412318658084,19.65160085191019,226.78955078125,266.0,0.13570801879869898,0.09289022000436059,4.758116210063988,0.04057598655127914,0.04616173232872178,0.9967672228813171,0.003232758492231369,684.0,1.0,0.01729908570986982,0
raw,sparse,5,0,128,96,0.6221346223081881,1.1154681728388203,0.0010312835216217577,100,0.003547315414226105,38.2235951971537,7.02239840826951,11.604173047235236,29.510381072061136,231.97412109375,266.0,0.06287737968912589,0.003969374439663081,2.6701147042517,0.002214764202634778,4.107825191113079e-15,0.996651828289032,0.00334821455180645,682.0,1.0,0.0018906390224494585,0
raw,sparse,5,0,192,160,0.21649577439043022,0.6580209333910741,0.000597567710278537,164,0.0003678754694192694,36.62481620847117,11.667023645015433,20.03740035695955,49.49539993307553,236.3388671875,278.0,0.007431836774870131,0.0027918436659876943,0.5912608780833957,7.967279429443863e-05,0.0009475975373073875,0.9963942766189575,0.003605769481509924,680.0,1.0,5.2830969659634075e-05,0
raw,sparse,5,0,256,224,0.19224426329457037,0.6200713883006865,0.0005532377288866551,228,0.0,35.503434131100974,16.304402358597144,29.156185511499643,70.18242892809212,247.97314453125,298.0,0.0014432773396605989,3.236302300986068e-05,0.2247628611655924,0.0,6.106226635438361e-16,0.99609375,0.00390625,671.0,1.0,3.3306690738754696e-16,0
local_residual,sparse,5,0,32,0,14.795654582380418,5.43978944121561,0.0028378987659883337,4,9.315714910515776e-09,0.03603348075753027,0.0716559998691082,0.41022967803291976,0.5948298119474202,208.779296875,230.0,4.6506798648421865,,,,,0.9969757795333862,0.0030241934582591057,693.0,1.0,1.4262067082881913e-09,0
local_residual,sparse,5,0,48,16,9.318747067613042,4.31711641437037,0.002467458540854392,20,0.0008520768358036501,34.81052797658566,1.2209920575842261,2.1600817993748933,5.381618483923376,217.8857421875,260.0,1.087049176365079,0.011478538703771465,10.017644480748427,0.007947060020786267,1.2434497875801753e-14,0.9969261884689331,0.003073770320042968,688.0,1.0,0.0004343009675871201,0
local_residual,sparse,5,0,64,32,7.674992578527441,3.9179057105875943,0.002375470856430653,36,0.0001717654389865812,33.799618734667916,2.3826956504490227,4.080245448276401,10.322307620896026,224.37451171875,260.0,0.6939443137602942,0.0043865347539184096,2.4027524948668053,0.0013185249464839899,0.0,0.9968750476837158,0.0031250002793967724,685.0,1.0,3.258584838050638e-05,0
local_residual,sparse,5,0,96,64,4.7044780856311075,3.0674021860952982,0.001948426885801393,68,0.002553202219576162,43.069979716365175,4.715237560449168,8.277021035552025,20.45334590994753,233.14794921875,278.0,0.4029386375453597,3.9231715204035126e-05,0.29783163827853104,0.012042230138903598,3.552713678800501e-15,0.9967672228813171,0.003232758492231369,677.0,1.0,0.0015801189779960367,0
local_residual,sparse,5,0,128,96,2.991514439262428,2.446023073996821,0.001767433725790209,100,0.04236474379158937,41.242051305832156,7.037827895255759,12.768446979811415,30.82420931197703,244.5390625,278.0,0.2269259834367645,0.2590146740121842,11.493369892770692,0.13234135016079085,0.12969621345599913,0.996651828289032,0.00334821455180645,671.0,1.0,0.021566422386631423,0
local_residual,sparse,5,0,192,160,1.1013857052209866,1.484173645649987,0.0012162454166719375,164,0.04326080103546155,39.389248891945826,11.706307818414643,22.516240429366007,52.23961999081075,255.44970703125,300.0,0.07884088509065285,0.07820765626277593,6.972044903964431,0.0498012707208324,0.03565402737109857,0.9963942766189575,0.003605769481509924,663.0,1.0,0.007027165121050949,0
local_residual,sparse,5,0,256,224,0.4603072944706627,0.959486627807457,0.0007981034692646946,228,0.0028832395488357534,36.669537173531594,16.378121415618807,33.10459738201462,74.59876253199764,266.8525390625,300.0,0.03149602586052365,0.0005885770306696409,0.2765193923732694,0.0013310138277396466,0.0,0.99609375,0.00390625,654.0,1.0,0.0007961780547053876,0
uniform,sparse,5,0,32,0,14.795654582380484,5.439789441215622,0.002837898765988333,4,9.31571022820073e-09,0.03603348075975512,0.07377673499286175,0.4175460720434785,0.6093320520594716,208.779296875,230.0,4.650679864842243,,,,,0.9969757795333862,0.0030241934582591057,693.0,1.0,1.4263665804037373e-09,0
uniform,sparse,5,0,48,16,14.256543898763312,5.339764769868297,0.0028151455608169023,20,0.000842757640628752,9.225826601813564,1.2446120893582702,2.2023781877942383,5.522149580996484,222.43212890625,260.0,4.6512281562436275,0.02192082452060096,9.216999128557543,0.012024945414268018,2.3092638912203256e-14,0.9969261884689331,0.003073770320042968,688.0,1.0,1.9368495269844743e-06,0
uniform,sparse,5,0,64,32,11.195205035909908,4.731850596946169,0.0025044723060848595,36,0.0008847174205526324,33.645289895149915,2.4126210880931467,4.167553199687973,10.647474437020719,229.7529296875,260.0,1.6726751580126473,0.013533550951303675,10.877966026291519,0.009913363447266121,8.881784197001252e-15,0.9968750476837158,0.0031250002793967724,685.0,1.0,2.9522522410729835e-05,0
uniform,sparse,5,0,96,64,9.984501926249376,4.4686691366108935,0.0023178517437581537,68,0.0044601069079110035,33.03408392636811,4.763523606816307,8.567383031826466,21.144615835975856,238.9140625,272.0,1.6628419307528384,0.03126155741804693,10.697023432242965,0.04473145307618154,0.0,0.9967672228813171,0.003232758492231369,676.0,1.0,0.0009089974109262045,0
uniform,sparse,5,0,128,96,8.05830854573069,4.014550671178704,0.002040186691324935,100,0.0010234363533752158,35.81480480861658,7.105999545427039,13.368914367863908,32.056712018093094,250.7451171875,292.0,1.6153688772783805,0.008324519264688093,4.383970400274236,0.008255615008936346,8.881784197001252e-15,0.996651828289032,0.00334821455180645,669.0,1.0,0.000695847406813499,0
uniform,sparse,5,0,192,160,6.864151818997635,3.7051725517167577,0.0017845570726453758,164,0.0002384253464007244,42.7067858522455,11.787402370246127,23.740043584490195,54.2976445320528,263.44970703125,310.0,1.5942134545506115,0.0032745504222638526,1.961693373951442,0.0016369780722556015,6.217248937900877e-15,0.9963942766189575,0.003605769481509924,657.0,1.0,0.0006183718865280241,0
uniform,sparse,5,0,256,224,5.020619085424048,3.168791279154892,0.0015464315913363193,228,0.00017450978414496605,43.02966512084698,16.47078470676206,34.876931487582624,77.33618264412507,275.88671875,310.0,0.8823275586791652,7.153739966645334e-05,0.31882911774886086,0.0008763000758049699,1.7763568394002505e-15,0.99609375,0.00390625,647.0,1.0,0.00039798098907350976,0
random,sparse,5,101,32,0,14.795654582380342,5.439789441215596,0.0028378987659883337,4,9.31572199401801e-09,0.036033480757903004,0.07394860219210386,0.3977665170095861,0.5897092130035162,208.779296875,230.0,4.650679864842224,,,,,0.9969757795333862,0.0030241934582591057,693.0,1.0,1.4261143377325425e-09,0
random,sparse,5,101,48,16,14.500709403019043,5.385296538356832,0.0028155633456970757,20,5.996796790669669e-07,0.040482720570961604,1.2387664259877056,2.1116392640396953,5.302517213160172,211.57373046875,254.0,4.50513526204283,1.6521819978226635e-05,0.03711477775254106,8.695785977508308e-06,0.0,0.9969261884689331,0.003073770320042968,693.0,1.0,7.70724639664877e-08,0
random,sparse,5,101,64,32,14.091889902021911,5.308839779466303,0.002777649843355915,36,0.00012229613471359424,3.347710792819072,2.4076784988865256,3.8739386058878154,10.120502378093079,216.34228515625,266.0,4.041726276917086,0.004390055905388944,1.9855266870888013,0.001723594454768218,0.0,0.9968750476837158,0.0031250002793967724,692.0,1.0,0.0003512913893803926,0
random,sparse,5,101,96,64,13.972219064606897,5.286249911725116,0.0027643365950731484,68,0.00010197106924566763,3.373728341515726,4.742943759541959,7.5005062038544565,19.61603132309392,221.794921875,266.0,4.035954274874246,0.004893399680327079,0.4873078371784675,0.0014249074170855636,0.0022941825906350743,0.9967672228813171,0.003232758492231369,692.0,1.0,0.00044470581862476877,0
random,sparse,5,101,128,96,13.702514438503322,5.234981268066453,0.0027429684010593855,100,0.00011223355364878503,3.7853389477708297,7.070096155861393,11.23542211460881,29.222136904019862,223.79296875,266.0,3.8617407598848903,0.0029843118964059537,0.32508714781379083,0.0015380545106804533,0.0014454536492696235,0.996651828289032,0.00334821455180645,693.0,1.0,0.00036734321125564406,0
random,sparse,5,101,192,160,12.937784785121885,5.086803472736466,0.002586004017940438,164,7.50923410845362e-05,4.019115985753359,11.740351651562378,19.14613086404279,48.736005638027564,228.9384765625,266.0,3.847147531871331,0.0004265813352731095,0.19855284314709676,0.0009716015077962936,0.0,0.9963942766189575,0.003605769481509924,697.0,1.0,0.0003239234513099376,0
random,sparse,5,101,256,224,12.039438183446183,4.907023167552031,0.00251031794268622,228,2.9035674332893546e-05,3.9313503805750445,16.42579771205783,27.63323789020069,68.86347878514789,237.1865234375,278.0,3.2387075729887744,4.682699884390516e-05,0.11280009811172353,0.0003495833566322659,0.0,0.99609375,0.00390625,698.0,1.0,9.562726150846856e-05,0
random,sparse,5,211,32,0,14.795654582380386,5.439789441215604,0.0028378987659883332,4,9.315708787488482e-09,0.03603348075912335,0.07409248291514814,0.39788528298959136,0.5895464820787311,208.779296875,230.0,4.650679864842235,,,,,0.9969757795333862,0.0030241934582591057,693.0,1.0,1.426263551707052e-09,0
random,sparse,5,211,48,16,13.39854023631761,5.176589656582335,0.002767928416281183,20,2.5221590347961896e-05,0.5816585553100748,1.2412331004161388,2.1218048811424524,5.348456253064796,211.91943359375,254.0,4.650222253439055,0.0006614478125105388,0.5810150671930729,0.0003379410165127439,0.0,0.9969261884689331,0.003073770320042968,693.0,1.0,2.5917493928773183e-07,0
random,sparse,5,211,64,32,12.643179331807024,5.028554331377364,0.0027023312762020756,36,6.054063402779012e-05,3.561004012068573,2.418771280441433,3.881832131417468,10.119780715089291,214.71142578125,254.0,4.212792802055537,0.000659573869446691,0.31493555565180675,0.0007654724350611986,0.0,0.9979166984558105,0.0020833334419876337,692.0,1.0,0.0002550979272548659,0
random,sparse,5,211,96,64,12.039790906657538,4.907095048326971,0.0026628313640591444,68,2.2268666356119986e-05,2.9969969042561373,4.7678480595350266,7.498035198776051,19.62217105203308,218.36328125,254.0,4.081496547571993,7.234698416467283e-05,0.025854304316467482,0.0002681160572830521,0.0,0.9978448152542114,0.0021551724057644606,693.0,1.0,8.471596535564174e-05,0
random,sparse,5,211,128,96,11.332119479487421,4.7606973185632,0.0025158512902214466,100,0.004210552330780069,13.333325536737911,7.126329471589997,11.238707290962338,29.243878599023446,223.0400390625,266.0,4.002064630767571,0.09948188469187208,12.846382225380552,0.04791623590581473,0.04968960227956032,0.9977679252624512,0.0022321429569274187,692.0,1.0,0.002602948529890625,0
random,sparse,5,211,192,160,8.379375977277835,4.093745467729481,0.0022692373619075685,164,6.186399564190924e-05,32.93382705879857,11.805003204615787,19.096283898921683,48.62669947510585,228.658203125,266.0,1.3940253573078643,3.816493462635968e-06,0.03177377998047886,0.0005184137500808816,1.7763568394002505e-15,0.9975962042808533,0.0024038462433964014,691.0,1.0,0.0007897877907829809,0
random,sparse,5,211,256,224,7.554096271267316,3.8869258473161836,0.002204164358820439,228,0.0012425993323319905,30.18244297684627,16.48192282114178,27.548360056709498,68.63722316897474,233.1220703125,284.0,1.3819752661094211,8.414691905604632e-07,0.028028858681105384,0.009398393420438467,0.0,0.9973958730697632,0.0026041667442768812,688.0,1.0,0.001981468107509876,0
