method,target_regime,target_seed,selection_seed,active_k,birth_count,image_loss,residual_norm,geometry_rms_error,optimizer_steps,last_step_relative_improvement,gradient_norm,cumulative_scoring_seconds,cumulative_optimization_seconds,total_runtime_seconds,peak_allocated_mib,peak_reserved_mib,best_remaining_candidate_score,last_predicted_quadratic,last_predicted_raw,last_realized_birth_gain,last_new_only_gain,responsive_candidate_fraction,zero_jacobian_candidate_fraction,median_affected_pixels,median_affected_views,candidate_jacobian_nnz,active_parameters_per_affected_pixel,active_bases_per_query,near_null_candidate_fraction,nonfinite_candidate_score_count,no_birth_continuation_gain,root_failures,minimum_denominator_magnitude,line_search_failures,cg_failures,symmetric_chamfer,point_to_surface_mean,point_to_surface_p95,surface_rms,normal_consistency,normal_error,regional_ear_p2s_mean,regional_head_p2s_mean,regional_leg_p2s_mean,regional_torso_p2s_mean
quadratic,bunny,0,0,32,0,36.572362562666186,8.552468949100744,0.0028336085124495633,5,3.5764154919064594e-08,0.32525648375086963,0.07408592593856156,1.7784079629927874,2.341756839072332,260.583984375,328.0,1.046849599209234,,,,,0.9808467626571655,0.019153226166963577,388.0,2.0,2726522.0,2.824718008771833,2.6119384765625,0.021169353276491165,0.0,1.7555208131625477e-06,0,0.38623930760295955,0,0,0.009293792131943443,0.002578329746078151,0.0067544522584080495,0.0058290160577305255,0.9850810164076027,0.014918983592397295,0.0030965767441591225,0.0016931255169091214,0.004448312903433087,0.0016408229034003833
quadratic,bunny,0,0,64,32,32.388249155539,8.048384826229297,0.0025771647331466543,37,0.0015522295353327755,16.802511892656437,1.6432605641894042,15.153268652036786,31.611322588054463,287.4013671875,340.0,0.09387069902786524,0.09997718415819486,16.571939131983786,0.05035215503914969,0.04801609809595675,0.9791667461395264,0.02083333395421505,382.0,2.0,2720642.0,3.1216068142818747,2.9947509765625,0.02187500149011612,0.0,0.00022510156983202023,0,0.46535679461139245,0,0,0.00920215865259462,0.0024344024475267422,0.005964122566568534,0.005713921387136643,0.985449582751831,0.014550417248168968,0.002347220815163212,0.0016776344435588488,0.004443416068880003,0.001579723004953968
quadratic,bunny,0,0,128,96,30.46548670801579,7.8058294508675745,0.002475971058209785,101,0.0005277565627275684,6.9787221320728134,4.785373072139919,42.0235930965282,89.47495995205827,290.296875,340.0,0.03190149819647928,0.032279167887986855,5.337260188190868,0.01608685048776337,0.015788405949134443,0.9776785969734192,0.0223214291036129,362.0,2.0,2718452.0,3.746305696559504,3.509033203125,0.02343750186264515,0.0,0.0027555180069782637,0,0.47473329048823426,0,0,0.009144998490380111,0.002330455856494797,0.005741835635754828,0.005660637992578702,0.9855204572800307,0.014479542719969318,0.0020210422585574305,0.001642504869697467,0.004370303706060468,0.0015115893192558954
quadratic,bunny,0,0,192,160,29.672926592861337,7.703625976494619,0.0024864080489043227,165,0.00029834284923136806,8.391065284305295,7.940359727013856,69.22949076280929,147.8099554409273,296.833984375,340.0,0.014936971568495352,0.015014889425246163,5.4510224939022764,0.008855347394316482,0.0,0.9759615659713745,0.024038461968302727,346.0,2.0,2717835.0,4.327545075714915,3.97412109375,0.02524038590490818,0.0,0.0009036763744560972,0,0.4746999109041819,0,0,0.009124015982311629,0.0022892263212423093,0.005686267925111312,0.005660072520621062,0.9855005528037959,0.014499447196204107,0.001963754357807059,0.0016348767045887079,0.004291547182986712,0.0014870417250424622
quadratic,bunny,0,0,256,224,29.24022023078292,7.647250516464453,0.0025288816862902175,229,0.00023281714531607064,5.534810705812367,11.10818057646975,96.60673083877191,206.32534102909267,299.82177734375,340.0,0.008874168946264391,0.009012838685997162,2.516189940161391,0.006809209903337887,7.105427357601002e-15,0.9739583730697632,0.0260416679084301,331.0,1.0,2717749.0,4.896459816887081,4.545166015625,0.02734375,0.0,0.0020432001773258435,0,0.47663608336840924,0,0,0.009121857816710122,0.002279349653712179,0.005724255376684696,0.0056740588309218305,0.9854873689209447,0.014512631079055316,0.0019195565739691287,0.0016187131618193068,0.004330316616893244,0.0014635288576985994
raw,bunny,0,0,32,0,36.57236256266618,8.552468949100742,0.0028336085124495433,5,3.576415511334865e-08,0.32525648377985955,0.04954250203445554,1.7968399228993803,2.3432362889871,260.583984375,328.0,1.046849599209173,,,,,0.9808467626571655,0.019153226166963577,388.0,2.0,2726522.0,2.824718008771833,2.6119384765625,0.021169353276491165,0.0,1.7555207278974194e-06,0,0.38623930760295944,0,0,0.009293792131943443,0.002578329746078151,0.0067544522584080495,0.0058290160577305255,0.9850810164076027,0.014918983592397295,0.0030965767441591225,0.0016931255169091214,0.004448312903433087,0.0016408229034003833
raw,bunny,0,0,64,32,32.82948944683981,8.103022824457526,0.0025260678335580745,37,0.0014187264298374162,21.71504967042066,1.6270743743516505,15.26818564790301,32.032000527950004,288.35986328125,340.0,0.27608221500281277,0.07590849603149183,21.70428339498533,0.046642236930587444,0.0,0.9791667461395264,0.02083333395421505,369.0,2.0,2720367.0,3.4941102640864994,3.279052734375,0.02187500149011612,0.0,4.9841113380466595e-05,0,0.47739582629440874,0,0,0.009187580095398648,0.0024154360765513395,0.0060552759541392664,0.0056985270901826,0.9854078207490166,0.01459217925098344,0.0023525760174392552,0.0016637107738711816,0.004416690713770231,0.0015560775614605993
raw,bunny,0,0,128,96,30.821564374383268,7.851313823097796,0.0023897505023422047,101,0.0019811020189710138,9.163636186247484,4.677612442756072,41.576199929229915,88.8146066418849,295.04052734375,340.0,0.22037588722773263,0.12292619234442365,8.849009267694443,0.06118187093799676,0.061437649601927546,0.9776785969734192,0.0223214291036129,342.0,2.0,2718287.0,4.314396641327165,3.9488525390625,0.02343750186264515,0.0,0.0001648363383459639,0,0.4746519274068385,0,0,0.009116574052012157,0.002291853784433514,0.00574445468418003,0.005633547760140915,0.9854960890774747,0.014503910922525343,0.002035372909549941,0.001587814162406418,0.00428346994294239,0.001486113578596419
raw,bunny,0,0,192,160,29.997138487096027,7.745597263877851,0.0023536780503312744,165,0.00032401110932940683,5.902978432397372,7.7424273900687695,68.08742829156108,145.5858164720703,303.44287109375,352.0,0.2073358149385747,0.019308691276846493,5.451776974915867,0.009722556334168075,0.0,0.9759615659713745,0.024038461968302727,322.0,1.0,2717638.0,4.998150594451784,4.61474609375,0.02524038590490818,0.0,8.472440573115136e-06,0,0.4744889578551443,0,0,0.0091001275918694,0.0022615428956808356,0.0057001189566137835,0.005610237469608082,0.9855640119555732,0.014435988044426806,0.0019987214166880076,0.001534200886047416,0.0042429467036654645,0.0014689283053188453
raw,bunny,0,0,256,224,29.504249283007958,7.6816989374757405,0.0023639989930294585,229,9.752369102827694e-05,4.629718321115973,10.89172680908814,95.78529203590006,204.32190835499205,305.90966796875,352.0,0.21096407282766125,0.0043143721340859085,3.92406018861011,0.0028776439296152034,1.0658141036401503e-14,0.9739583730697632,0.0260416679084301,304.0,1.0,2717655.0,5.5638052693030104,5.0909423828125,0.02734375,0.0,0.0001815967793667994,0,0.4756780595260994,0,0,0.00908552424686831,0.002231186106893682,0.005602038056098416,0.005609791027073347,0.9855468438542963,0.01445315614570375,0.0019372644712075354,0.0014776307396028678,0.004236961403594078,0.0014417316781363831
uniform,bunny,0,0,32,0,36.572362562666065,8.55246894910073,0.0028336085124495637,5,3.5764157639041455e-08,0.3252564837467867,0.04859216581098735,1.77911235881038,2.3319964688271284,260.583984375,328.0,1.0468495992091424,,,,,0.9808467626571655,0.019153226166963577,388.0,2.0,2726522.0,2.824718008771833,2.6119384765625,0.021169353276491165,0.0,1.755520777635411e-06,0,0.3862393076029594,0,0,0.009293792131943443,0.002578329746078151,0.0067544522584080495,0.0058290160577305255,0.9850810164076027,0.014918983592397295,0.0030965767441591225,0.0016931255169091214,0.004448312903433087,0.0016408229034003833
uniform,bunny,0,0,64,32,34.99587802680099,8.366107580804945,0.002708238816580277,37,0.00036133189356410487,20.933025257768666,1.632997787790373,15.182872495613992,32.21118959086016,292.5400390625,340.0,0.7157991913521927,0.02318205693996145,20.9266266216666,0.012649697613554167,0.0,0.9802083969116211,0.01979166828095913,370.0,2.0,2723451.0,3.917192597335285,3.9130859375,0.02187500149011612,0.0,2.0225085719971503e-05,0,0.47472419868036336,0,0,0.00923978854665663,0.0024937387698871264,0.006418597464725315,0.005774766767157036,0.9851754012211013,0.014824598778898745,0.002640637666446587,0.0017034223036759024,0.004426712256129113,0.001614921207004265
uniform,bunny,0,0,128,96,34.016319413198865,8.248190033358696,0.002610077678425358,101,0.00011703310854934344,8.201020216932143,5.050993705401197,43.32385198911652,93.37988841999322,302.27685546875,340.0,0.7171401846818676,0.001878814841536473,3.9924382187130294,0.0039815015698181355,0.0,0.9787946939468384,0.0212053582072258,336.0,1.0,2720919.0,5.226243332486665,5.226806640625,0.02343750186264515,0.0,0.002823293051825715,0,0.47887666170482956,0,0,0.009202800671627584,0.0024328129040821636,0.006092444734277392,0.005728181963136351,0.9853016570770573,0.014698342922942698,0.002584559578998465,0.0016882063521420415,0.004333762965985184,0.001558275278184788
uniform,bunny,0,0,192,160,33.10401793496283,8.136832053688073,0.0026519483759861037,165,0.00014275403179223956,6.218155367524883,8.314660735195503,71.31976772844791,153.08766818791628,309.50537109375,360.0,0.7376177794311255,0.008890496308455639,5.698827711041529,0.0047264067423569145,0.0,0.9759615659713745,0.024038461968302727,312.0,1.0,2720024.0,5.942419225417204,5.8709716796875,0.02524038590490818,0.0,0.00020998468067290332,0,0.4792242689682481,0,0,0.009210353066243453,0.0024378733795168343,0.006129726434412154,0.005743989124092826,0.985357374040648,0.014642625959351951,0.0025130746013397854,0.0016828489290693148,0.004461527427079881,0.0015244855106507768
uniform,bunny,0,0,256,224,32.497263871541506,8.061918366188225,0.00267045526200626,229,0.0001562060239635142,5.85626476938504,11.49650375219062,99.48139541829005,212.8798634877894,313.7802734375,360.0,0.7308431253714924,0.005515356798228833,4.892073377631032,0.005077061446655762,0.0,0.9752604365348816,0.02473958395421505,292.0,1.0,2719243.0,6.5645028592323245,6.514892578125,0.0260416679084301,0.0,0.000387073256447934,0,0.4791908030403188,0,0,0.009207684451304592,0.0024290649523598163,0.0062013894323333955,0.005746728878546632,0.9854435367008507,0.01455646329914928,0.002419301708021875,0.00162900500756971,0.004454695734880949,0.0015521158734185443
random,bunny,0,101,32,0,36.572362562666115,8.552468949100735,0.0028336085124495668,5,3.576415841617762e-08,0.3252564837458413,0.04982051393017173,1.9626169931143522,2.5077709609176964,260.583984375,328.0,1.0468495992092073,,,,,0.9808467626571655,0.019153226166963577,388.0,2.0,2726522.0,2.824718008771833,2.6119384765625,0.021169353276491165,0.0,1.755520877111394e-06,0,0.3862393076029595,0,0,0.009293792131943443,0.002578329746078151,0.0067544522584080495,0.0058290160577305255,0.9850810164076027,0.014918983592397295,0.0030965767441591225,0.0016931255169091214,0.004448312903433087,0.0016408229034003833
