capture_multiplicity_max,capture_multiplicity_mean,capture_multiplicity_median,capture_multiplicity_p95,condition,emitted_photons,eta_capture_emitted,eta_capture_valid,fraction_captured_ge_1,fraction_captured_ge_2,fraction_captured_ge_4,fraction_captured_ge_8,maximum_capture_multiplicity,mean_capture_multiplicity_all_emitted,mean_capture_multiplicity_captured,median_capture_multiplicity_captured,multiplicity_histogram,p95_capture_multiplicity_captured,packet_level,photons,row_type,total_detector_hit_count,unique_capture_count,unique_capture_percent,valid_outward_non_degenerate_packets,views
,,,,,2621440,0.04116058349609375,0.04116058349609375,0.04116058349609375,0.0,0.0,0.0,1,0.04116058349609375,1.0,1,"[2513540,107900]",1,P10,2621440,capture_curve,107900,107900,,2621440,1
,,,,,2621440,0.07915191650390625,0.07915191650390625,0.07915191650390625,0.0,0.0,0.0,1,0.07915191650390625,1.0,1,"[2413948,207492,0]",1,P10,2621440,capture_curve,207492,207492,,2621440,2
,,,,,2621440,0.22669486999511718,0.22669486999511718,0.22669486999511718,0.0,0.0,0.0,1,0.22669486999511718,1.0,1,"[2027173,594267,0,0,0]",1,P10,2621440,capture_curve,594267,594267,,2621440,4
,,,,,2621440,0.4349674224853516,0.4349674224853516,0.4349674224853516,0.0,0.0,0.0,1,0.4349674224853516,1.0,1,"[1481199,1140241,0,0,0,0,0,0,0]",1,P10,2621440,capture_curve,1140241,1140241,,2621440,8
,,,,,2621440,0.5371452331542969,0.5371452331542969,0.5371452331542969,0.14060440063476562,0.03493499755859375,0.0,6,0.7968631744384765,1.483515305086166,1,"[1213346,1039508,170455,106551,69509,21604,467,0,0,0,0,0,0,0,0,0,0]",4,P10,2621440,capture_curve,2088929,1408094,,2621440,16
,,,,,2621440,0.5707763671875,0.5707763671875,0.5707763671875,0.2283641815185547,0.06278533935546875,0.0,7,1.0059497833251954,1.762423676162368,1,"[1125184,897613,282977,151078,108722,50088,5538,240,0,0,0,0,0,0,0,0,0,0,0,0,0]",4,P10,2621440,capture_curve,2637037,1496256,,2621440,20
,,,,,2621440,0.7633560180664063,0.7633560180664063,0.7633560180664063,0.5705646514892578,0.27446670532226564,0.0,7,2.1436382293701173,2.808176235775267,3,"[620348,505391,345280,430923,488089,210362,20796,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",5,P10,2621440,capture_curve,5619419,2001092,,2621440,40
1,1.0,1,1,V8_P1,,,,,,,,,,,,,,,262144,major_condition,,114046,43.505096435546875,,8
1,1.0,1,1,V8_P10,,,,,,,,,,,,,,,2621440,major_condition,,1140241,43.496742248535156,,8
1,1.0,1,1,V8_P100,,,,,,,,,,,,,,,26214400,major_condition,,11402596,43.49745178222656,,8
7,1.762423676162368,1,4,V20_P10,,,,,,,,,,,,,,,2621440,major_condition,,1496256,57.07763671875,,20
7,2.808176235775267,3,5,V40_P10,,,,,,,,,,,,,,,2621440,major_condition,,2001092,76.33560180664062,,40
7,2.8086001001125065,3,5,V40_P100,,,,,,,,,,,,,,,26214400,major_condition,,20009488,76.33013916015625,,40
