appearance,camera_hits,center_of_mass_error_normalized,cone_power,depth_rmse_on_overlap,depth_tolerance,detector_seconds,edge_f1,emitted_photons,emitters,footprint,foreground_fraction,maximum_contributors_per_pixel,maximum_pixels_per_surface_sample,mean_pixels_per_responsive_surface_sample,name,occupied_pixels,operator_density,operator_nnz,packets_per_emitter,peak_allocated_mib,phase,pixel_mse,projected_surface_points,psnr,reduction,reference_foreground_fraction,resolution,runtime_seconds,scene_seconds,selection_score,shared_surface_build_seconds,silhouette_f1,silhouette_iou,silhouette_precision,silhouette_recall,ssim,surface_hits,surface_samples,surviving_packets,transport_nnz,view
shaded,,0.002147210642663523,,0.41622630460093785,0.0,,0.8410362914600394,,,gaussian,0.320892333984375,416,9,9.0,surface_accumulate_gaussian,,0.0001373291015625,1179648,,162.625,reduction,0.008203458113658395,131072,20.860030350443513,accumulate,0.3010406494140625,256,0.054063691990450025,,0.8726491870517824,,0.9680806693000319,0.9381359961959106,0.9381359961959106,1.0,0.8065163727760423,,131072,,,3
shaded,,0.002147210642663523,,0.5623127137105987,0.0,,0.8410362914600394,,,gaussian,0.320892333984375,1,4,1.0118360277136258,surface_dominant_gaussian,,2.448214218020439e-06,21030,,100.1259765625,reduction,0.011527986348051064,131072,19.38246546504407,dominant_weight,0.3010406494140625,256,0.01736556412652135,,0.8442526674137579,,0.9680806693000319,0.9381359961959106,0.9381359961959106,1.0,0.7253834595245437,,131072,,,3
shaded,,0.0005403557609121512,,0.18256594985419633,0.0,,0.8676277850589778,,,point,0.30621337890625,1,1,1.0,surface_hard_point_depth,,2.336222678422928e-06,20068,,18.3076171875,reduction,0.002312749656286105,131072,26.358713749153594,nearest_depth,0.3010406494140625,256,0.0034109579864889383,,0.9204501233359741,,0.988918762720808,0.9780804214921218,0.980566075343831,0.9974149728825586,0.8765382190077823,,131072,,,3
shaded,,0.0013864054961231496,,0.03794110547211732,0.0,,1.0,,,bilinear,0.3139495849609375,1,4,1.2630448127685698,surface_hard_bilinear_depth,,2.395245246589184e-06,20575,,44.62548828125,reduction,0.0032103240861379653,131072,24.93451122823552,nearest_depth,0.3010406494140625,256,0.0038524779956787825,,0.9464368244093815,,0.9790095275903137,0.9588821385176185,0.9588821385176185,1.0,0.8998281773612948,,131072,,,3
shaded,,0.002147210642663523,,0.04700134832952216,0.018,,0.8410362914600394,,,gaussian,0.320892333984375,24,9,5.5808023353152025,surface_hybrid_gaussian_depth,,3.026844933629036e-05,260004,,100.1259765625,reduction,0.00443214666361606,131072,23.533858768569562,hybrid_depth,0.3010406494140625,256,0.005336310947313905,,0.9023964567888901,,0.9680806693000319,0.9381359961959106,0.9381359961959106,1.0,0.8915085720249213,,131072,,,3
constant,,0.0013864054961231496,,0.03794110547211732,,,1.0,,,bilinear,0.3139495849609375,1,4,1.2630448127685698,appearance_constant,,2.395245246589184e-06,20575,,43.62548828125,appearance,0.0066919921875,131072,21.744445747221384,nearest_depth,0.3010406494140625,256,0.003327032085508108,,,,0.9790095275903137,0.9588821385176185,0.9588821385176185,1.0,0.9368665072014551,,131072,,,3
normal,,0.0013864054961231496,,0.03794110547211732,,,1.0,,,bilinear,0.3139495849609375,1,4,1.2630448127685698,appearance_normal,,2.395245246589184e-06,20575,,43.62548828125,appearance,0.005821723156633194,131072,22.349484506329045,nearest_depth,0.3010406494140625,256,0.0033674349542707205,,,,0.9790095275903137,0.9588821385176185,0.9588821385176185,1.0,0.9090224996640943,,131072,,,3
position,,0.0013864054961231496,,0.03794110547211732,,,1.0,,,bilinear,0.3139495849609375,1,4,1.2630448127685698,appearance_position,,2.395245246589184e-06,20575,,42.62548828125,appearance,0.003991264568853055,131072,23.988894831945117,nearest_depth,0.3010406494140625,256,0.003342436859384179,,,,0.9790095275903137,0.9588821385176185,0.9588821385176185,1.0,0.9388643838110434,,131072,,,3
shaded,,0.0013864054961231496,,0.03794110547211732,,,1.0,,,bilinear,0.3139495849609375,1,4,1.2630448127685698,appearance_shaded,,2.395245246589184e-06,20575,,43.3212890625,appearance,0.0032103240861379653,131072,24.93451122823552,nearest_depth,0.3010406494140625,256,0.0039772228337824345,,,,0.9790095275903137,0.9588821385176185,0.9588821385176185,1.0,0.8998281773612948,,131072,,,3
shaded,,0.0020934714224438876,,0.042666367034377976,,,0.9787545787545787,,,bilinear,0.2864990234375,1,4,1.2346133613887427,best_view_0,,2.185814082622528e-06,18776,,43.62548828125,multiview_best,0.0025158399287928796,131072,25.99316994488085,nearest_depth,0.2730560302734375,256,0.004051944008097053,,,,0.9759755665239563,0.953078397954836,0.953078397954836,1.0,0.8990795332868114,,131072,,,0
