absorbed_transport_samples,angular_bandwidth_radians,angular_neighbors,atlas_anchor,atlas_direction_id,atlas_neighbor,boundary_events,camera_count,center_of_mass_error_normalized,depth_rmse_on_overlap,direct_support_fraction,direction,edge_f1,emitted_transport_samples,event_digest,events_per_occupied_spatial_angular_cell,field_build_seconds,field_digest,field_digest_unchanged,field_occupancy_fraction,field_occupied_bins,foreground_fraction,h_omega_radians,h_y_pixels,interpolated_support_fraction,maximum_readout_peak_allocated_mib,mean_readout_seconds,name,nearest_angular_distance_radians,no_support_fraction,occupied_light_field_support,phase,pixel_mse,psnr,readout_peak_allocated_mib,readout_seconds,readout_variance_to_max,reference_foreground_fraction,scene_plus_field_plus_readout_seconds,scene_plus_field_seconds,scene_transport_seconds,scene_traversals,silhouette_f1,silhouette_iou,silhouette_precision,silhouette_recall,spatial_bandwidth_pixels,ssim,support_threshold,surface_samples,total_readout_seconds,view
,,1,,,,,,0.0013640403733130705,inf,0.3140716552734375,,0.9984662576687117,,,,,,True,0.28844541661879597,2570884,0.3140716552734375,0.0,0.0,0.0,,,nearest_event_slice,0.0,0.6859283447265625,,interpolation,0.006739453124999999,21.71375342994462,37.12890625,0.022919657872989774,,0.3010711669921875,,,,,0.9788659026640869,0.9586066171112083,0.9586066171112083,1.0,,0.9363327409224048,0.5,,,
,,4,,,,,,0.0013640403733130705,inf,0.3140716552734375,,0.9984662576687117,,,,,,True,0.28844541661879597,2570884,0.3140716552734375,0.12,0.0,0.0,,,angular_knn,0.0,0.6859283447265625,,interpolation,0.006739453124999999,21.71375342994462,45.69970703125,0.01943296706303954,,0.3010711669921875,,,,,0.9788659026640869,0.9586066171112083,0.9586066171112083,1.0,,0.9363327409223793,0.5,,,
,,1,,,,,,0.0013640403733130705,inf,0.3140716552734375,,0.9984662576687117,,,,,,True,0.28844541661879597,2570884,0.3140716552734375,0.0,0.65,0.0,,,spatial_kde,0.0,0.6859283447265625,,interpolation,0.006739453125,21.71375342994462,186.75390625,0.005066582001745701,,0.3010711669921875,,,,,0.9788659026640869,0.9586066171112083,0.9586066171112083,1.0,,0.9363327409225385,0.5,,,
,,4,,,,,,0.002310572054958896,inf,0.3116607666015625,,0.945082385041408,,,,,,True,0.28844541661879597,2570884,0.313629150390625,0.12,0.65,0.0019683837890625,,,spatial_angular_kde,0.0,0.686370849609375,,interpolation,0.00652587890625,21.85360989211237,229.00390625,0.01694192597642541,,0.3010711669921875,,,,,0.9795209134913739,0.9598637801021649,0.9599104797119782,0.9999493183315594,,0.9403173154879524,0.5,,,
,0.12,4,,,,,,0.0018556724211679944,inf,0.285064697265625,,0.9820675248405244,,,,,,True,0.28844541661879597,2570884,0.2855987548828125,,,0.0005340576171875,,,multiview_00,0.0,0.7144012451171875,,multiview,0.0063914062499999995,21.944035769865764,229.12890625,0.016735611017793417,,0.2733001708984375,,,,,0.9779403734847658,0.9568329949780959,0.9568841160442378,0.9999441683881414,0.65,0.9361149866973714,0.5,,,0
,0.12,4,,,,,,0.0034012578350713337,inf,0.27593994140625,,0.9565139356955842,,,,,,True,0.28844541661879597,2570884,0.2773590087890625,,,0.0014190673828125,,,multiview_01,0.0,0.7226409912109375,,multiview,0.006185742187499999,22.08608184701314,229.19140625,0.01675296202301979,,0.2656097412109375,,,,,0.9780238309352518,0.9569927954682945,0.9573086868020025,0.9996553110817488,0.65,0.9372692063390892,0.5,,,1
,0.12,4,,,,,,0.001842017188626154,inf,0.3184967041015625,,0.956954133887487,,,,,,True,0.28844541661879597,2570884,0.320220947265625,,,0.0017242431640625,,,multiview_02,0.0,0.679779052734375,,multiview,0.006549609375,21.83784600976282,228.69140625,0.016537838149815798,,0.30767822265625,,,,,0.9798784933171326,0.9605507646862642,0.9606880777661299,0.9998512199960325,0.65,0.9379084204329464,0.5,,,2
,0.12,4,,,,,,0.002310572054958896,inf,0.3116607666015625,,0.945082385041408,,,,,,True,0.28844541661879597,2570884,0.313629150390625,,,0.0019683837890625,,,multiview_03,0.0,0.686370849609375,,multiview,0.00652587890625,21.85360989211237,228.62890625,0.016409812029451132,,0.3010711669921875,,,,,0.9795209134913739,0.9598637801021649,0.9599104797119782,0.9999493183315594,0.65,0.9403173154879524,0.5,,,3
,0.12,4,,,,,,0.001492368486740026,inf,0.2552490234375,,0.977939664541903,,,,,,True,0.28844541661879597,2570884,0.255950927734375,,,0.000701904296875,,,multiview_04,0.0,0.744049072265625,,multiview,0.0057981445312500005,22.367109631200343,228.62890625,0.017140797106549144,,0.2449493408203125,,,,,0.9776708197520333,0.9563170441001192,0.9566591152974842,0.999626238086339,0.65,0.9420455090689721,0.5,,,4
,0.12,4,,,,,,0.0033006683449872793,inf,0.2657318115234375,,0.9876252111239319,,,,,,True,0.28844541661879597,2570884,0.2664031982421875,,,0.00067138671875,,,multiview_05,0.0,0.7335968017578125,,multiview,0.006660351562500001,21.765028462615128,228.62890625,0.01732843997888267,,0.2536468505859375,,,,,0.9752948770612053,0.9517810101935632,0.9519445558164843,0.9998195271611623,0.65,0.9345009295434964,0.5,,,5
,0.12,4,,,,,,0.0008633983687404334,inf,0.3035430908203125,,0.9654181491183486,,,,,,True,0.28844541661879597,2570884,0.304412841796875,,,0.0008697509765625,,,multiview_06,0.0,0.695587158203125,,multiview,0.006154101562500001,22.10835340771473,227.81640625,0.016523239901289344,,0.2926025390625,,,,,0.9801155242038543,0.9610064153969526,0.9611027568922306,0.9998957029620359,0.65,0.9435212514219158,0.5,,,6
,0.12,4,,,,,,0.003984311035493227,inf,0.31494140625,,0.8252223241884491,,,,,,True,0.28844541661879597,2570884,0.3195037841796875,,,0.0045623779296875,,,multiview_07,0.0,0.6804962158203125,,multiview,0.00866162109375,20.62400818585025,228.62890625,0.016374728176742792,,0.303924560546875,,,,,0.9731992069902342,0.9477974828375286,0.9494722766130188,0.9981423837734712,0.65,0.9244226877543652,0.5,,,7
,0.12,4,3,,66,,,0.0013513939207731366,inf,0.0,"[0.5846460099745331,0.10552313796078107,0.8043966126083377]",0.9946442234123947,,,,,,True,0.28844541661879597,2570884,0.313385009765625,,,0.313385009765625,,,posthoc_off_atlas_camera,0.03210784754187004,0.686614990234375,,posthoc,0.0064863281249999995,21.880010853774454,227.81640625,0.01764339185319841,,0.3009033203125,,,,,0.9796313776143872,0.9600759530649009,0.9601226993865031,0.999949290060852,0.65,0.938628688612912,0.5,,,
,0.12,4,,64,,,,0.0033765264211054213,inf,0.2705535888671875,,0.9819394897444698,,,,,,True,0.28844541661879597,2570884,0.2705535888671875,,,0.0,,,ensemble_b_00,0.0,0.7294464111328125,,ensemble_swap,0.00688974609375,21.61796782753499,227.81640625,0.01720724394544959,,0.25726318359375,,,,,0.9748200398947703,0.9508769950933393,0.9508769950933393,1.0,0.65,0.9302488130214055,0.5,,,
,0.12,4,,65,,,,0.0017730136936654753,inf,0.31866455078125,,0.989569465648855,,,,,,True,0.28844541661879597,2570884,0.31866455078125,,,0.0,,,ensemble_b_01,0.0,0.68133544921875,,ensemble_swap,0.00719033203125,21.43251054539195,227.81640625,0.016484979074448347,,0.3047943115234375,,,,,0.9777527594899533,0.9564738555832216,0.9564738555832216,1.0,0.65,0.9278761086753095,0.5,,,
,0.12,4,,66,,,,0.0014646412120374983,inf,0.3123321533203125,,0.9824403759032536,,,,,,True,0.28844541661879597,2570884,0.3147430419921875,,,0.002410888671875,,,ensemble_b_02,0.0,0.6852569580078125,,ensemble_swap,0.006897656249999999,21.61298452828595,228.19140625,0.0166279508266598,,0.3014373779296875,,,,,0.9784062205933336,0.9577253114849469,0.9577253114849469,1.0,0.65,0.9386430220883492,0.5,,,
,0.12,4,,67,,,,0.001505962674282896,inf,0.2572784423828125,,0.9882247266705028,,,,,,True,0.28844541661879597,2570884,0.25732421875,,,4.57763671875e-05,,,ensemble_b_03,0.0,0.74267578125,,ensemble_swap,0.006114550781250001,22.13635443842837,228.31640625,0.01659094705246389,,0.2455291748046875,,,,,0.976543771810044,0.9541627134724858,0.9541627134724858,1.0,0.65,0.9370649480161267,0.5,,,
,0.12,4,,68,,,,0.0028551928379744068,inf,0.2563018798828125,,0.992334843282649,,,,,,True,0.28844541661879597,2570884,0.256317138671875,,,1.52587890625e-05,,,ensemble_b_04,0.0,0.743682861328125,,ensemble_swap,0.006296484374999999,22.009018700234932,228.19140625,0.016457183985039592,,0.244171142578125,,,,,0.9757317073170731,0.9526134063578997,0.9526134063578997,1.0,0.65,0.9359874507164051,0.5,,,
,0.12,4,,69,,,,0.0023362417024531215,inf,0.3089599609375,,0.990251203430282,,,,,,True,0.28844541661879597,2570884,0.3089599609375,,,0.0,,,ensemble_b_05,0.0,0.6910400390625,,ensemble_swap,0.0072694335937499984,21.384994263750514,227.87890625,0.016394266160205007,,0.2949371337890625,,,,,0.9767794426055536,0.9546128012643224,0.9546128012643224,1.0,0.65,0.9278755836083622,0.5,,,
,0.12,4,,70,,,,0.0011822726008273137,inf,0.3196563720703125,,0.99568345323741,,,,,,True,0.28844541661879597,2570884,0.3196563720703125,,,0.0,,,ensemble_b_06,0.0,0.6803436279296875,,ensemble_swap,0.00703212890625,21.529131767909483,228.31640625,0.016785701038315892,,0.30609130859375,,,,,0.9783218317930211,0.9575636068547425,0.9575636068547425,1.0,0.65,0.931771320673659,0.5,,,
,0.12,4,,71,,,,0.0009296117030944854,inf,0.2621002197265625,,0.9888909318133975,,,,,,True,0.28844541661879597,2570884,0.2621002197265625,,,0.0,,,ensemble_b_07,0.0,0.7378997802734375,,ensemble_swap,0.00613828125,22.119532165029735,228.19140625,0.01659922720864415,,0.2502593994140625,,,,,0.9768896301149562,0.9548233102404378,0.9548233102404378,1.0,0.65,0.9380824133801943,0.5,,,
