ambient_emission,angular_bandwidth_radians,angular_neighbors,attenuation_name,center_of_mass_error_normalized,clipped_channel_fraction,cosine_power,depth_rmse_on_overlap,direct_support_fraction,distance_sigma,edge_f1,field_build_seconds,field_memory_mib,field_occupied_bins,foreground_fraction,foreground_luminance_p95_minus_p05,foreground_luminance_std,foreground_rgb_mae,foreground_rgb_std,interior_gradient_energy,interpolated_support_fraction,mean_readout_seconds,name,no_support_fraction,phase,pixel_mse,psnr,quantized_foreground_color_count,readout_seconds,reference_foreground_fraction,rgb_field_digest,rgb_mae,scene_field_readout_seconds,scene_retraversals,scene_seconds,sensor_gain,silhouette_f1,silhouette_iou,silhouette_precision,silhouette_recall,spatial_bandwidth_pixels,ssim,support_threshold,view,view_count,visibility_digest
0.35,0.12,4,selected_mild_attenuation_cosine_lobe,0.001718509504020788,0.0,1.0,inf,0.2846832275390625,0.55,0.9607961283045144,,97.97518920898438,2568116,0.285247802734375,0.3037105966892213,0.09460755815757751,0.021100812503574273,0.10701854695717802,0.011132053580627068,0.0005645751953125,,rgb_multiview_00,0.714752197265625,multiview,0.0008448014699405058,30.73245339144431,574,0.035528530133888125,0.27362060546875,,0.008179531227253128,,,,1.5,0.9791951073008246,0.9592382582646839,0.9592382582646839,1.0,0.65,0.9274693394702829,0.5,0,,
0.35,0.12,4,selected_mild_attenuation_cosine_lobe,0.0033979329639516613,0.0,1.0,inf,0.275665283203125,0.55,0.9785932721712538,,97.97518920898438,2568116,0.277008056640625,0.40044277799333106,0.12120353722588277,0.021537151184132828,0.11553430627206834,0.013292481747313569,0.0013427734375,,rgb_multiview_01,0.722991943359375,multiview,0.0008929458488497973,30.49174877347509,463,0.016672128112986684,0.266204833984375,,0.008176635987489784,,,,1.5,0.979943820224719,0.9606763231811423,0.9608350776688334,0.9998280408116473,0.65,0.9258887923783062,0.5,1,,
0.35,0.12,4,selected_mild_attenuation_cosine_lobe,0.0019044090275241571,0.0,1.0,inf,0.318206787109375,0.55,0.9670833015776237,,97.97518920898438,2568116,0.3199310302734375,0.23441626093857332,0.07886809661458687,0.011203161191307064,0.09419484845904205,0.008851522722199074,0.0017242431640625,,rgb_multiview_02,0.6800689697265625,multiview,0.00045071867779025417,33.46094444384835,535,0.018247799947857857,0.308258056640625,,0.005228640825205944,,,,1.5,0.9814180572761058,0.9635140935756188,0.9635140935756188,1.0,0.65,0.9441869107536368,0.5,2,,
0.35,0.12,4,selected_mild_attenuation_cosine_lobe,0.0020278809967556894,0.0,1.0,inf,0.3109893798828125,0.55,0.9505736917030674,,97.97518920898438,2568116,0.3130035400390625,0.3104148668459039,0.09529826434572039,0.014710516143392765,0.14160456784002687,0.012522098634490171,0.00201416015625,,rgb_multiview_03,0.6869964599609375,multiview,0.0007134699489133814,31.46624314484782,535,0.016078109852969646,0.30145263671875,,0.0067891507467790395,,,,1.5,0.9809034244704363,0.9625225400847994,0.9628040754643397,0.9996962947965176,0.65,0.9366956201624261,0.5,3,,
0.35,0.12,4,selected_mild_attenuation_cosine_lobe,0.001266775752790557,0.0,1.0,inf,0.254913330078125,0.55,0.9847108275539967,,97.97518920898438,2568116,0.25555419921875,0.3694987601448201,0.11907293962523428,0.017749850581156842,0.1252261498671428,0.010715070975079162,0.000640869140625,,rgb_multiview_04,0.74444580078125,multiview,0.0006927738766612388,31.594084971970823,427,0.016592987114563584,0.2452392578125,,0.006443395804024337,,,,1.5,0.9794028031687996,0.959636971578696,0.959636971578696,1.0,0.65,0.934415389221216,0.5,4,,
0.35,0.12,4,selected_mild_attenuation_cosine_lobe,0.0028554777233098286,0.0,1.0,inf,0.2652740478515625,0.55,0.9884739467273624,,97.97518920898438,2568116,0.2659912109375,0.3023811254660602,0.09514400061623034,0.01766840795405252,0.1624755846446243,0.009272753291337291,0.0007171630859375,,rgb_multiview_05,0.7340087890625,multiview,0.00048768654962375637,33.11859222068336,645,0.017066662898287177,0.2541351318359375,,0.006338885789211091,,,,1.5,0.9771467128230704,0.9553146331669822,0.9553694355208812,0.9999399579705794,0.65,0.9280507851382463,0.5,5,,
0.35,0.12,4,selected_mild_attenuation_cosine_lobe,0.0009042469902903666,0.0,1.0,inf,0.303192138671875,0.55,0.9599857350622142,,97.97518920898438,2568116,0.3040771484375,0.18450127619335985,0.05831660534289083,0.019730888339888418,0.10929922154974114,0.009270024335200354,0.000885009765625,,rgb_multiview_06,0.6959228515625,multiview,0.0007563289666889395,31.212892662146814,646,0.016076205065473914,0.293121337890625,,0.008070134154540757,,,,1.5,0.9816546578772549,0.963970293054998,0.963970293054998,1.0,0.65,0.9157781181376693,0.5,6,,
0.35,0.12,4,selected_mild_attenuation_cosine_lobe,0.0038275371734347715,0.0,1.0,inf,0.3141937255859375,0.55,0.8456842925126795,,97.97518920898438,2568116,0.31878662109375,0.12817024754492984,0.038442267396679095,0.02273282108015774,0.11396547954986364,0.008644347126451377,0.0045928955078125,,rgb_multiview_07,0.68121337890625,multiview,0.0010935250885202982,29.611712485834232,412,0.017370255896821618,0.3045806884765625,,0.010204637250994493,,,,1.5,0.9750569113651385,0.9513278563240352,0.9533314187248708,0.9977957016181555,0.65,0.8969669549291891,0.5,7,,
1.0,0.12,4,no_attenuation_no_lobe,0.0020278809967556894,0.1798859259981475,0.0,inf,0.3109893798828125,0.0,0.9505736917030674,,97.97518920898438,2568116,0.3130035400390625,0.4095005989051673,0.12951947458865015,0.004157403797080945,0.16961826213815617,0.0032393165122621727,0.00201416015625,,ablation_no_attenuation_no_lobe,0.6869964599609375,attenuation_ablation,0.007821150220234854,21.067293725709607,732,0.016559588024392724,0.30145263671875,,0.010567021201931022,,,,1.5,0.9809034244704363,0.9625225400847994,0.9628040754643397,0.9996962947965176,0.65,0.9417745363785609,0.5,,,
1.0,0.12,4,mild_attenuation_no_lobe,0.0020278809967556894,0.0,0.0,inf,0.3109893798828125,0.45,0.9505736917030674,,97.97518920898438,2568116,0.3130035400390625,0.23844846540952658,0.07232091592960188,0.0038001132114512965,0.1478481968551491,0.003559666260666948,0.00201416015625,,ablation_mild_attenuation_no_lobe,0.6869964599609375,attenuation_ablation,0.002997880183854164,25.231857285693987,466,0.016430736053735018,0.30145263671875,,0.006770396980544955,,,,1.5,0.9809034244704363,0.9625225400847994,0.9628040754643397,0.9996962947965176,0.65,0.945064767669893,0.5,,,
