active_after,active_before,active_dofs,batch_size,best_remaining_quadratic,birth_round,candidate_jacobian_nnz,cg_failures,coupling_candidates_before_pruning,coupling_rejections,fixed_k,image_loss,joint_to_independent_ratio,line_search_failures,median_affected_pixels,median_affected_views,method,near_null_candidate_fraction,nonfinite_candidate_score_count,normal_consistency,normal_error,normalized_rgb_mse,optimization_seconds,optimizer_steps,pairwise_max,pairwise_mean,peak_allocated_mib,peak_reserved_mib,point_to_surface_mean,point_to_surface_p95,predicted_joint_gain,predicted_quadratic_gain,predicted_raw_alignment,realized_gain,regional_ear_p2s_mean,regional_head_p2s_mean,regional_leg_p2s_mean,regional_torso_p2s_mean,relative_realized_gain,responsive_candidate_fraction,rgb_mae,rgb_psnr,rho_off,root_failures,round_optimization_seconds,round_scoring_seconds,scoring_seconds,selected_ids,silhouette_f1,silhouette_iou,surface_rms,symmetric_chamfer,target_point_rms,top10_error_region_fraction,top25_error_region_fraction,total_seconds
,,32,,,0,,0,,,,977.5290921939845,,0,,,observation_driven,,,0.9855171562903475,0.014482843709652471,0.0012429925183537604,1.711125017143786,5,,,829.240234375,934.0,0.0025648637342422995,0.0076128570499629416,,,,,0.0031427122431406823,0.001765430330932337,0.004451397440551143,0.0016265074015595635,,,0.00590299780461251,29.05531485394925,,0,,,0.0,,0.9923804259144059,0.9848760366439819,0.005477155371492723,0.005435596313979524,0.0029665189065254723,,,1.7930030620191246
64,32,64,32,3.0747313465110007,1,7384737,0,32,0,,958.2569018779872,0.8501829989305586,0,286.0,4.0,observation_driven,0.0,0,0.9856586414872667,0.014341358512733327,0.0012184866611200805,2.146660831058398,6,0.5799101779891099,0.008953697487614229,1314.22900390625,2130.0,0.002487326697160044,0.00721248730785567,22.752873150228737,26.76232432176305,7242.254316722783,19.272190315997364,0.0027908149350856708,0.0017653932032428354,0.004352759413389088,0.0016276424103283881,0.019715208958888886,1.0,0.005777325149496129,29.141792207128653,0.37709171516725765,0,0.43553581391461194,0.37591231311671436,0.37591231311671436,"[60, 199, 953, 111, 1070, 3014, 3065, 912, 118, 2375, 1127, 430, 208, 92, 59, 583, 241, 508, 72, 2440, 1928, 651, 2148, 120, 193, 161, 1936, 2798, 742, 97, 235, 1057]",0.9923804259144059,0.9848760366439819,0.005404887822213371,0.005370389617666593,0.00281757087933183,0.8125,0.875,2.778992591192946
96,64,96,32,0.37664659438868764,2,7381098,0,32,0,,940.5488140777446,0.8291716436309904,0,284.0,4.0,observation_driven,0.0,0,0.9858009104731713,0.01419908952682869,0.0011959696630830696,2.5015100711025298,7,0.7534089902140313,0.009579403818440824,1509.41796875,2130.0,0.002419647077681784,0.0067625746140216065,6.229718230923895,7.513182920298143,2493.102649530115,17.708087800242538,0.002479134885546861,0.0017672312944652247,0.004277656259080983,0.0016240426120813203,0.01847947848383697,1.0,0.005665399637299159,29.22279836503728,0.326873891473532,0,0.3548492400441319,0.34517433610744774,0.7210866492241621,"[823, 3879, 1017, 3428, 454, 3183, 505, 1966, 1291, 535, 1977, 201, 2763, 392, 967, 689, 2904, 983, 210, 2760, 877, 1214, 1782, 3092, 489, 1255, 4049, 2280, 902, 450, 2008, 1801]",0.9923804259144059,0.9848760366439819,0.005344761674056645,0.005312082479303924,0.002695890003757105,0.78125,0.875,3.6038359091617167
128,96,128,32,0.23620351950688345,3,7377848,0,32,0,,932.9881694059752,0.9393980930884755,0,282.0,4.0,observation_driven,0.0,0,0.9858951704191374,0.014104829580862566,0.0011863558062311494,2.8632421961519867,8,0.4849906058671765,0.0033919128919849702,1511.06494140625,2130.0,0.002399581047334107,0.006590485600028215,3.8430496493348576,4.090970247448551,1639.290241712301,7.56064467176941,0.002488672115100172,0.0017669418755204339,0.004214974570315591,0.0016111557741687477,0.008038545749678078,1.0,0.005614278184315914,29.25785039885465,0.12592472591484122,0,0.36173212504945695,0.343551262980327,1.0646379122044891,"[56, 200, 3887, 344, 2950, 637, 1502, 4025, 1661, 3383, 232, 350, 180, 677, 278, 1071, 559, 2951, 830, 1272, 2167, 1061, 148, 966, 696, 2845, 977, 103, 837, 798, 2169, 3759]",0.9923804259144059,0.9848760366439819,0.005317241239274729,0.005291893865721705,0.002643424980096389,0.625,0.84375,4.4323504969943315
160,128,160,32,0.19313052991703286,4,7376121,0,32,0,,928.0769350657046,0.9529478172379949,0,281.0,4.0,observation_driven,0.0,0,0.9859126450334234,0.014087354966576648,0.001180110848828258,3.2303200950846076,9,0.37031388584587493,0.002253224019393212,1511.06494140625,2130.0,0.002363030133536523,0.0062638115565935735,2.943427231641088,3.0887601381702714,1310.2309729369458,4.911234340270653,0.0023635164362686783,0.0017528682393998696,0.004207212908688148,0.001582639035968791,0.005263983511599712,1.0,0.005582294609979792,29.280771971231943,0.10865185401116718,0,0.3670778989326209,0.3422759820241481,1.4069138942286372,"[252, 1703, 216, 3075, 110, 75, 1000, 2007, 920, 2433, 2710, 782, 2347, 468, 437, 3234, 1831, 517, 79, 614, 1318, 1081, 536, 215, 552, 3059, 213, 848, 2026, 2588, 781, 3342]",0.9923804259144059,0.9848760366439819,0.005277260210758419,0.005260981734258196,0.0025599734868474505,0.40625,0.5,5.262688018148765
192,160,192,32,0.13788708148376896,5,7378789,0,32,0,,924.2267871533767,0.9508122235484812,0,281.0,4.0,observation_driven,0.0,0,0.9859414928666965,0.014058507133303477,0.001175215132590455,3.60406492324546,10,0.7514893072182958,0.0025297734824605775,1511.06494140625,2130.0,0.0023314197841407406,0.006185312940039359,2.3619994533306237,2.4841912996401305,1106.6269365583837,3.850147912327884,0.0022965032546092253,0.0017439575787987162,0.004178713787910676,0.0015550505342780273,0.004148522355051639,0.9999999403953552,0.005546926679785579,29.29882625013733,0.06707610046997713,0,0.3737448281608522,0.3418032908812165,1.7487171851098537,"[791, 390, 266, 565, 3726, 2600, 170, 1364, 799, 63, 1984, 3790, 1391, 2264, 239, 3416, 1711, 1062, 510, 2766, 1796, 1098, 1262, 1345, 214, 363, 1595, 3510, 1231, 1794, 3206, 1878]",0.9923804259144059,0.9848760366439819,0.005258381727299858,0.005238456361434421,0.0025257347419371176,0.625,0.8125,6.098002013051882
224,192,224,32,0.09402969705838438,6,7377323,0,32,0,,921.5593810870153,0.9914006375980023,0,279.0,4.0,observation_driven,0.0,0,0.9859598354515924,0.014040164548407619,0.0011718233503812349,3.981198336230591,11,0.4236561831603421,0.0013474319808156072,1511.06494140625,2130.0,0.002314931228784639,0.006088579257066104,2.0142026766781136,2.0316737757584957,803.516690976677,2.6674060663614227,0.002283792045443892,0.0017092922250657439,0.004150876143749441,0.0015476494979070475,0.0028860947371770595,0.9999999403953552,0.005518587512281435,29.311378522572586,0.1331016021364669,0,0.37713341298513114,0.3428175400476903,2.091534725157544,"[3025, 2118, 913, 2392, 2030, 704, 2446, 1508, 601, 3543, 1983, 374, 795, 486, 2065, 547, 1809, 348, 365, 1832, 3892, 1242, 2061, 713, 3624, 440, 343, 2059, 515, 3105, 3335, 2073]",0.9923804259144059,0.9848760366439819,0.005242823616570663,0.005225625706169962,0.0024979129831706457,0.5625,0.6875,6.939537951024249
256,224,256,32,0.09571653101649569,7,7380577,0,32,0,,919.1368147699777,0.9867505198672939,0,279.0,4.0,observation_driven,0.0,0,0.9859685786266736,0.014031421373326358,0.0011687428980127687,4.36253746622242,12,0.07145148606494924,0.0007511445957151233,1512.48388671875,2130.0,0.0022977019888102846,0.006024674350056185,1.6936789468937823,1.716420627902544,779.6654253226533,2.4225663170375356,0.002221785808089928,0.0017066309901735497,0.004122288931306782,0.0015467831773798744,0.0026287685490000916,0.9999999403953552,0.005483594912276452,29.322810151467937,0.03370210264510774,0,0.3813391299918294,0.346109185134992,2.437643910292536,"[1467, 1872, 1846, 321, 1972, 1196, 532, 345, 1942, 1138, 1294, 756, 1899, 1785, 870, 335, 188, 2635, 2050, 1844, 129, 2870, 588, 539, 431, 78, 662, 1241, 3748, 342, 1457, 1479]",0.9923804259144059,0.9848760366439819,0.005236795416386348,0.005213215725367971,0.002474227556456336,0.375,0.625,7.78931686305441
320,256,320,64,0.05487565572009287,8,7380181,0,64,0,,916.2838384747114,0.9825958855167806,0,278.0,4.0,observation_driven,0.0,0,0.9859756061118936,0.01402439388810639,0.001165115151055287,4.757250073365867,13,0.5367662944057148,0.0007912945832416303,1512.48388671875,2130.0,0.002263735448955068,0.005943729950667804,2.6024152671500294,2.6485102426226126,1404.3993263458203,2.8529762952663305,0.0021961689387144,0.0016678070134959356,0.00406897284557405,0.0015211613967456893,0.0031039734775288198,1.0,0.005442157459711305,29.33631150177414,0.07010935506612768,0,0.3947126071434468,0.34627683414146304,2.783920744433999,"[904, 993, 1383, 480, 3058, 324, 3004, 1949, 653, 396, 776, 3461, 318, 474, 2681, 2981, 1695, 925, 1400, 123, 1076, 592, 2743, 770, 873, 3983, 2312, 943, 3124, 420, 4023, 172, 987, 38, 2054, 1957, 230, 2494, 329, 313, 649, 1454, 464, 3546, 3184, 115, 407, 206, 1929, 2777, 1325, 875, 1084, 323, 234, 907, 3880, 1683, 292, 185, 2458, 42, 765, 1085]",0.9923804259144059,0.9848760366439819,0.005219344634596824,0.00519015411918276,0.002441055326879859,0.25,0.625,8.657314669108018
384,320,384,64,0.07302721128757657,9,7379946,0,64,0,,913.8349260612113,0.9553633112454659,0,276.0,4.0,observation_driven,0.0,0,0.9859770771226136,0.014022922877386379,0.0011620011978927755,5.163627858273685,14,0.8414153526901565,0.0011288214023710684,1512.48388671875,2130.0,0.0022358283289175595,0.0058249179213452395,2.154726258980242,2.255399839639245,1214.107047511995,2.448912413500125,0.002175577305658131,0.001612817870349992,0.00402594248492429,0.0015053529037081124,0.00267265699848717,1.0,0.00539699889823634,29.347934242366055,0.09521518633602644,0,0.40637778490781784,0.3440452888607979,3.127966033294797,"[3191, 1616, 246, 2116, 578, 2219, 3664, 498, 1441, 2607, 1004, 1067, 573, 3828, 138, 3993, 2991, 1407, 1469, 294, 1088, 2830, 1522, 2756, 1978, 812, 1346, 1044, 2100, 4078, 1399, 95, 3484, 369, 1488, 927, 3043, 3756, 2307, 1129, 2029, 2526, 725, 918, 52, 2449, 1996, 738, 726, 1885, 1170, 3414, 1385, 3860, 2033, 841, 2832, 2615, 996, 2507, 829, 1416, 1925, 3074]",0.9923804259144059,0.9848760366439819,0.005201513235797177,0.0051700496149476895,0.0024046305217768653,0.296875,0.65625,9.536618039011955
