metric,value
version,0.8.10
scope,stratified geodesic polar emitter sampling
configuration.k_geom,64
configuration.k_chart,1024
configuration.matched_m[0],64
configuration.matched_m[1],256
configuration.matched_m[2],1024
configuration.seeds[0],101
configuration.seeds[1],211
configuration.seeds[2],307
configuration.seeds[3],401
configuration.seeds[4],503
configuration.seeds[5],601
configuration.seeds[6],701
configuration.seeds[7],809
configuration.jitter_values[0],0.0
configuration.jitter_values[1],0.1
configuration.jitter_values[2],0.25
configuration.jitter_values[3],0.4
configuration.primary_jitter,0.25
configuration.primary_radial_scheme,AREA_STRATIFIED
configuration.geodesic_integration_steps,32
configuration.diagnostic_resolution,64
configuration.comparison_resolutions[0][0],256
configuration.comparison_resolutions[0][1],256
configuration.comparison_resolutions[1][0],512
configuration.comparison_resolutions[1][1],512
configuration.comparison_resolutions[2][0],1080
configuration.comparison_resolutions[2][1],1920
configuration.fullhd_views,4
configuration.emitter_chunk_size,8192
configuration.camera_block_size,4
configuration.detector_extent,2.8
configuration.sensor_gain,1.5
configuration.ambient,0.35
configuration.emission_transition_width,0.05
configuration.packet_radius_over_surface_h,1.0
configuration.packet_shell_over_radius,1.0
configuration.packet_step_over_epsilon,0.5
configuration.target_crossing_transmission,0.01
configuration.launch_exclusion_factor,1.05
configuration.graph_threshold,1e-10
configuration.performance_charts,4
configuration.measure_m,256
configuration.response_parameter,18
configuration.response_delta,0.001
configuration.thin_feature_target,0.75
environment.available,True
environment.gpu,Quadro RTX 5000
environment.vram_mib,15904.875
environment.pytorch,2.5.1+cu124
environment.pytorch_cuda,12.4
control_sampler.name,SOBOL_DISK_ENDPOINTS
control_sampler.rho,sqrt(u1)
control_sampler.theta,2*pi*u2
control_sampler.identity,"(chart k, endpoint m)"
stratified_sampler.name,STRATIFIED_GEODESIC_POLAR
stratified_sampler.angular,2*pi*(a+0.5+eps_theta)/N_theta
stratified_sampler.angular_jitter_units,fractions of one angular bin
stratified_sampler.area_radial,rho=sqrt((b+0.5+eps_r)/N_r)
stratified_sampler.distance_radial,rho=(b+0.5+eps_r)/N_r
stratified_sampler.distance_radial_mass,((b+1)^2-b^2)/N_r^2
stratified_sampler.identity,"(chart k, angular ray a, radial stratum b)"
stratified_sampler.integration,one incremental ray on a fixed 32-step chart-radius grid; radial stops are recorded by interpolation at crossings
stratified_sampler.integration_step,"R_chart / 32, independent of N_r and stop locations"
source_measure,v0.8.9 HIERARCHICAL_MASS_CONSERVING
geometry_changed,False
transport_changed,False
detector_changed,False
geometry_optimization_run,False
birth_run,False
numerical_validation.configuration.charts,4
numerical_validation.configuration.n_theta,4
numerical_validation.configuration.n_r,4
numerical_validation.position_max_absolute_error,0.0
numerical_validation.normal_max_absolute_error,0.0
