metric,value
version,0.8.12
starting_commit,3dd93c8672c432c007290c0f25facc518cfbb0a7
cache_digest,e7ac72b0f0f56161a2fafc1bd743bbe9687591510bff51f5e7c4c85cda0aea63
source_configuration.K_chart,1024
source_configuration.N_theta,32
source_configuration.N_r,32
source_configuration.radial,AREA_STRATIFIED
source_configuration.angular_jitter,0
source_configuration.radial_jitter,0
source_configuration.micro,1
production_transmission_calls,0
cache_origin,exact v0.8.11 source.pt and radius_1.pt micro=1
source_mass,9.088634202953163
resolution[0],1080
resolution[1],1920
views,4
gate_label_disambiguation,Task G3/G6 share a textual label: actual widths 0.10 and 0.01 are distinct here; G4 is an exact alias of G0 (0.05).
gate_widths.CURRENT_SOFT_W005,0.05
gate_widths.SOFT_W010,0.1
gate_widths.SOFT_W002,0.02
gate_widths.SOFT_W001,0.01
gate_widths.SOFT_W0005,0.005
gate_widths.HARD_OUTWARD,
gate_widths.NO_OUTWARD_GATE,
reference_analysis.measure_consistency,unresolved
reference_analysis.reference_sample_count,4096
reference_analysis.production_sample_count,1048576
reference_analysis.reference_definition,"finite_packet._hard_images takes corrected_birth._render_cell.numerator, NOT its normalized/clipped image; hard visible owners, equal 1/4096 sample masses, cubic splats, sensor_gain*H*W scaling"
reference_analysis.production_definition,"hierarchical surface-side mass / reference_area, soft transmission, outward gate, cubic splats; no projected-area Jacobian"
reference_analysis.interpretation,"Both are additive sample measures, not raster occupancy or per-pixel normalized visible radiance. Different source sampling/weights and visibility mean equality of underlying continuum measures is not established. No reference was changed."
reference_analysis.sources[0],src/zlt/finite_packet.py::_hard_images
reference_analysis.sources[1],src/zlt/corrected_birth.py::_render_cell
reference_analysis.sources[2],src/zlt/corrected_birth.py::_visibility_cells
reference_analysis.foreground_pixels[0],30547
reference_analysis.foreground_pixels[1],27861
reference_analysis.foreground_pixels[2],32011
reference_analysis.foreground_pixels[3],23791
reference_analysis.interior_gt8_pixels[0],0
reference_analysis.interior_gt8_pixels[1],0
reference_analysis.interior_gt8_pixels[2],0
reference_analysis.interior_gt8_pixels[3],0
reference_analysis.reference_maxima[0],378.12432861328125
reference_analysis.reference_maxima[1],350.870361328125
reference_analysis.reference_maxima[2],358.46099853515625
reference_analysis.reference_maxima[3],496.1266784667969
measurements[0].id,gate_CURRENT_SOFT_W005
measurements[0].gate,CURRENT_SOFT_W005
measurements[0].width,0.05
measurements[0].kernel,CUBIC_4X4
measurements[0].lobe,CURRENT_LOBE
measurements[0].projected,NONE
measurements[0].transmission_off,False
measurements[0].group,gate
measurements[0].primary,False
measurements[0].cache_digest,e7ac72b0f0f56161a2fafc1bd743bbe9687591510bff51f5e7c4c85cda0aea63
measurements[0].whole_image_mse,17.411538065843622
measurements[0].foreground_mse,1243.99780521262
measurements[0].interior_gt8px_mse,
measurements[0].silhouette_0_8px_mse,99.570552337324
measurements[0].total_image_energy,5449060.034015248
measurements[0].foreground_mean_brightness,0.8429537351698625
measurements[0].edge_sharpness,0.42541516050103645
measurements[0].reference_edge_sharpness,2.19512979735671
measurements[0].edge_sharpness_ratio,0.19379954707612498
measurements[0].thin_feature_response_ratio,0.006711763713858359
measurements[0].replay_seconds,0.6823901950847358
measurements[0].artifact_aware.per_view[0].gradient_magnitude_ratio,0.07293562432038156
measurements[0].artifact_aware.per_view[0].gradient_cosine,0.004217099313929103
measurements[0].artifact_aware.per_view[0].reference_aligned_gradient_energy,10783.83197299751
measurements[0].artifact_aware.per_view[0].unmatched_gradient_energy,202689.01317698884
measurements[0].artifact_aware.per_view[0].excess_hf_weak_reference,0.09704015691554845
measurements[0].artifact_aware.per_view[0].gradient_squared_error,9.721797606575818
measurements[0].artifact_aware.per_view[0].weak_reference_pixels,2028939
