metric,value
version,0.8.12
experiment,CHART_POLAR_COHERENT_ALIASING
starting_commit,3dd93c8672c432c007290c0f25facc518cfbb0a7
separate_from_frozen_measurement,True
frozen_measurement_digest,e7ac72b0f0f56161a2fafc1bd743bbe9687591510bff51f5e7c4c85cda0aea63
variants.CURRENT.whole_image_mse,17.411538065843622
variants.CURRENT.foreground_mse,1243.99780521262
variants.CURRENT.interior_gt8px_mse,
variants.CURRENT.silhouette_0_8px_mse,99.570552337324
variants.CURRENT.total_image_energy,5449060.033977723
variants.CURRENT.foreground_mean_brightness,0.8429537351698625
variants.CURRENT.edge_sharpness,0.4254151606243226
variants.CURRENT.reference_edge_sharpness,2.19512979735671
variants.CURRENT.edge_sharpness_ratio,0.19379954713228847
variants.CURRENT.thin_feature_response_ratio,0.006711763716519121
variants.CURRENT.historical_squared_image_energy,7434953.625
variants.CURRENT.stratification.samples_per_ring,32
variants.CURRENT.stratification.radial_strata,32
variants.CURRENT.stratification.minimum_angular_gap,0.1963495408493614
variants.CURRENT.stratification.rho_digest,042954e8208f199a1ae7c8c3196b1f352006e95882f0356c783835a4a85dcadf
variants.CURRENT.stratification.chart_and_radial_weights_identical,True
variants.CURRENT.stratification.intrinsic_mode32_per_chart_mean,1.0
variants.CURRENT.stratification.intrinsic_mode32_across_charts,1.0
variants.CURRENT.artifact_metrics.per_view[0].gradient_magnitude_ratio,0.07293562432111286
variants.CURRENT.artifact_metrics.per_view[0].gradient_cosine,0.0042170994697676685
variants.CURRENT.artifact_metrics.per_view[0].reference_aligned_gradient_energy,10783.831972460812
variants.CURRENT.artifact_metrics.per_view[0].unmatched_gradient_energy,202689.01318180622
variants.CURRENT.artifact_metrics.per_view[0].excess_hf_weak_reference,0.09704015691724942
variants.CURRENT.artifact_metrics.per_view[0].gradient_squared_error,9.72179760635684
variants.CURRENT.artifact_metrics.per_view[0].weak_reference_pixels,2028939
variants.CURRENT.artifact_metrics.per_view[1].gradient_magnitude_ratio,0.07174758931524768
variants.CURRENT.artifact_metrics.per_view[1].gradient_cosine,0.0059586432898668055
variants.CURRENT.artifact_metrics.per_view[1].reference_aligned_gradient_energy,6935.910501850181
variants.CURRENT.artifact_metrics.per_view[1].unmatched_gradient_energy,127694.25506114087
variants.CURRENT.artifact_metrics.per_view[1].excess_hf_weak_reference,0.06094739363596439
variants.CURRENT.artifact_metrics.per_view[1].gradient_squared_error,6.333343890118977
variants.CURRENT.artifact_metrics.per_view[1].weak_reference_pixels,2032827
variants.CURRENT.artifact_metrics.per_view[2].gradient_magnitude_ratio,0.0721074219422507
variants.CURRENT.artifact_metrics.per_view[2].gradient_cosine,0.0013889525139872223
variants.CURRENT.artifact_metrics.per_view[2].reference_aligned_gradient_energy,9372.34906335934
variants.CURRENT.artifact_metrics.per_view[2].unmatched_gradient_energy,198841.463086132
variants.CURRENT.artifact_metrics.per_view[2].excess_hf_weak_reference,0.09557008397328542
variants.CURRENT.artifact_metrics.per_view[2].gradient_squared_error,9.704213059588861
variants.CURRENT.artifact_metrics.per_view[2].weak_reference_pixels,2026421
variants.CURRENT.artifact_metrics.per_view[3].gradient_magnitude_ratio,0.07036472987240455
variants.CURRENT.artifact_metrics.per_view[3].gradient_cosine,0.0005916311943723202
variants.CURRENT.artifact_metrics.per_view[3].reference_aligned_gradient_energy,5520.503247548737
variants.CURRENT.artifact_metrics.per_view[3].unmatched_gradient_energy,110559.92780838661
variants.CURRENT.artifact_metrics.per_view[3].excess_hf_weak_reference,0.05281691339842773
variants.CURRENT.artifact_metrics.per_view[3].gradient_squared_error,5.680714604406394
variants.CURRENT.artifact_metrics.per_view[3].weak_reference_pixels,2038801
variants.CURRENT.artifact_metrics.gradient_magnitude_ratio,0.07178884136275396
variants.CURRENT.artifact_metrics.gradient_cosine,0.0030390816169985047
variants.CURRENT.artifact_metrics.reference_aligned_gradient_energy,8153.148696304768
variants.CURRENT.artifact_metrics.unmatched_gradient_energy,159946.1647843664
