metric,value
version,0.8.13
starting_commit,fa141e346284d2a15117922046a66e588ca7d21a
seed_list[0],101
phase,PER_CHART_PLUS_RING
resolution[0],1080
resolution[1],1920
views,4
geometry_digest,c262097d30d246d7437b6ae3736508e68189236e524ef0748013219b3f7859ca
reference_digest,94115c06a4139a1cf9fc0b195d19255cc60fe80eb6f15ffd2daffc29604388bf
cells[0].E,1
cells[0].K_chart,1024
cells[0].N_theta,32
cells[0].N_r,32
cells[0].emitters_per_chart,1024
cells[0].total_emitters,1048576
cells[0].state_digest,b3109c226af37956bf233f54735631cbd5b02439ce35c22cd0e4786c44d0a370
cells[0].source_mass,9.088634202953163
cells[0].weight_sum,1.0
cells[0].maximum_chart_mass_difference,0.0
cells[0].runtime.mapping_seconds,0
cells[0].runtime.transport_seconds,0
cells[0].runtime.cache_reused,True
cells[0].C,1
cells[0].capture_grid,1
cells[0].capture_samples_per_pixel,1
cells[0].whole_image_mse,17.364102687757203
cells[0].foreground_mse,1244.1139888509472
cells[0].interior_gt8px_mse,
cells[0].silhouette_0_8px_mse,99.41327110673946
cells[0].total_image_energy,5448943.212818577
cells[0].foreground_mean_brightness,0.8385688803337419
cells[0].edge_sharpness,0.32797334798974226
cells[0].reference_edge_sharpness,2.19512979735671
cells[0].edge_sharpness_ratio,0.1494095467086616
cells[0].thin_feature_response_ratio,0.005510162130633116
cells[0].historical_squared_image_energy,6146082.875
cells[0].gradient_magnitude_ratio,0.05480337755412783
cells[0].gradient_cosine,0.00403452873876514
cells[0].reference_aligned_gradient_energy,4362.262575825546
cells[0].unmatched_gradient_energy,92903.51849346036
cells[0].excess_hf_weak_reference,0.04459261081855016
cells[0].gradient_squared_error,7.843289860616128
cells[0].weak_reference_pixels,2031747.0
cells[0].gradient_per_view[0].gradient_magnitude_ratio,0.05382846390135482
cells[0].gradient_per_view[0].gradient_cosine,0.0015481070593374177
cells[0].gradient_per_view[0].reference_aligned_gradient_energy,5281.22132743184
cells[0].gradient_per_view[0].unmatched_gradient_energy,110994.00723207864
cells[0].gradient_per_view[0].excess_hf_weak_reference,0.05332258447995776
cells[0].gradient_per_view[0].gradient_squared_error,9.702700385537284
cells[0].gradient_per_view[0].weak_reference_pixels,2028939
cells[0].gradient_per_view[1].gradient_magnitude_ratio,0.05401067084243562
cells[0].gradient_per_view[1].gradient_cosine,0.005035655477725905
cells[0].gradient_per_view[1].reference_aligned_gradient_energy,3712.2976151789308
cells[0].gradient_per_view[1].unmatched_gradient_energy,72581.08941248796
cells[0].gradient_per_view[1].excess_hf_weak_reference,0.034717679266702564
cells[0].gradient_per_view[1].gradient_squared_error,6.321239089217835
cells[0].gradient_per_view[1].weak_reference_pixels,2032827
cells[0].gradient_per_view[2].gradient_magnitude_ratio,0.055473523278453965
cells[0].gradient_per_view[2].gradient_cosine,0.0028637350184107296
cells[0].gradient_per_view[2].reference_aligned_gradient_energy,5215.513841592549
cells[0].gradient_per_view[2].unmatched_gradient_energy,118015.80564539823
cells[0].gradient_per_view[2].excess_hf_weak_reference,0.05684768986712235
cells[0].gradient_per_view[2].gradient_squared_error,9.682587768950924
cells[0].gradient_per_view[2].weak_reference_pixels,2026421
cells[0].gradient_per_view[3].gradient_magnitude_ratio,0.05590085219426691
cells[0].gradient_per_view[3].gradient_cosine,0.006690617399586507
cells[0].gradient_per_view[3].reference_aligned_gradient_energy,3240.0175190988616
cells[0].gradient_per_view[3].unmatched_gradient_energy,70023.17168387662
cells[0].gradient_per_view[3].excess_hf_weak_reference,0.03348248966041796
cells[0].gradient_per_view[3].gradient_squared_error,5.66663219875847
cells[0].gradient_per_view[3].weak_reference_pixels,2038801
cells[0].high_frequency_response,0.05480337755412783
cells[0].artifact_scores.spoke_anisotropy,0.5356766583731566
cells[0].artifact_scores.angular_lattice_fraction,0.034380420800887504
cells[0].artifact_scores.radial_banding_score,0.0013228230148107354
cells[0].artifact_scores.radial_banding_per_view[0],0.0011895324518163377
cells[0].artifact_scores.radial_banding_per_view[1],0.0013314099923459723
