metric,value
version,0.8.14
starting_commit,975f820fa7cba98a49c3f27fb6e3f487187a6464
seed_list[0],101
emitters,4194304
views,4
resolution[0],1080
resolution[1],1920
capture_grid,4
global_measure.definition,"Uniform area on fixed marching-cubes polyhedral F0=0 surface, pushed to trilinear F0 by fixed-normal attachment. Under λ, push forward the same reference measure on persistent normal lines; NOT equal area on every deformed surface."
global_measure.triangles,117300
global_measure.polyhedral_area,9.2200944031482
global_measure.seed,101
global_measure.sample_ids,"Sobol index, fixed face ID and barycentric coordinate"
global_measure.face_ids_digest,915ebbc7258d871d474a251b431b4f36f42227e40db75ef91ebd8c3c0a9994ea
global_measure.barycentric_digest,90ba06acfac74483ece1094e7337dae8d3827237bceb4d7b1f56cf20a3cb1c6c
global_measure.max_projection_displacement,0.002373307792162988
global_measure.max_surface_residual,4.2648022480677126e-07
global_measure.attachment_seconds,12.128346438985318
comparisons.current.whole_image_mse,17.328206018518518
comparisons.current.foreground_mse,1244.090196421796
comparisons.current.interior_gt8px_mse,
comparisons.current.silhouette_0_8px_mse,99.29415453384507
comparisons.current.foreground_mean_brightness,0.8444594478737997
comparisons.current.edge_sharpness,0.08340902345379217
comparisons.current.reference_edge_sharpness,2.19512979735671
comparisons.current.edge_sharpness_ratio,0.03799730820210726
comparisons.current.thin_feature_response_ratio,0.0010123196364327973
comparisons.current.gradient_magnitude_ratio,0.0160302871038719
comparisons.current.gradient_cosine,-0.0007709078559827651
comparisons.current.reference_aligned_gradient_energy,663.2479522998445
comparisons.current.unmatched_gradient_energy,7482.187502049468
comparisons.current.excess_hf_weak_reference,0.003465328227897778
comparisons.current.gradient_squared_error,7.825254126036475
comparisons.current.weak_reference_pixels,2031747.0
comparisons.current.gradient_relative_l2,1.0001372246934206
comparisons.current.historical_squared_image_energy,5225928.125
comparisons.current.surface_density.raw_count_density.mean,0.1069286328604929
comparisons.current.surface_density.raw_count_density.cv,0.2868609494948127
comparisons.current.surface_density.raw_count_density.p05,0.06292459147083705
comparisons.current.surface_density.raw_count_density.p50,0.10341975078135776
comparisons.current.surface_density.raw_count_density.p95,0.1623281009254546
comparisons.current.surface_density.weighted_source_density.mean,0.10692765385980549
comparisons.current.surface_density.weighted_source_density.cv,0.295033106923202
comparisons.current.surface_density.weighted_source_density.p05,0.06136492677434192
comparisons.current.surface_density.weighted_source_density.p50,0.10353671254722614
comparisons.current.surface_density.weighted_source_density.p95,0.16330489300148637
comparisons.current.surface_density.neighbor_radius.mean,0.0034762835148660987
comparisons.current.surface_density.neighbor_radius.cv,0.147996582403576
comparisons.current.surface_density.neighbor_radius.p05,0.0027350057819645153
comparisons.current.surface_density.neighbor_radius.p50,0.003426520697160946
comparisons.current.surface_density.neighbor_radius.p95,0.0043928350950892875
comparisons.current.surface_density.definition,17-nearest Euclidean query at identical global area probes; discard nearest and use 16 neighbors / pi*r17^2. Thin nearby sheets/curvature bias this local surface-area approximation.
comparisons.current.per_view[0].whole_image_mse,21.10724537037037
comparisons.current.per_view[0].foreground_mse,1415.8914896170927
comparisons.current.per_view[0].interior_gt8px_mse,
comparisons.current.per_view[0].silhouette_0_8px_mse,117.50149476629619
comparisons.current.per_view[0].foreground_mean_brightness,0.9454067877642104
comparisons.current.per_view[0].edge_sharpness,0.08798158631009777
comparisons.current.per_view[0].reference_edge_sharpness,2.4662797633221087
comparisons.current.per_view[0].edge_sharpness_ratio,0.035673806199336244
comparisons.current.per_view[0].thin_feature_response_ratio,0.0009675204738539493
comparisons.current.per_view[0].gradient_magnitude_ratio,0.014914874929227117
comparisons.current.per_view[0].gradient_cosine,-0.006019833761003765
comparisons.current.per_view[0].reference_aligned_gradient_energy,699.4505651717242
comparisons.current.per_view[0].unmatched_gradient_energy,8227.486242586318
comparisons.current.per_view[0].excess_hf_weak_reference,0.0038369998021767554
comparisons.current.per_view[0].gradient_squared_error,9.680166124446194
comparisons.current.per_view[0].weak_reference_pixels,2028939
comparisons.current.per_view[0].gradient_relative_l2,1.0002009916159025
comparisons.current.per_view[0].historical_squared_image_energy,1648841.5
comparisons.current.per_view[0].emitted_rgb_before_view_selection,1.5489680757546012
comparisons.current.per_view[0].pre_transmission_rgb_after_gate_lobe,0.5739053298574007
comparisons.current.per_view[0].total_rendered_rgb,1566561.1475587424
comparisons.current.per_view[1].whole_image_mse,13.837178497942388
comparisons.current.per_view[1].foreground_mse,1017.7451395618726
comparisons.current.per_view[1].interior_gt8px_mse,
comparisons.current.per_view[1].silhouette_0_8px_mse,81.55422640245943
comparisons.current.per_view[1].foreground_mean_brightness,0.8015584994855414
comparisons.current.per_view[1].edge_sharpness,0.08040398123864688
comparisons.current.per_view[1].reference_edge_sharpness,2.039242637074662
comparisons.current.per_view[1].edge_sharpness_ratio,0.03942835431981166
comparisons.current.per_view[1].thin_feature_response_ratio,0.0011368901458968076
comparisons.current.per_view[1].gradient_magnitude_ratio,0.01706603523116712
comparisons.current.per_view[1].gradient_cosine,0.004990985923234597
comparisons.current.per_view[1].reference_aligned_gradient_energy,727.0357330675317
comparisons.current.per_view[1].unmatched_gradient_energy,6890.12339563006
comparisons.current.per_view[1].excess_hf_weak_reference,0.0031557894541429463
comparisons.current.per_view[1].gradient_squared_error,6.3070354865806255
comparisons.current.per_view[1].weak_reference_pixels,2032827
comparisons.current.per_view[1].gradient_relative_l2,1.0000604466107552
comparisons.current.per_view[1].historical_squared_image_energy,1080706.625
comparisons.current.per_view[1].emitted_rgb_before_view_selection,1.5489680757546012
comparisons.current.per_view[1].pre_transmission_rgb_after_gate_lobe,0.45981535069234836
comparisons.current.per_view[1].total_rendered_rgb,1209912.2569246173
comparisons.current.per_view[2].whole_image_mse,21.427836934156378
comparisons.current.per_view[2].foreground_mse,1372.5745108452302
comparisons.current.per_view[2].interior_gt8px_mse,
comparisons.current.per_view[2].silhouette_0_8px_mse,106.68539978640771
comparisons.current.per_view[2].foreground_mean_brightness,0.8510541298303708
comparisons.current.per_view[2].edge_sharpness,0.08443217530192888
comparisons.current.per_view[2].reference_edge_sharpness,2.239449352499318
comparisons.current.per_view[2].edge_sharpness_ratio,0.03770220353842746
comparisons.current.per_view[2].thin_feature_response_ratio,0.0009356307911991333
comparisons.current.per_view[2].gradient_magnitude_ratio,0.015333459224433086
comparisons.current.per_view[2].gradient_cosine,-0.003966067621103267
comparisons.current.per_view[2].reference_aligned_gradient_energy,699.7646296558108
comparisons.current.per_view[2].unmatched_gradient_energy,8715.442612728466
comparisons.current.per_view[2].excess_hf_weak_reference,0.004069400426272511
comparisons.current.per_view[2].gradient_squared_error,9.659386021214011
comparisons.current.per_view[2].weak_reference_pixels,2026421
comparisons.current.per_view[2].gradient_relative_l2,1.0001783551167693
comparisons.current.per_view[2].historical_squared_image_energy,1572628.5
comparisons.current.per_view[2].emitted_rgb_before_view_selection,1.5489680757546012
comparisons.current.per_view[2].pre_transmission_rgb_after_gate_lobe,0.5634766929525113
comparisons.current.per_view[2].total_rendered_rgb,1603559.5997841822
comparisons.current.per_view[3].whole_image_mse,12.940563271604939
comparisons.current.per_view[3].foreground_mse,1115.6918162330294
comparisons.current.per_view[3].interior_gt8px_mse,
comparisons.current.per_view[3].silhouette_0_8px_mse,87.49520263950328
comparisons.current.per_view[3].foreground_mean_brightness,0.7562127397615345
comparisons.current.per_view[3].edge_sharpness,0.08081835096449512
comparisons.current.per_view[3].reference_edge_sharpness,2.0355474365307504
comparisons.current.per_view[3].edge_sharpness_ratio,0.03970349671744151
comparisons.current.per_view[3].thin_feature_response_ratio,0.0010358048995343892
comparisons.current.per_view[3].gradient_magnitude_ratio,0.016806779030660288
comparisons.current.per_view[3].gradient_cosine,0.0019112840349413745
comparisons.current.per_view[3].reference_aligned_gradient_energy,526.7408813043113
comparisons.current.per_view[3].unmatched_gradient_energy,6095.697757253032
comparisons.current.per_view[3].excess_hf_weak_reference,0.0027991232289988994
comparisons.current.per_view[3].gradient_squared_error,5.654428871905067
comparisons.current.per_view[3].weak_reference_pixels,2038801
comparisons.current.per_view[3].gradient_relative_l2,1.000109105430255
comparisons.current.per_view[3].historical_squared_image_energy,923751.5
comparisons.current.per_view[3].emitted_rgb_before_view_selection,1.5489680757546012
comparisons.current.per_view[3].pre_transmission_rgb_after_gate_lobe,0.4748694253917321
comparisons.current.per_view[3].total_rendered_rgb,1068934.542203524
comparisons.current.source_weight_sum,1.0
comparisons.current.raw_source_mass,9.088634202953163
comparisons.current.colored_source_budget,1.5489680757546012
comparisons.current.total_rendered_rgb,5448967.546471066
comparisons.current.artifact_scores.spoke_anisotropy,0.7205761230676404
comparisons.current.artifact_scores.angular_lattice_fraction,0.023455882925362062
comparisons.current.artifact_scores.radial_banding_score,0.0003011161906920597
comparisons.current.artifact_scores.radial_banding_per_view[0],0.00024801313116304874
comparisons.current.artifact_scores.radial_banding_per_view[1],0.00034416362615265705
comparisons.current.artifact_scores.radial_banding_per_view[2],0.0002840422292741673
comparisons.current.artifact_scores.radial_banding_per_view[3],0.00032824577617836573
comparisons.current.artifact_scores.scope,Fixed image-plane circles r=4..64px around all chart centers; geometry/overlap can also cause anisotropy or radial variation.
comparisons.current.occupancy[0].view,0
comparisons.current.occupancy[0].nearest_px_p50,0.17039108107626807
comparisons.current.occupancy[0].nearest_px_p95,0.41506510049650913
comparisons.current.occupancy[0].no_center_within_0_5px,0.023144662323632437
comparisons.current.occupancy[1].view,1
comparisons.current.occupancy[1].nearest_px_p50,0.1658560852241962
comparisons.current.occupancy[1].nearest_px_p95,0.4121871449603418
comparisons.current.occupancy[1].no_center_within_0_5px,0.02437098453034708
comparisons.current.occupancy[2].view,2
comparisons.current.occupancy[2].nearest_px_p50,0.1793797647063215
comparisons.current.occupancy[2].nearest_px_p95,0.44004922652849665
comparisons.current.occupancy[2].no_center_within_0_5px,0.029052513198587985
comparisons.current.occupancy[3].view,3
comparisons.current.occupancy[3].nearest_px_p50,0.1657681539696133
comparisons.current.occupancy[3].nearest_px_p95,0.4153548251022778
comparisons.current.occupancy[3].no_center_within_0_5px,0.0238745744188979
comparisons.global.whole_image_mse,17.317574588477367
comparisons.global.foreground_mse,1244.244718792867
comparisons.global.interior_gt8px_mse,
comparisons.global.silhouette_0_8px_mse,99.22792131683977
comparisons.global.foreground_mean_brightness,0.8341242055934973
comparisons.global.edge_sharpness,0.08856474986921373
comparisons.global.reference_edge_sharpness,2.19512979735671
comparisons.global.edge_sharpness_ratio,0.040346019618457164
comparisons.global.thin_feature_response_ratio,0.0012918863724007141
comparisons.global.gradient_magnitude_ratio,0.01597787584483836
comparisons.global.gradient_cosine,0.00919197224181276
comparisons.global.reference_aligned_gradient_energy,542.1824953751733
comparisons.global.unmatched_gradient_energy,7608.930232682177
comparisons.global.excess_hf_weak_reference,0.0035543366523194146
comparisons.global.gradient_squared_error,7.822682681430929
comparisons.global.weak_reference_pixels,2031747.0
comparisons.global.gradient_relative_l2,0.9999798385640916
comparisons.global.historical_squared_image_energy,4879678.125
comparisons.global.surface_density.raw_count_density.mean,0.10635762921717577
comparisons.global.surface_density.raw_count_density.cv,0.11123994430163489
comparisons.global.surface_density.raw_count_density.p05,0.08862404473865067
comparisons.global.surface_density.raw_count_density.p50,0.10548038685267677
comparisons.global.surface_density.raw_count_density.p95,0.12719670319285445
comparisons.global.surface_density.weighted_source_density.mean,0.10672325858816947
comparisons.global.surface_density.weighted_source_density.cv,0.1112399443016349
comparisons.global.surface_density.weighted_source_density.p05,0.0889287107411858
comparisons.global.surface_density.weighted_source_density.p50,0.10584300049667186
comparisons.global.surface_density.weighted_source_density.p95,0.12763397178301747
comparisons.global.surface_density.neighbor_radius.mean,0.0033942593727433134
comparisons.global.surface_density.neighbor_radius.cv,0.05479388142555452
comparisons.global.surface_density.neighbor_radius.p05,0.003089706135945528
comparisons.global.surface_density.neighbor_radius.p50,0.0033928858283984063
comparisons.global.surface_density.neighbor_radius.p95,0.003701513357092816
comparisons.global.surface_density.definition,17-nearest Euclidean query at identical global area probes; discard nearest and use 16 neighbors / pi*r17^2. Thin nearby sheets/curvature bias this local surface-area approximation.
comparisons.global.per_view[0].whole_image_mse,21.091858281893003
comparisons.global.per_view[0].foreground_mse,1416.5594002684388
comparisons.global.per_view[0].interior_gt8px_mse,
comparisons.global.per_view[0].silhouette_0_8px_mse,117.42617328146804
comparisons.global.per_view[0].foreground_mean_brightness,0.9131162975633177
comparisons.global.per_view[0].edge_sharpness,0.09323666880092563
comparisons.global.per_view[0].reference_edge_sharpness,2.4662797633221087
comparisons.global.per_view[0].edge_sharpness_ratio,0.037804579264492974
comparisons.global.per_view[0].thin_feature_response_ratio,0.0012942396010783789
comparisons.global.per_view[0].gradient_magnitude_ratio,0.014874699465192025
comparisons.global.per_view[0].gradient_cosine,0.007938954726991613
comparisons.global.per_view[0].reference_aligned_gradient_energy,559.9794539543642
comparisons.global.per_view[0].unmatched_gradient_energy,8318.93002541452
comparisons.global.per_view[0].excess_hf_weak_reference,0.003904927078404336
comparisons.global.per_view[0].gradient_squared_error,9.676131639119003
comparisons.global.per_view[0].weak_reference_pixels,2028939
