metric,value
version,0.8.15
reference_path,runs/v0815_dense_reference/reference.npy
reference_digest,374640130c0c52eec0dc935a1fc662ad6f40a53d6530b33df4d073513afdaea7
REFERENCE_CONVERGENCE_PASSED,True
seed,211
resolution[0],1080
resolution[1],1920
views,4
definition,"Uniform fixed grid-isosurface triangle-area measure; independent BVH first-hit hard visibility, unchanged position color, gate .05, ambient .35, source budget, sensor gain 1.5, window 2.8 and C3 pixel-integrated cubic readout. NOT point-sampled radiance. No soft transmission or chart pattern enters the target."
geometry_caveat,Piecewise-planar marching-cubes approximation of the same grid; not exact intersection of the trilinear zero-set. Normals use unchanged grid gradient. Same triangles used for source integration and independent BVH visibility.
convergence_thresholds.max_view_rgb_relative_l2,0.02
convergence_thresholds.max_view_spatial_gradient_relative_l2,0.1
convergence_thresholds.scope,"Nested prefixes of seed 211, independent of candidate seed 101; empirical numerical tolerance, not an error bound or seed-independent proof."
resume_precision,"Accumulation float64; resumed prefixes reconstructed from stored float32 images (image-storage roundoff, not a change in samples or weights)."
levels[0].samples,8388608
levels[0].emitted_rgb,1.5489700571532004
levels[0].visible_fraction[0],0.4591867923736572
levels[0].visible_fraction[1],0.4295140504837036
levels[0].visible_fraction[2],0.5046358108520508
levels[0].visible_fraction[3],0.38053715229034424
levels[0].elapsed_seconds,29.423936764942482
levels[1].samples,16777216
levels[1].emitted_rgb,1.548971798732068
levels[1].visible_fraction[0],0.45918309688568115
levels[1].visible_fraction[1],0.429507315158844
levels[1].visible_fraction[2],0.5046496391296387
levels[1].visible_fraction[3],0.38052940368652344
levels[1].elapsed_seconds,58.07584959594533
levels[1].convergence.rgb_relative_l2_per_view[0],0.05074002573710568
levels[1].convergence.rgb_relative_l2_per_view[1],0.04890193839351218
levels[1].convergence.rgb_relative_l2_per_view[2],0.054062405766680886
levels[1].convergence.rgb_relative_l2_per_view[3],0.05129608785538602
levels[1].convergence.spatial_gradient_relative_l2_per_view[0],0.441507668343468
levels[1].convergence.spatial_gradient_relative_l2_per_view[1],0.3524526897358894
levels[1].convergence.spatial_gradient_relative_l2_per_view[2],0.43130092159842254
levels[1].convergence.spatial_gradient_relative_l2_per_view[3],0.41266110543497686
levels[1].convergence.passed,False
levels[2].samples,33554432
levels[2].emitted_rgb,1.5489716397246622
levels[2].visible_fraction[0],0.45918503403663635
levels[2].visible_fraction[1],0.42950302362442017
levels[2].visible_fraction[2],0.5046491920948029
levels[2].visible_fraction[3],0.3805283308029175
levels[2].elapsed_seconds,115.62205668003298
levels[2].convergence.rgb_relative_l2_per_view[0],0.02248737585292195
levels[2].convergence.rgb_relative_l2_per_view[1],0.02218437755337114
levels[2].convergence.rgb_relative_l2_per_view[2],0.023797449237842598
levels[2].convergence.rgb_relative_l2_per_view[3],0.022611710777207056
levels[2].convergence.spatial_gradient_relative_l2_per_view[0],0.1953679154638754
levels[2].convergence.spatial_gradient_relative_l2_per_view[1],0.159553642253987
levels[2].convergence.spatial_gradient_relative_l2_per_view[2],0.18964155421513657
levels[2].convergence.spatial_gradient_relative_l2_per_view[3],0.18087388362305876
levels[2].convergence.passed,False
levels[3].samples,67108864
levels[3].emitted_rgb,1.5489716688502768
levels[3].visible_fraction[0],0.4591849744319916
levels[3].visible_fraction[1],0.4295071214437485
levels[3].visible_fraction[2],0.5046486556529999
levels[3].visible_fraction[3],0.38052479922771454
levels[3].elapsed_seconds,230.00758699001744
levels[3].convergence.rgb_relative_l2_per_view[0],0.01299987119052216
levels[3].convergence.rgb_relative_l2_per_view[1],0.012877077882732969
levels[3].convergence.rgb_relative_l2_per_view[2],0.014042710365138407
levels[3].convergence.rgb_relative_l2_per_view[3],0.012990647188448593
levels[3].convergence.spatial_gradient_relative_l2_per_view[0],0.1167076092271557
levels[3].convergence.spatial_gradient_relative_l2_per_view[1],0.09524911853576351
levels[3].convergence.spatial_gradient_relative_l2_per_view[2],0.11628049834145375
levels[3].convergence.spatial_gradient_relative_l2_per_view[3],0.106726022052718
levels[3].convergence.passed,False
levels[4].samples,134217728
levels[4].emitted_rgb,1.5489716283431056
levels[4].visible_fraction[0],0.4591861367225647
levels[4].visible_fraction[1],0.429505430161953
levels[4].visible_fraction[2],0.5046473890542984
levels[4].visible_fraction[3],0.3805234953761101
levels[4].elapsed_seconds,452.0079218959436
levels[4].convergence.rgb_relative_l2_per_view[0],0.0068016388020631525
levels[4].convergence.rgb_relative_l2_per_view[1],0.006624423564498355
levels[4].convergence.rgb_relative_l2_per_view[2],0.007230044941445026
levels[4].convergence.rgb_relative_l2_per_view[3],0.006754654342904579
levels[4].convergence.spatial_gradient_relative_l2_per_view[0],0.05982058247388517
levels[4].convergence.spatial_gradient_relative_l2_per_view[1],0.04815175704195927
levels[4].convergence.spatial_gradient_relative_l2_per_view[2],0.05828101411036798
levels[4].convergence.spatial_gradient_relative_l2_per_view[3],0.05491184220482313
levels[4].convergence.passed,True
comparisons.current.whole_image_mse,0.03210932853290573
comparisons.current.foreground_mse,0.11395668732621766
comparisons.current.interior_gt8px_mse,0.09177864594744689
comparisons.current.silhouette_0_8px_mse,0.2545919927561423
comparisons.current.foreground_mean_brightness,0.7771711248366027
comparisons.current.edge_sharpness,0.1031015299818312
comparisons.current.reference_edge_sharpness,0.1558493758904989
comparisons.current.edge_sharpness_ratio,0.6615459920370242
comparisons.current.thin_feature_response_ratio,0.6100318999794317
comparisons.current.historical_squared_image_energy,5225928.125
comparisons.current.per_view[0].gradient_magnitude_ratio,1.0412868113331357
comparisons.current.per_view[0].gradient_cosine,0.4450373708244952
comparisons.current.per_view[0].reference_aligned_gradient_energy,6172.468228615815
comparisons.current.per_view[0].unmatched_gradient_energy,2754.468579142228
comparisons.current.per_view[0].excess_hf_weak_reference,0.0008251468342017913
comparisons.current.per_view[0].gradient_squared_error,0.002297793045556721
comparisons.current.per_view[0].weak_reference_pixels,1632504
comparisons.current.per_view[1].gradient_magnitude_ratio,0.9435572350507626
comparisons.current.per_view[1].gradient_cosine,0.5265834705119495
comparisons.current.per_view[1].reference_aligned_gradient_energy,5703.55791008804
comparisons.current.per_view[1].unmatched_gradient_energy,1913.601218609555
comparisons.current.per_view[1].excess_hf_weak_reference,0.0005043397528733029
comparisons.current.per_view[1].gradient_squared_error,0.0018496481781141172
comparisons.current.per_view[1].weak_reference_pixels,1653135
comparisons.current.per_view[2].gradient_magnitude_ratio,0.9814299667500407
comparisons.current.per_view[2].gradient_cosine,0.45563947788100784
comparisons.current.per_view[2].reference_aligned_gradient_energy,6662.066839708394
comparisons.current.per_view[2].unmatched_gradient_energy,2753.140402675886
comparisons.current.per_view[2].excess_hf_weak_reference,0.0008833918074238829
comparisons.current.per_view[2].gradient_squared_error,0.0025192562674744724
