metric,value
version,0.8.16
levels[0].samples,524288
levels[0].whole_image_mse,0.07436242123199588
levels[0].foreground_mse,0.2639138501358881
levels[0].interior_gt8px_mse,0.2486183648119228
levels[0].silhouette_0_8px_mse,0.2678134568515779
levels[0].foreground_mean_brightness,0.7783076319105556
levels[0].edge_sharpness,0.15884031052379258
levels[0].reference_edge_sharpness,0.1558493758904989
levels[0].edge_sharpness_ratio,1.0191911877490938
levels[0].thin_feature_response_ratio,0.87436653812514
levels[0].per_view[0].gradient_magnitude_ratio,4.293306338231818
levels[0].per_view[0].gradient_cosine,0.10589370545014973
levels[0].per_view[0].reference_aligned_gradient_energy,74809.11724123328
levels[0].per_view[0].unmatched_gradient_energy,76946.7462316932
levels[0].per_view[0].excess_hf_weak_reference,0.025252724873636875
levels[0].per_view[0].gradient_squared_error,0.03677248850173847
levels[0].per_view[0].weak_reference_pixels,1632504
levels[0].per_view[0].whole_image_mse,0.08629843629436729
levels[0].per_view[1].gradient_magnitude_ratio,3.4347537109714
levels[0].per_view[1].gradient_cosine,0.14347137976852725
levels[0].per_view[1].reference_aligned_gradient_energy,49786.5514737517
levels[0].per_view[1].unmatched_gradient_energy,51149.8304031898
levels[0].per_view[1].excess_hf_weak_reference,0.014730854258317513
levels[0].per_view[1].gradient_squared_error,0.024368194193283184
levels[0].per_view[1].weak_reference_pixels,1653135
levels[0].per_view[1].whole_image_mse,0.06134815357349537
levels[0].per_view[2].gradient_magnitude_ratio,4.060989550049247
levels[0].per_view[2].gradient_cosine,0.11261374346110244
levels[0].per_view[2].reference_aligned_gradient_energy,80178.14575239195
levels[0].per_view[2].unmatched_gradient_energy,81025.55170791704
levels[0].per_view[2].excess_hf_weak_reference,0.027212891514011697
levels[0].per_view[2].gradient_squared_error,0.03907166705753272
levels[0].per_view[2].weak_reference_pixels,1570067
levels[0].per_view[2].whole_image_mse,0.09262178899819959
levels[0].per_view[3].gradient_magnitude_ratio,4.068307263970048
levels[0].per_view[3].gradient_cosine,0.12066139311672408
levels[0].per_view[3].reference_aligned_gradient_energy,47490.57221218616
levels[0].per_view[3].unmatched_gradient_energy,48606.75302744927
levels[0].per_view[3].excess_hf_weak_reference,0.014127536700609133
levels[0].per_view[3].gradient_squared_error,0.023197130551403305
levels[0].per_view[3].weak_reference_pixels,1674759
levels[0].per_view[3].whole_image_mse,0.057181306061921296
levels[0].gradient_magnitude_ratio,3.9643392158056283
levels[0].gradient_cosine,0.12066005544912588
levels[0].reference_aligned_gradient_energy,63066.09666989077
levels[0].unmatched_gradient_energy,64432.22034256233
levels[0].excess_hf_weak_reference,0.020331001836643808
levels[0].gradient_squared_error,0.03085237007598942
levels[0].weak_reference_pixels,1632616.25
levels[0].historical_squared_image_energy,6269950.25
levels[0].source_weight_sum,1.0034377352493173
levels[0].emitted_rgb,1.5489765535466447
levels[0].detected_rgb,5456936.217548838
levels[0].energy_accounting[0].view,0
levels[0].energy_accounting[0].input_energy,0.4925242058270729
levels[0].energy_accounting[0].detected_energy,0.4925242387796821
levels[0].energy_accounting[0].relative_energy_difference,6.690556282722056e-08
levels[0].energy_accounting[0].projected_count_sum,524288.0210776264
levels[0].energy_accounting[1].view,1
levels[0].energy_accounting[1].input_energy,0.3885276436399927
levels[0].energy_accounting[1].detected_energy,0.3885276712551321
levels[0].energy_accounting[1].relative_energy_difference,7.107638246458185e-08
levels[0].energy_accounting[1].projected_count_sum,524288.0213930255
levels[0].energy_accounting[2].view,2
levels[0].energy_accounting[2].input_energy,0.5144431463831741
levels[0].energy_accounting[2].detected_energy,0.5144431874539579
levels[0].energy_accounting[2].relative_energy_difference,7.983541828219863e-08
levels[0].energy_accounting[2].projected_count_sum,524288.0291398295
levels[0].energy_accounting[3].view,3
levels[0].energy_accounting[3].input_energy,0.3589211063002914
levels[0].energy_accounting[3].detected_energy,0.35892112471588616
levels[0].energy_accounting[3].relative_energy_difference,5.130819683791382e-08
levels[0].energy_accounting[3].projected_count_sum,524288.0195687439
levels[0].relative_energy_accounting_error,7.983541828219863e-08
levels[0].timing.source_seconds,0.0
levels[0].timing.transport_seconds,0.0
levels[0].timing.cache_reuse,exact prefix of v0814 source and transport
levels[0].timing.readout_seconds,3.02906919689849
levels[0].timing.cuda_allocated_peak_mib,457.65380859375
levels[0].timing.cuda_reserved_peak_mib,548.0
levels[0].timing.cpu_rss_peak_mib,2587.3046875
levels[0].position_digest,3b728c719e81d87a073fff6ac2944ad272680e70f4e4c8b920854e76c832d339
levels[0].coverage[0].view,0
levels[0].coverage[0].no_center_0_5px,0.5278105293780428
levels[0].coverage[0].no_center_1px,0.09390877277044313
levels[0].coverage[0].missing_energy_0_5px,0.4876682877269864
levels[0].coverage[0].missing_energy_1px,0.07194808928212244
levels[0].coverage[1].view,1
levels[0].coverage[1].no_center_0_5px,0.5154124348163365
levels[0].coverage[1].no_center_1px,0.08956917728519918
levels[0].coverage[1].missing_energy_0_5px,0.4688747229901804
levels[0].coverage[1].missing_energy_1px,0.06549560111087258
levels[0].coverage[2].view,2
levels[0].coverage[2].no_center_0_5px,0.5601738767957848
levels[0].coverage[2].no_center_1px,0.11367517907240718
levels[0].coverage[2].missing_energy_0_5px,0.5150644719918014
levels[0].coverage[2].missing_energy_1px,0.08817867666746732
levels[0].coverage[3].view,3
levels[0].coverage[3].no_center_0_5px,0.5006550924219135
levels[0].coverage[3].no_center_1px,0.08535863710526664
levels[0].coverage[3].missing_energy_0_5px,0.46179080046110754
levels[0].coverage[3].missing_energy_1px,0.0658853582397914
levels[0].projected_spacing[0].p50,0.4799625015222785
levels[0].projected_spacing[0].p90,0.96641074599723
levels[0].projected_spacing[0].p95,1.115978896982563
levels[0].projected_spacing[0].p99,1.3885626082800797
levels[0].projected_spacing[1].p50,0.46820242615869917
levels[0].projected_spacing[1].p90,0.9516116671725039
levels[0].projected_spacing[1].p95,1.099033820381631
levels[0].projected_spacing[1].p99,1.3656136265085392
levels[0].projected_spacing[2].p50,0.5283784934933559
levels[0].projected_spacing[2].p90,1.0211543840056296
levels[0].projected_spacing[2].p95,1.1731205775135627
levels[0].projected_spacing[2].p99,1.4496139772309073
levels[0].projected_spacing[3].p50,0.4453266081044662
levels[0].projected_spacing[3].p90,0.9257648947127609
levels[0].projected_spacing[3].p95,1.082107763680832
levels[0].projected_spacing[3].p99,1.3829691034003753
levels[0].radial_banding_score,0.0019980036504493688
levels[0].total_seconds,15.555108392843977
levels[0].cpu_rss_peak_mib,2965.33984375
levels[1].samples,1048576
levels[1].whole_image_mse,0.0354488890848042
levels[1].foreground_mse,0.12580882997909798
levels[1].interior_gt8px_mse,0.10599491173059887
levels[1].silhouette_0_8px_mse,0.2393966391627469
levels[1].foreground_mean_brightness,0.7783355155296069
levels[1].edge_sharpness,0.12469541147147256
levels[1].reference_edge_sharpness,0.1558493758904989
levels[1].edge_sharpness_ratio,0.8001020906178322
levels[1].thin_feature_response_ratio,0.705882032279749
levels[1].per_view[0].gradient_magnitude_ratio,2.5336527818853636
levels[1].per_view[0].gradient_cosine,0.17938943621063191
levels[1].per_view[0].reference_aligned_gradient_energy,26954.66446206785
levels[1].per_view[0].unmatched_gradient_energy,25896.665517683392
levels[1].per_view[0].excess_hf_weak_reference,0.008510635530023559
levels[1].per_view[0].gradient_squared_error,0.012924470868560306
levels[1].per_view[0].weak_reference_pixels,1632504
levels[1].per_view[0].whole_image_mse,0.04055477440602495
levels[1].per_view[1].gradient_magnitude_ratio,2.0568322970368973
levels[1].per_view[1].gradient_cosine,0.23970644494840967
levels[1].per_view[1].reference_aligned_gradient_energy,18706.16967452893
levels[1].per_view[1].unmatched_gradient_energy,17489.306675512078
levels[1].per_view[1].excess_hf_weak_reference,0.004858831177153316
levels[1].per_view[1].gradient_squared_error,0.008756423883987471
levels[1].per_view[1].weak_reference_pixels,1653135
levels[1].per_view[1].whole_image_mse,0.031234334309895834
levels[1].per_view[2].gradient_magnitude_ratio,2.4107836572728973
levels[1].per_view[2].gradient_cosine,0.18946532468620375
levels[1].per_view[2].reference_aligned_gradient_energy,29266.39050923057
levels[1].per_view[2].unmatched_gradient_energy,27543.99447684353
levels[1].per_view[2].excess_hf_weak_reference,0.009214980882551953
levels[1].per_view[2].gradient_squared_error,0.013902323989712638
levels[1].per_view[2].weak_reference_pixels,1570067
levels[1].per_view[2].whole_image_mse,0.043285339104295266
levels[1].per_view[3].gradient_magnitude_ratio,2.3739079475470186
levels[1].per_view[3].gradient_cosine,0.2075196816985059
levels[1].per_view[3].reference_aligned_gradient_energy,16908.374682125486
levels[1].per_view[3].unmatched_gradient_energy,15811.494325476819
levels[1].per_view[3].excess_hf_weak_reference,0.004393275002881643
levels[1].per_view[3].gradient_squared_error,0.007910257605062749
levels[1].per_view[3].weak_reference_pixels,1674759
levels[1].per_view[3].whole_image_mse,0.026721108519000773
levels[1].gradient_magnitude_ratio,2.343794170935544
levels[1].gradient_cosine,0.20402022188593782
levels[1].reference_aligned_gradient_energy,22958.89983198821
levels[1].unmatched_gradient_energy,21685.365248878952
levels[1].excess_hf_weak_reference,0.0067444306481526176
levels[1].gradient_squared_error,0.01087336908683079
levels[1].weak_reference_pixels,1632616.25
levels[1].historical_squared_image_energy,5301978.625
levels[1].source_weight_sum,1.0034377352493173
levels[1].emitted_rgb,1.5489484949550727
levels[1].detected_rgb,5457131.980082028
levels[1].energy_accounting[0].view,0
levels[1].energy_accounting[0].input_energy,0.4924974584381218
levels[1].energy_accounting[0].detected_energy,0.49249747592627235
levels[1].energy_accounting[0].relative_energy_difference,3.5509118350122056e-08
levels[1].energy_accounting[0].projected_count_sum,1048575.9670403458
levels[1].energy_accounting[1].view,1
levels[1].energy_accounting[1].input_energy,0.3886969338634387
levels[1].energy_accounting[1].detected_energy,0.3886969508332301
levels[1].energy_accounting[1].relative_energy_difference,4.3658156077405546e-08
levels[1].energy_accounting[1].projected_count_sum,1048575.9667675317
levels[1].energy_accounting[2].view,2
levels[1].energy_accounting[2].input_energy,0.514346573375178
levels[1].energy_accounting[2].detected_energy,0.5143466053499488
levels[1].energy_accounting[2].relative_energy_difference,6.216580898213271e-08
levels[1].energy_accounting[2].projected_count_sum,1048576.0024270327
levels[1].energy_accounting[3].view,3
levels[1].energy_accounting[3].input_energy,0.3589381273221337
levels[1].energy_accounting[3].detected_energy,0.358938128155727
levels[1].energy_accounting[3].relative_energy_difference,2.3223871805225864e-09
levels[1].energy_accounting[3].projected_count_sum,1048575.9565806363
levels[1].relative_energy_accounting_error,6.216580898213271e-08
levels[1].timing.source_seconds,0.0
levels[1].timing.transport_seconds,0.0
levels[1].timing.cache_reuse,exact prefix of v0814 source and transport
