metric,value
version,0.8.17
rows[0].law.name,CURRENT
rows[0].law.family,CURRENT
rows[0].whole_image_mse,0.01651859895682629
rows[0].foreground_mse,0.05862486111675677
rows[0].interior_gt8px_mse,0.036652725189858605
rows[0].silhouette_0_8px_mse,0.22521724498456946
rows[0].foreground_mean_brightness,0.7783264587019355
rows[0].edge_sharpness,0.09348372879446096
rows[0].reference_edge_sharpness,0.1558493758904989
rows[0].edge_sharpness_ratio,0.5998338348184559
rows[0].thin_feature_response_ratio,0.5635338896736483
rows[0].per_view[0].gradient_magnitude_ratio,0.6618829987205865
rows[0].per_view[0].gradient_cosine,0.6848205595018687
rows[0].per_view[0].reference_aligned_gradient_energy,3240.758289198508
rows[0].per_view[0].unmatched_gradient_energy,366.05928117335947
rows[0].per_view[0].excess_hf_weak_reference,7.877922529163966e-05
rows[0].per_view[0].gradient_squared_error,0.001055232993691585
rows[0].per_view[0].weak_reference_pixels,1632504
rows[0].per_view[0].whole_image_mse,0.018180848423836164
rows[0].per_view[0].foreground_mse,0.06451414320102447
rows[0].per_view[0].interior_gt8px_mse,0.0359087170557002
rows[0].per_view[0].silhouette_0_8px_mse,0.28434319246534584
rows[0].per_view[0].total_image_energy,1464701.25
rows[0].per_view[0].foreground_mean_brightness,0.8738799095314287
rows[0].per_view[0].edge_sharpness,0.09604780400430654
rows[0].per_view[0].reference_edge_sharpness,0.1602515236909851
rows[0].per_view[0].edge_sharpness_ratio,0.5993565726683301
rows[0].per_view[0].thin_feature_response_ratio,0.535844926655338
rows[0].per_view[0].gradient_relative_l2,0.7290726527432282
rows[0].per_view[1].gradient_magnitude_ratio,0.6834746428412252
rows[0].per_view[1].gradient_cosine,0.7233140808648758
rows[0].per_view[1].reference_aligned_gradient_energy,3630.942112827068
rows[0].per_view[1].unmatched_gradient_energy,365.7559842780265
rows[0].per_view[1].excess_hf_weak_reference,4.697189029248178e-05
rows[0].per_view[1].gradient_squared_error,0.0009869525674088546
rows[0].per_view[1].weak_reference_pixels,1653135
rows[0].per_view[1].whole_image_mse,0.01644947318873778
rows[0].per_view[1].foreground_mse,0.06125044536932621
rows[0].per_view[1].interior_gt8px_mse,0.04069413765488595
rows[0].per_view[1].silhouette_0_8px_mse,0.20204714712032185
rows[0].per_view[1].total_image_energy,1004092.375
rows[0].per_view[1].foreground_mean_brightness,0.7234139390086816
rows[0].per_view[1].edge_sharpness,0.09621355696134863
rows[0].per_view[1].reference_edge_sharpness,0.16091216730625812
rows[0].per_view[1].edge_sharpness_ratio,0.5979259279892052
rows[0].per_view[1].thin_feature_response_ratio,0.5760132430019133
rows[0].per_view[1].gradient_relative_l2,0.6916674932687301
rows[0].per_view[2].gradient_magnitude_ratio,0.655020257394979
rows[0].per_view[2].gradient_cosine,0.6965139429723558
rows[0].per_view[2].reference_aligned_gradient_energy,3812.882418238472
rows[0].per_view[2].unmatched_gradient_energy,381.0431410570473
rows[0].per_view[2].excess_hf_weak_reference,8.965761453545547e-05
rows[0].per_view[2].gradient_squared_error,0.0012175934825117292
rows[0].per_view[2].weak_reference_pixels,1570067
rows[0].per_view[2].whole_image_mse,0.018990552611802342
rows[0].per_view[2].foreground_mse,0.059046751349634406
rows[0].per_view[2].interior_gt8px_mse,0.03663658004980985
rows[0].per_view[2].silhouette_0_8px_mse,0.21906220186506498
rows[0].per_view[2].total_image_energy,1447980.625
rows[0].per_view[2].foreground_mean_brightness,0.7998210150610253
rows[0].per_view[2].edge_sharpness,0.09262031832427163
rows[0].per_view[2].reference_edge_sharpness,0.16341676133577476
rows[0].per_view[2].edge_sharpness_ratio,0.5667736746658645
rows[0].per_view[2].thin_feature_response_ratio,0.5347264987989099
rows[0].per_view[2].gradient_relative_l2,0.7187419934775846
rows[0].per_view[3].gradient_magnitude_ratio,0.7242557975306744
rows[0].per_view[3].gradient_cosine,0.6775153862087684
rows[0].per_view[3].reference_aligned_gradient_energy,2773.5347898028645
rows[0].per_view[3].unmatched_gradient_energy,272.02947596254455
rows[0].per_view[3].excess_hf_weak_reference,4.252294463498359e-05
rows[0].per_view[3].gradient_squared_error,0.0007604219811835135
