attempted_packets,base_absorbed_events,base_footprint_writes,base_outward_events,base_projected_events,base_retained_events,chunks_per_view,common_support_mse,contribution_histogram,contribution_p90,contribution_p95,contribution_p99,count_lt2_fraction,count_lt4_fraction,cpu_peak_rss_mib,density_gate,diagnostics_seconds,effective_writes_per_pixel,emission_seconds,emitter_chunk_size,emitters,footprint,gate_passed,geometry_streams,half_sse,heldout_peak_allocated_mib,heldout_peak_reserved_mib,heldout_runtime_seconds,image_accumulation_seconds,independent_a_count_lt2_fraction,independent_a_effective_density,independent_a_peak_allocated_mib,independent_a_peak_reserved_mib,independent_a_runtime_seconds,independent_a_unique_coverage,independent_b_count_lt2_fraction,independent_b_effective_density,independent_b_unique_coverage,mae_per_rgb_scalar,maximum_contribution_count,mc_scramble_seeds,mc_self_mae,mc_self_mse,mc_self_raw_sse,mc_self_rmse,mc_self_to_image_energy,mean_contribution_count,median_contribution_count,mse_per_rgb_scalar,normal_consistency,normal_error,optimization,packets_per_second,peak_allocated_mib,peak_reserved_mib,per_view_mse,per_view_mse_maximum,per_view_mse_mean,per_view_mse_median,per_view_mse_minimum,pixels_ge_1,pixels_ge_2,pixels_ge_4,pixels_ge_8,point_to_surface_mean,point_to_surface_p95,predicted_rgb_energy,processed_packets,projection_and_footprint_seconds,raw_sse,regional_ear_p2s_mean,regional_head_p2s_mean,regional_leg_p2s_mean,regional_torso_p2s_mean,resolution,retained_events_per_second,rmse_per_rgb_scalar,runtime_seconds,sampling_density_status,section,support_disagreement_fraction,surface_rms,surface_samples_per_pixel,symmetric_chamfer,target_absorbed_events,target_footprint_writes,target_outward_events,target_projected_events,target_retained_events,target_rgb_energy,total_pixels,total_stream_chunks,treatment,unique_coverage_ratio,views,visibility_seconds,zero_count_fraction
1310720,,,,,564282,,,,,,,,,,,,6.8882080078125,,,65536,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[256, 256]",,,,,calibration,,,1.0,,,,,,,,,,,0.29295653104782104,,,
5242880,,,,,2257273,,,,,,,,,,,,6.888650512695312,,,262144,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[512, 512]",,,,,calibration,,,1.0,,,,,,,,,,,0.281083881855011,,,
10368000,,,,,4463891,,,,,,,,,,,,6.888720679012346,,,518400,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[540, 960]",,,,,calibration,,,1.0,,,,,,,,,,,0.27806106209754944,,,
41472000,,,,,17855026,,,,,,,,,,,,6.88851311728395,,,2073600,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1080, 1920]",,,,,calibration,,,1.0,,,,,,,,,,,0.2736112177371979,,,
1310720,88658,9028512,652940,564282,564282,1,,"[926736, 1551, 1330, 1259, 1118, 1142, 1169, 1269, 2170, 3774, 5938, 8449, 11735, 15865, 19786, 23367, 25211, 25101, 23454, 20360, 17805, 15707, 13576, 11903, 10313, 9404, 8351, 7442, 6703, 6175, 5617, 5129, 4710, 4250, 3941, 3706, 3423, 3287, 3083, 2882, 2728, 2492, 2301, 2122, 1976, 1882, 1896, 1739, 1600, 1566, 1384, 1335, 1254, 1169, 1145, 1036, 1008, 930, 860, 877, 803, 707, 690, 700, 595, 591, 565, 523, 399, 435, 443, 380, 337, 322, 312, 290, 263, 239, 224, 201, 198, 186, 166, 162, 112, 113, 104, 105, 105, 87, 78, 59, 65, 48, 58, 53, 42, 34, 42, 37, 27, 28, 30, 28, 18, 20, 12, 16, 14, 10, 10, 10, 12, 5, 8, 7, 7, 8, 5, 3, 4, 3, 4, 5, 2, 0, 2, 4, 2, 7, 0, 1, 3, 3, 2, 0, 3, 5, 2, 2, 0, 4, 2, 3, 0, 1, 0, 0, 2, 0, 1, 1, 0, 1, 2, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1]",23.0,33.0,57.0,0.7082267999649048,0.7102020382881165,1708.37890625,"{""passed"": true, ""checks"": {""effective_writes_per_pixel"": true, ""unique_coverage"": true, ""zero_count"": true, ""count_lt2"": true, ""median"": true}, ""density_relative_error"": 0.0, ""coverage_absolute_error"": 0.0, ""zero_absolute_error"": 0.0, ""count_lt2_absolute_error"": 0.0, ""median_absolute_error"": 0.0, ""tolerances"": {""density_relative"": 0.1, ""coverage_absolute"": 0.03, ""zero_absolute"": 0.03, ""count_lt2_absolute"": 0.05, ""median_absolute"": 1.0}}",0.04099456989206374,6.8882080078125,0.02804828272201121,65536,65536,legacy fixed 4x4 pixel-space cubic,,2,2043.4686859697233,,,,0.009447565069422126,,,,,,,,,,0.005704210965426048,166,,,,,,,6.8882080078125,0.0,0.0010393619211678687,,,,490784.463536931,969.14013671875,1008.0,,,,,,383984,382433,379844,375146,,,439484.75704383955,2621440,0.05359766585752368,4086.9373719394466,,,,,"[256, 256]",208628.14244340613,0.032239136482974676,5.341326375957578,MATCHED,matched_density,,,1.0,,103266,8801104,653335,550069,550069,447613.1672108065,1310720,20,MATCHED-DENSITY HIGH RESOLUTION,0.29295653104782104,20,5.202997739659622,0.707043468952179
5242880,354393,36116368,2611666,2257273,2257273,4,,"[3769191, 2692, 2124, 1814, 1687, 2027, 3508, 7351, 14811, 25170, 36326, 47225, 56018, 62954, 69629, 74310, 78243, 79820, 78899, 73878, 68328, 61953, 55514, 49536, 43198, 38356, 33896, 29955, 26720, 23651, 21478, 19346, 17537, 15938, 14471, 13332, 12315, 11497, 10857, 10148, 9069, 8567, 7905, 7425, 6834, 6700, 6249, 5855, 5421, 5280, 5007, 4687, 4573, 4363, 3984, 3897, 3723, 3510, 3313, 3251, 3098, 2918, 2820, 2603, 2517, 2479, 2375, 2239, 2170, 2005, 1953, 1860, 1734, 1654, 1663, 1497, 1416, 1376, 1273, 1258, 1226, 1109, 1128, 1063, 1047, 1005, 925, 926, 838, 816, 803, 733, 726, 676, 682, 649, 617, 598, 573, 527, 498, 502, 449, 446, 425, 400, 403, 376, 337, 331, 308, 296, 258, 260, 237, 236, 218, 216, 234, 212, 185, 174, 158, 167, 164, 137, 139, 113, 113, 113, 92, 81, 96, 77, 71, 71, 68, 61, 56, 48, 61, 50, 44, 48, 49, 41, 44, 36, 40, 33, 37, 35, 30, 33, 24, 24, 26, 29, 26, 28, 21, 24, 20, 9, 9, 8, 10, 13, 12, 12, 10, 19, 10, 12, 7, 11, 10, 10, 11, 8, 2, 7, 9, 4, 3, 5, 5, 7, 7, 3, 6, 5, 2, 2, 6, 5, 4, 3, 2, 6, 3, 6, 5, 4, 2, 3, 3, 4, 0, 2, 4, 3, 1, 1, 0, 1, 3, 1, 3, 3, 1, 2, 0, 2, 2, 2, 1, 1, 1, 2, 1, 0, 2, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]",23.0,33.0,65.0,0.719429612159729,0.7201806902885437,1870.8125,"{""passed"": true, ""checks"": {""effective_writes_per_pixel"": true, ""unique_coverage"": true, ""zero_count"": true, ""count_lt2"": true, ""median"": true}, ""density_relative_error"": 6.424092918089208e-05, ""coverage_absolute_error"": 0.011872649192810059, ""zero_absolute_error"": 0.011872649192810059, ""count_lt2_absolute_error"": 0.011202812194824219, ""median_absolute_error"": 0.0, ""tolerances"": {""density_relative"": 0.1, ""coverage_absolute"": 0.03, ""zero_absolute"": 0.03, ""count_lt2_absolute"": 0.05, ""median_absolute"": 1.0}}",0.12594758137129247,6.888650512695312,0.09887739270925522,65536,262144,legacy fixed 4x4 pixel-space cubic,,2,9779.490947877079,,,,0.044308637734502554,,,,,,,,,,0.006178060316171979,284,,,,,,,6.888650512695312,0.0,0.0012435265792690377,,,,512435.30034688354,981.81787109375,1016.0,,,,,,1473689,1470997,1467059,1452486,,,1750802.13154606,10485760,0.21540158591233194,19558.981895754157,,,,,"[512, 512]",217833.72567698616,0.035263672231760516,20.462602777173743,MATCHED,matched_density,,,1.0,,413196,35202752,2613368,2200172,2200172,1785007.8071666837,5242880,80,MATCHED-DENSITY HIGH RESOLUTION,0.281083881855011,20,19.965454251971096,0.718916118144989
10368000,700943,71422256,5164834,4463891,4463891,8,,"[7485063, 3554, 2795, 2424, 2292, 2439, 4004, 11073, 30866, 65724, 104376, 130654, 141689, 143915, 140996, 137295, 133089, 127545, 121474, 114284, 107835, 101425, 95267, 88840, 82329, 76615, 70007, 62838, 56934, 51357, 46252, 41553, 38082, 34231, 31570, 28869, 25969, 24284, 21912, 20448, 18766, 17183, 15932, 14810, 13674, 12875, 12055, 11125, 10519, 9987, 9417, 8846, 8441, 8104, 7873, 7431, 7057, 6620, 6324, 5934, 5698, 5471, 5299, 5043, 4856, 4683, 4424, 4210, 4079, 3924, 3678, 3582, 3456, 3268, 3143, 3043, 2918, 2872, 2747, 2573, 2438, 2367, 2214, 2202, 2157, 1990, 2004, 1888, 1736, 1815, 1627, 1669, 1464, 1466, 1359, 1309, 1282, 1192, 1173, 1112, 1069, 1054, 1054, 1025, 974, 910, 893, 817, 838, 810, 739, 735, 685, 716, 654, 626, 634, 586, 579, 544, 531, 517, 494, 479, 482, 459, 468, 436, 404, 370, 332, 349, 313, 315, 311, 257, 323, 267, 251, 230, 249, 247, 243, 238, 214, 194, 197, 155, 172, 148, 146, 149, 168, 140, 125, 131, 96, 106, 114, 100, 109, 97, 80, 86, 74, 96, 63, 72, 72, 63, 81, 51, 73, 50, 58, 61, 44, 42, 48, 46, 43, 39, 39, 38, 26, 36, 37, 31, 32, 28, 33, 28, 25, 33, 24, 36, 22, 27, 19, 9, 22, 24, 20, 11, 21, 19, 12, 13, 11, 11, 10, 17, 14, 12, 14, 12, 13, 13, 10, 9, 11, 16, 12, 7, 11, 5, 6, 8, 6, 5, 9, 11, 2, 6, 5, 4, 6, 7, 5, 6, 8, 9, 8, 7, 3, 4, 5, 3, 3, 2, 4, 4, 5, 5, 5, 3, 2, 2, 3, 2, 3, 2, 4, 2, 1, 1, 2, 0, 5, 2, 2, 1, 2, 2, 1, 4, 0, 1, 0, 2, 3, 0, 2, 0, 3, 3, 3, 1, 0, 2, 1, 1, 0, 1, 0, 0, 1, 1, 0, 2, 3, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",24.0,33.0,67.0,0.7222817540168762,0.7227851152420044,2243.1875,"{""passed"": true, ""checks"": {""effective_writes_per_pixel"": true, ""unique_coverage"": true, ""zero_count"": true, ""count_lt2"": true, ""median"": true}, ""density_relative_error"": 7.442736910157066e-05, ""coverage_absolute_error"": 0.014895468950271606, ""zero_absolute_error"": 0.014895498752593994, ""count_lt2_absolute_error"": 0.014054954051971436, ""median_absolute_error"": 0.0, ""tolerances"": {""density_relative"": 0.1, ""coverage_absolute"": 0.03, ""zero_absolute"": 0.03, ""count_lt2_absolute"": 0.05, ""median_absolute"": 1.0}}",0.2702664143871516,6.888720679012346,0.2045841075014323,65536,518400,legacy fixed 4x4 pixel-space cubic,,2,19853.330442116803,,,,0.09990380750969052,,,,,,,,,,0.006234291739154659,329,,,,,,,6.888720679012346,0.0,0.0012765773175229425,,,,516158.230554516,1022.5107421875,1082.0,,,,,,2882937,2879383,2874164,2854356,,,3462153.8069415144,20736000,0.4173919854220003,39706.660884233606,,,,,"[540, 960]",219420.71576533903,0.03572922217909232,40.17372730397619,MATCHED,matched_density,,,1.0,,817403,69616912,5168460,4351057,4351057,3530462.195705053,10368000,160,MATCHED-DENSITY HIGH RESOLUTION,0.27806106209754944,20,39.158842246979475,0.721938967704773
41472000,2804282,285680416,20659308,17855026,17855026,32,,"[30124795, 6502, 5860, 7057, 12167, 26414, 59646, 128131, 247333, 412003, 581008, 697640, 735653, 717661, 662668, 597171, 530168, 465890, 409006, 357216, 312016, 274956, 243600, 218799, 195827, 177679, 161609, 148105, 135244, 124432, 114317, 106117, 99641, 93229, 88184, 83874, 79435, 75659, 72653, 70758, 68773, 68294, 67039, 65339, 63581, 60896, 58029, 55553, 53501, 50225, 47451, 45116, 42986, 40903, 39252, 37524, 36173, 34609, 33626, 32220, 31424, 30066, 28986, 27683, 27118, 26068, 24965, 23737, 23053, 21769, 20843, 19567, 18995, 18185, 17355, 16394, 15449, 14816, 14157, 13611, 12562, 12093, 11515, 11046, 10517, 10191, 9804, 9392, 8855, 8653, 8154, 7891, 7544, 7430, 6980, 6976, 6549, 6564, 6287, 6019, 5878, 5689, 5461, 5165, 5147, 4934, 4799, 4562, 4349, 4277, 4123, 4033, 3860, 3834, 3821, 3545, 3352, 3234, 3225, 3179, 3027, 2877, 2840, 2814, 2710, 2631, 2543, 2430, 2368, 2312, 2230, 2116, 2046, 2082, 1979, 1949, 1887, 1856, 1761, 1776, 1666, 1665, 1616, 1536, 1556, 1519, 1495, 1434, 1377, 1355, 1334, 1323, 1224, 1224, 1257, 1116, 1146, 1066, 1047, 1055, 974, 922, 992, 905, 860, 891, 853, 856, 826, 814, 798, 738, 809, 713, 691, 704, 706, 667, 636, 620, 611, 613, 629, 549, 565, 547, 492, 564, 533, 479, 486, 494, 446, 431, 415, 443, 373, 448, 412, 415, 367, 352, 369, 379, 362, 359, 333, 348, 316, 316, 284, 303, 273, 292, 259, 281, 249, 264, 255, 224, 194, 219, 234, 238, 208, 211, 206, 204, 178, 186, 201, 176, 193, 155, 163, 166, 172, 154, 146, 157, 135, 137, 132, 129, 132, 143, 123, 143, 118, 119, 102, 87, 96, 92, 87, 91, 96, 107, 86, 95, 77, 111, 88, 71, 75, 71, 80, 91, 76, 69, 84, 73, 56, 79, 63, 49, 52, 61, 57, 57, 61, 39, 49, 59, 59, 58, 46, 46, 31, 37, 36, 42, 34, 42, 47, 32, 33, 44, 37, 23, 33, 26, 29, 36, 36, 19, 21, 29, 25, 31, 30, 20, 37, 28, 15, 25, 27, 21, 33, 24, 18, 23, 17, 21, 18, 18, 17, 19, 18, 18, 14, 18, 16, 10, 13, 12, 7, 13, 15, 18, 14, 8, 10, 12, 7, 2, 13, 7, 9, 10, 8, 6, 10, 6, 12, 11, 9, 4, 6, 9, 10, 9, 13, 2, 2, 3, 7, 8, 9, 5, 5, 3, 6, 4, 7, 5, 3, 6, 5, 9, 4, 3, 3, 5, 4, 2, 5, 5, 6, 7, 2, 6, 3, 3, 1, 2, 4, 4, 5, 4, 5, 2, 3, 7, 4, 3, 6, 5, 4, 4, 2, 2, 1, 2, 1, 2, 0, 7, 3, 1, 4, 1, 2, 1, 1, 2, 0, 3, 2, 2, 2, 1, 2, 4, 2, 2, 2, 4, 1, 4, 0, 2, 1, 2, 0, 3, 1, 3, 1, 0, 0, 0, 0, 1, 0, 1, 3, 2, 0, 2, 3, 2, 1, 3, 0, 3, 1, 0, 0, 1, 0, 0, 0, 0, 2, 2, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",21.0,36.0,77.0,0.726545512676239,0.7268570065498352,3312.0546875,"{""passed"": true, ""checks"": {""effective_writes_per_pixel"": true, ""unique_coverage"": true, ""zero_count"": true, ""count_lt2"": true, ""median"": true}, ""density_relative_error"": 4.4294462522742606e-05, ""coverage_absolute_error"": 0.01934531331062317, ""zero_absolute_error"": 0.019345343112945557, ""count_lt2_absolute_error"": 0.01831871271133423, ""median_absolute_error"": 0.0, ""tolerances"": {""density_relative"": 0.1, ""coverage_absolute"": 0.03, ""zero_absolute"": 0.03, ""count_lt2_absolute"": 0.05, ""median_absolute"": 1.0}}",1.666966585908085,6.88851311728395,0.8118670128751546,65536,2073600,legacy fixed 4x4 pixel-space cubic,,2,103380.02351280813,,,,0.5690808941144496,,,,,,,,,,0.006686014363413504,527,,,,,,,6.88851311728395,0.0,0.0016618445137732787,,,,515900.50053191883,1306.109375,1374.0,,,,,,11347205,11340703,11327786,11101428,,,13806127.489660665,82944000,1.6761152672115713,206760.04702561625,,,,,"[1080, 1920]",219303.60289163413,0.04076572719544297,160.77518807305023,MATCHED,matched_density,,,1.0,,3269554,278456832,20673106,17403552,17403552,14052025.30200487,41472000,640,MATCHED-DENSITY HIGH RESOLUTION,0.2736112177371979,20,155.96721678064205,0.7263888120651245
1310720,88658,9028512,652940,564282,564282,1,,"[926736, 1551, 1330, 1259, 1118, 1142, 1169, 1269, 2170, 3774, 5938, 8449, 11735, 15865, 19786, 23367, 25211, 25101, 23454, 20360, 17805, 15707, 13576, 11903, 10313, 9404, 8351, 7442, 6703, 6175, 5617, 5129, 4710, 4250, 3941, 3706, 3423, 3287, 3083, 2882, 2728, 2492, 2301, 2122, 1976, 1882, 1896, 1739, 1600, 1566, 1384, 1335, 1254, 1169, 1145, 1036, 1008, 930, 860, 877, 803, 707, 690, 700, 595, 591, 565, 523, 399, 435, 443, 380, 337, 322, 312, 290, 263, 239, 224, 201, 198, 186, 166, 162, 112, 113, 104, 105, 105, 87, 78, 59, 65, 48, 58, 53, 42, 34, 42, 37, 27, 28, 30, 28, 18, 20, 12, 16, 14, 10, 10, 10, 12, 5, 8, 7, 7, 8, 5, 3, 4, 3, 4, 5, 2, 0, 2, 4, 2, 7, 0, 1, 3, 3, 2, 0, 3, 5, 2, 2, 0, 4, 2, 3, 0, 1, 0, 0, 2, 0, 1, 1, 0, 1, 2, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1]",23.0,33.0,57.0,0.7082267999649048,0.7102020382881165,1708.37890625,"{""passed"": true, ""checks"": {""effective_writes_per_pixel"": true, ""unique_coverage"": true, ""zero_count"": true, ""count_lt2"": true, ""median"": true}, ""density_relative_error"": 0.0, ""coverage_absolute_error"": 0.0, ""zero_absolute_error"": 0.0, ""count_lt2_absolute_error"": 0.0, ""median_absolute_error"": 0.0, ""tolerances"": {""density_relative"": 0.1, ""coverage_absolute"": 0.03, ""zero_absolute"": 0.03, ""count_lt2_absolute"": 0.05, ""median_absolute"": 1.0}}",0.04099456989206374,6.8882080078125,0.02804828272201121,65536,65536,legacy fixed 4x4 pixel-space cubic,,2,2043.4686859697233,,,,0.009447565069422126,,,,,,,,,,0.005704210965426048,166,,,,,,,6.8882080078125,0.0,0.0010393619211678687,,,,490784.463536931,969.14013671875,1008.0,,,,,,383984,382433,379844,375146,,,439484.75704383955,2621440,0.05359766585752368,4086.9373719394466,,,,,"[256, 256]",208628.14244340613,0.032239136482974676,5.341326375957578,MATCHED,fixed_samples,,,1.0,,103266,8801104,653335,550069,550069,447613.1672108065,1310720,20,FIXED-SAMPLE HIGH RESOLUTION,0.29295653104782104,20,5.202997739659622,0.707043468952179
1310720,88658,9028512,652940,564282,564282,1,,"[3775604, 30516, 105106, 206410, 259324, 237178, 176123, 117851, 78649, 54737, 39643, 29802, 23246, 18815, 15063, 12633, 10428, 8687, 7234, 6046, 5039, 4187, 3574, 2954, 2489, 2195, 1688, 1509, 1144, 944, 790, 627, 511, 382, 313, 261, 203, 180, 139, 109, 96, 80, 53, 54, 51, 32, 24, 19, 21, 17, 10, 15, 10, 13, 6, 9, 10, 6, 1, 3, 2, 3, 0, 0, 0, 0, 1, 1, 1, 2, 5, 0, 1, 0, 0, 1]",6.0,8.0,16.0,0.7259597778320312,0.7853767275810242,3312.0546875,,0.07126960530877113,1.722052001953125,0.025634948862716556,65536,65536,legacy fixed 4x4 pixel-space cubic,,2,40912.777152454364,,,,0.011704940581694245,,,,,,,,,,0.011349495006132653,75,,,,,,,1.722052001953125,0.0,0.005202328637753088,,,,514210.98722944746,981.81103515625,1016.0,,,,,,1467276,1436760,1125244,334768,,,1523210.0730289782,2621440,0.05322684347629547,81825.55430490873,,,,,"[512, 512]",218586.550838517,0.07212716989978941,5.097985194995999,,fixed_samples,,,0.25,,103266,8801104,653335,550069,550069,1532259.3817427852,5242880,20,FIXED-SAMPLE HIGH RESOLUTION,0.2798606753349304,20,4.930207147495821,0.7201393246650696
