above_one_rgb_scalars,affected_pixel_fraction,affected_rgb_scalar_fraction,attempted_packets,below_zero_rgb_scalars,category,chunk_size,clamp_affected_frozen_fd_change_fraction,clamp_affected_full_fd_change_fraction,clamp_affected_jacobian_entry_fraction,common_support_mse,comparison,continuous_detector_writes,cpu_peak_rss_mib,current_image_energy,emitters,epsilon,estimator,events_per_second,foreground_self_mse,fraction_self_sse_from_support_xor,hard_bin_writes,independent_self_mse,interior_mse,interior_self_mse,mae,mean_contribution_count,mean_detector_weight,mean_foreground_brightness,mse,mse_vs_8N,packets_per_second,parameter,peak_allocated_mib,peak_reserved_mib,regions,resolution,retained_events,rmse,rmse_vs_8N,runtime_seconds,sample_realization_gradient,sample_set,scale_normalized_self_rmse,scale_normalized_whole_image_self_mse,scientific_mc_measurement_clamped,section,seed,self_mse,silhouette_0_8px_self_mse,silhouette_mse,silhouette_regions,support_switch_scalar_fraction,support_xor_fraction,support_xor_pixel_fraction,support_xor_sse_fraction,switch_pixel_mse,target_image_energy,target_mean_square,threshold,topology_component_fraction_of_full_norm,total_image_energy,visibility_switch_fraction,whole_image_self_mse,whole_image_self_sse
,,,,,,,,,,,,,,,32768,,LEGACY_GATED_NORMALIZED_SPLAT,,,,,0.0,,,,,,0.5759719634714849,,0.002570680823797981,,,,,,,,,0.050701881856573934,,,,,,,convergence,101,,,,,,,,,,,,,,430411.31640625,,,
,,,,,,,,,,,,,,,32768,,UNGATED_NORMALIZED_SPLAT,,,,,0.0,,,,,,0.581073477820417,,0.0002803277272808676,,,,,,,,,0.01674299039242595,,,,,,,convergence,101,,,,,,,,,,,,,,443458.0263671875,,,
,,,,,,,,,,,,,,,32768,,HARD_BIN_MONTE_CARLO,,,,,0.0,,,,,,0.8541926642436618,,0.20944801022609075,,,,,,,,,0.45765490298487,,,,,,,convergence,101,,,,,,,,,,,,,,1948999.3828125,,,
,,,,,,,,,,,,,,,32768,,CONTINUOUS_KERNEL_MONTE_CARLO,,,,,0.0,,,,,,0.7912278224183682,,0.036935035263498624,,,,,,,,,0.1921848986353991,,,,,,,convergence,101,,,,,,,,,,,,,,1088145.484375,,,
,,,,,,,,,,,,,,,65536,,LEGACY_GATED_NORMALIZED_SPLAT,,,,,0.0,,,,,,0.5876687999320117,,0.0002874605735996738,,,,,,,,,0.01695466229683369,,,,,,,convergence,101,,,,,,,,,,,,,,439437.1650390625,,,
,,,,,,,,,,,,,,,65536,,UNGATED_NORMALIZED_SPLAT,,,,,0.0,,,,,,0.5820832665293154,,0.00011573998805639955,,,,,,,,,0.010758252091134487,,,,,,,convergence,101,,,,,,,,,,,,,,443799.0810546875,,,
,,,,,,,,,,,,,,,65536,,HARD_BIN_MONTE_CARLO,,,,,0.0,,,,,,0.8540508984307114,,0.06550048391024271,,,,,,,,,0.2559306232365379,,,,,,,convergence,101,,,,,,,,,,,,,,1381018.0859375,,,
,,,,,,,,,,,,,,,65536,,CONTINUOUS_KERNEL_MONTE_CARLO,,,,,0.0,,,,,,0.7910965166870486,,0.008134389109909535,,,,,,,,,0.09019084826028378,,,,,,,convergence,101,,,,,,,,,,,,,,974184.041015625,,,
,,,,,,,,,,,,,,,131072,,LEGACY_GATED_NORMALIZED_SPLAT,,,,,0.0,,,,,,0.5891424402861957,,0.00012631204178129943,,,,,,,,,0.011238863011056742,,,,,,,convergence,101,,,,,,,,,,,,,,440059.3974609375,,,
,,,,,,,,,,,,,,,131072,,UNGATED_NORMALIZED_SPLAT,,,,,0.0,,,,,,0.5825182330342678,,4.945795832706305e-05,,,,,,,,,0.00703263523347138,,,,,,,convergence,101,,,,,,,,,,,,,,443908.2041015625,,,
