metric,value
version,0.8.5
scope,continuous zero-set-native forward energy transport operator; no novelty or physical-exactness claim
configuration.surface_samples,4096
configuration.views,4
configuration.resolutions[0][0],256
configuration.resolutions[0][1],256
configuration.resolutions[1][0],512
configuration.resolutions[1][1],512
configuration.seed,101
configuration.seeds[0],101
configuration.seeds[1],211
configuration.seeds[2],307
configuration.seeds[3],401
configuration.seeds[4],503
configuration.seeds[5],601
configuration.seeds[6],701
configuration.seeds[7],809
configuration.emitter_chunk_size,256
configuration.root_samples,16
configuration.bisection_steps,18
configuration.detector_extent,2.8
configuration.sensor_gain,1.5
configuration.ambient,0.35
configuration.levelset_eta_relative,1e-06
configuration.packet_radius_over_h,1.0
configuration.shell_width_over_r,1.0
configuration.micro_samples,8
configuration.path_step_over_epsilon,0.5
configuration.target_crossing_transmission,0.01
configuration.launch_exclusion_over_r_plus_epsilon,1.05
configuration.radius_ratios[0],0.0
configuration.radius_ratios[1],0.25
configuration.radius_ratios[2],0.5
configuration.radius_ratios[3],1.0
configuration.radius_ratios[4],2.0
configuration.epsilon_over_r[0],0.25
configuration.epsilon_over_r[1],0.5
configuration.epsilon_over_r[2],1.0
configuration.opacity_targets[0],0.1
configuration.opacity_targets[1],0.01
configuration.opacity_targets[2],0.001
configuration.path_step_ratios[0],1.0
configuration.path_step_ratios[1],0.5
configuration.path_step_ratios[2],0.25
configuration.path_step_ratios[3],0.125
configuration.micro_counts[0],1
configuration.micro_counts[1],8
configuration.micro_counts[2],32
configuration.micro_counts[3],128
configuration.perturbation_deltas[0],0.001
configuration.perturbation_deltas[1],0.0003
configuration.fd_epsilons[0],0.001
configuration.fd_epsilons[1],0.0003
configuration.fd_epsilons[2],0.0001
configuration.screen_samples,512
configuration.multiseed_samples,1024
configuration.diagnostic_samples,512
configuration.diagnostic_views,1
configuration.diagnostic_resolution,64
configuration.scale_invariance_tolerance,2e-10
configuration.sphere_cap_tolerance,2e-08
configuration.energy_linearity_tolerance,1e-14
configuration.opacity_tolerance,0.0002
configuration.path_transmission_rmse_tolerance,0.02
configuration.path_derivative_relative_tolerance,0.15
configuration.analytic_fd_relative_tolerance,0.15
configuration.topology_reduction_minimum,0.2
configuration.multiseed_response_cosine_minimum,0.35
environment.available,True
environment.gpu,Quadro RTX 5000
environment.vram_mib,15904.875
environment.pytorch,2.5.1+cu124
environment.pytorch_cuda,12.4
transport_definition.root_free,True
transport_definition.first_root_selected,False
transport_definition.normalized_coordinate,d_F=F/sqrt(||grad F||^2+eta^2)
transport_definition.compact_shell,"psi(q)=15/16(1-q^2)^2 for |q|<1, zero otherwise"
transport_definition.packet_support,fixed Sobol quadrature in a uniform 3D ball
transport_definition.optical_depth,tau=kappa integral mean_u psi_epsilon(d_F(x(t)+r u))*|n_F dot omega| dt
transport_definition.transmission,T=exp(-tau)
transport_definition.energy,E_out=T(F) E_in
transport_definition.source_topology_frozen_or_remaining,sign-changing-cell selection and normal-line root identity remain discrete
required_variants.A,hard visibility plus continuous cubic detector
required_variants.B,point soft zero-set attenuation (r=0)
required_variants.C,finite-support packet soft zero-set attenuation
required_variants.D,analytic half-space sphere-cap control
transport_derivative.optical_depth,"tau(lambda)=kappa integral sigma(F_lambda,x(t)) dt"
transport_derivative.transmission,dT/dlambda=-T dtau/dlambda
transport_derivative.energy,dE_out/dlambda=E_in dT/dlambda + T dE_in/dlambda
transport_derivative.image,continuous cubic detector projection and kernel derivatives are differentiated through autodiff
transport_derivative.not_differentiated,discrete sign-changing-cell count/order and source root identity
surface_spacing_and_selected_parameters.h,0.02455721885871518
surface_spacing_and_selected_parameters.radius,0.02455721885871518
surface_spacing_and_selected_parameters.radius_over_h,1.0
surface_spacing_and_selected_parameters.epsilon,0.02455721885871518
surface_spacing_and_selected_parameters.epsilon_over_radius,1.0
surface_spacing_and_selected_parameters.path_step,0.01227860942935759
surface_spacing_and_selected_parameters.path_step_over_epsilon,0.5
surface_spacing_and_selected_parameters.kappa,4.605170185988091
surface_spacing_and_selected_parameters.target_crossing_transmission,0.01
sphere_cap.formula,phi(s)=0 for s>=1; 1 for s<=-1; ((1-s)^2(2+s))/4 otherwise
sphere_cap.independent_gauss_legendre_max_absolute_error,4.440892098500626e-16
sphere_cap.finite_difference_derivative_max_absolute_error,8.999219999998218e-05
sphere_cap.float32_float64_max_absolute_error,4.138040154977318e-08
