metric,value
version,0.8.6
scope,fixed latent continuous zero-set source experiment; no novelty or physical-radiometry claim
configuration.main_anchors,32768
configuration.density_counts[0],4096
configuration.density_counts[1],8192
configuration.density_counts[2],16384
configuration.density_counts[3],32768
configuration.shell_ratios[0],1.0
configuration.shell_ratios[1],0.5
configuration.shell_ratios[2],0.25
configuration.shell_ratios[3],0.125
configuration.shell_ratios[4],0.0625
configuration.shell_ratios[5],0.03125
configuration.density_shell_ratios[0],1.0
configuration.density_shell_ratios[1],0.25
configuration.density_shell_ratios[2],0.0625
configuration.selected_epsilon_over_h,0.5
configuration.views,4
configuration.resolution,256
configuration.higher_resolution,512
configuration.seed,101
configuration.seeds[0],101
configuration.seeds[1],211
configuration.seeds[2],307
configuration.seeds[3],401
configuration.seeds[4],503
configuration.seeds[5],601
configuration.seeds[6],701
configuration.seeds[7],809
configuration.source_chunk_size,256
configuration.micro_samples,8
configuration.packet_radius_over_surface_h,1.0
configuration.packet_shell_over_radius,1.0
configuration.packet_step_over_epsilon,0.5
configuration.target_crossing_transmission,0.01
configuration.levelset_eta_relative,1e-06
configuration.detector_extent,2.8
configuration.sensor_gain,1.5
configuration.ambient,0.35
configuration.emission_transition_width,0.05
configuration.launch_exclusion_factor,1.05
configuration.diagnostic_surface_samples,4096
configuration.fd_anchor_count,8192
configuration.fd_surface_samples,512
configuration.fd_resolution,64
configuration.fd_micro_samples,2
configuration.fd_epsilons[0],0.001
configuration.fd_epsilons[1],0.0003
configuration.fd_epsilons[2],0.0001
configuration.response_delta,0.001
configuration.width_fd_epsilon,0.0001
configuration.multiseed_anchor_count,16384
configuration.multiseed_resolution,96
configuration.coverage_radius_over_h,2.0
configuration.zero_coverage_maximum,0.01
configuration.mass_drift_maximum,0.02
configuration.local_mass_cv_maximum,0.75
configuration.edge_retention_minimum,0.95
configuration.absolute_bandwidth_retention_minimum,0.8
configuration.gradient_fd_relative_maximum,0.15
configuration.source_scale_tolerance,2e-10
configuration.sample_count_mass_tolerance,0.05
configuration.multiseed_mass_cv_maximum,0.1
configuration.multiseed_response_cosine_minimum,0.2
configuration.projection_residual_over_epsilon_maximum,0.2
configuration.topology_fraction_maximum,0.1
environment.available,True
environment.gpu,Quadro RTX 5000
environment.vram_mib,15904.875
environment.pytorch,2.5.1+cu124
environment.pytorch_cuda,12.4
anchor_proposal.domain[0][0],-1.2
anchor_proposal.domain[0][1],-1.2
anchor_proposal.domain[0][2],-1.2
anchor_proposal.domain[1][0],1.2
anchor_proposal.domain[1][1],1.2
anchor_proposal.domain[1][2],1.2
anchor_proposal.proposal,uniform padded scene bounding volume
anchor_proposal.q_of_a,0.07233796296296297
anchor_proposal.quadrature_weight_one_over_Nq,0.000421875
anchor_proposal.sobol_dimensions,3
anchor_proposal.scrambled,True
anchor_proposal.seed,101
anchor_proposal.total_anchors,32768
anchor_proposal.h_s_definition,(proposal_volume/N_s)^(1/3)
anchor_proposal.h_s,0.07500000000000001
anchor_proposal.proposal_volume,13.824
anchor_proposal.identity_digest,7c2e81a844e02bccdb0717307eb3597e460c028a5bba84ffc3ba464e9a249a4f
source_measure.definition,"S_epsilon(F)=integral_Omega G(x_tilde,F) delta_epsilon(d_F(a)) da / A_ref"
source_measure.estimator,"sum_j [1/(N q(a_j) A_ref)] delta_epsilon(d_F(a_j)) G(x_tilde_j,F)"
source_measure.measure_semantics,"algorithmic normalized volume-shell measure; asymptotically coarea-like near regular zero sets, not claimed as physical radiometry"
source_measure.reference_area_calibration,9.088634202953163
source_measure.reference_area_rule,"initial-field N=32768 global Sobol estimate at epsilon_s/h_s=1, computed once and frozen"
source_measure.kernel,"psi(s)=35/32(1-s^2)^3 for |s|<1, zero otherwise"
source_measure.kernel_regularness,"compact C2; value, first derivative, and second derivative vanish at support boundary"
source_measure.normalized_integral,1.0
source_measure.no_random_local_normalization,True
