metric,value
version,0.8.7
scope,parameter-attached fixed latent 2D projected-geodesic source charts; algorithmic source measure
configuration.dictionary_count,128
configuration.main_k,64
configuration.k_counts[0],32
configuration.k_counts[1],64
configuration.k_counts[2],128
configuration.main_m,32
configuration.m_counts[0],8
configuration.m_counts[1],16
configuration.m_counts[2],32
configuration.m_counts[3],64
configuration.m_counts[4],128
configuration.chart_radius_ratios[0],0.25
configuration.chart_radius_ratios[1],0.5
configuration.chart_radius_ratios[2],1.0
configuration.chart_radius_ratios[3],1.5
configuration.selected_chart_radius_ratio,1.0
configuration.geodesic_steps,4
configuration.support_margin_ratio,0.08
configuration.reference_surface_samples,4096
configuration.views,4
configuration.resolution,256
configuration.higher_resolution,512
configuration.diagnostic_resolution,64
configuration.multiseed_resolution,64
configuration.seed,101
configuration.seeds[0],101
configuration.seeds[1],211
configuration.seeds[2],307
configuration.seeds[3],401
configuration.seeds[4],503
configuration.seeds[5],601
configuration.seeds[6],701
configuration.seeds[7],809
configuration.micro_samples,4
configuration.fd_micro_samples,1
configuration.fd_m,8
configuration.fd_epsilons[0],0.001
configuration.fd_epsilons[1],0.0003
configuration.fd_epsilons[2],0.0001
configuration.response_delta,0.001
configuration.detector_extent,2.8
configuration.sensor_gain,1.5
configuration.ambient,0.35
configuration.emission_transition_width,0.05
configuration.source_chunk_size,256
configuration.packet_radius_over_surface_h,1.0
configuration.packet_shell_over_radius,1.0
configuration.packet_step_over_epsilon,0.5
configuration.target_crossing_transmission,0.01
configuration.launch_exclusion_factor,1.05
configuration.soft_pou_delta,0.001
configuration.reserve_fraction,0.05
configuration.reserve_anchor_count,4096
configuration.frame_jump_maximum_radians,0.05
configuration.topology_position_jump_maximum,0.01
configuration.mass_cv_maximum,0.08
configuration.response_cosine_minimum,0.2
configuration.density_brightness_maximum,0.05
configuration.birth_jump_maximum,0.05
configuration.coverage_zero_maximum,0.01
configuration.fd_relative_maximum,0.02
configuration.thin_feature_target,0.75
environment.available,True
environment.gpu,Quadro RTX 5000
environment.vram_mib,15904.875
environment.pytorch,2.5.1+cu124
environment.pytorch_cuda,12.4
geometry_parameterization.current_k,64
geometry_parameterization.master_dictionary_k,128
geometry_parameterization.center_definition,"nested reference surface points, fixed in world space"
geometry_parameterization.basis,Wendland C2 B_k=(1-q)_+^4(4q+1)
geometry_parameterization.support_radius_rule,0.45*sqrt(32/level_prefix_stop)
geometry_parameterization.basis_radius_unique[0],0.225
geometry_parameterization.basis_radius_unique[1],0.3181980515339464
geometry_parameterization.basis_radius_unique[2],0.45
geometry_parameterization.center_zero_set_residual_maximum,3.9594528122768174e-10
geometry_parameterization.center_zero_set_residual_median,6.895525817007808e-17
geometry_parameterization.coefficients_are_source_amplitudes,False
chart_definition.identity,"(geometry_basis_id k, fixed Sobol disk id m, rho_m, theta_m)"
chart_definition.identity_digest,5924bd066955b903b87ced0f1c5d7bb1acabf2287a6678d38b5bd78d0f416aaf
chart_definition.k,64
chart_definition.m,32
chart_definition.total_latent_samples,2048
chart_definition.sobol_dimensions,2
chart_definition.scrambled,True
chart_definition.seed_rule,seed+104729*k
chart_definition.proper_disk_area_sampling,"rho=sqrt(u0), theta=2*pi*u1"
chart_definition.chart_radius_over_basis_radius,1.0
chart_definition.chart_radius_minimum,0.3181980515339464
chart_definition.chart_radius_maximum,0.45
chart_definition.chart_radii_by_id[0],0.45
chart_definition.chart_radii_by_id[1],0.45
chart_definition.chart_radii_by_id[2],0.45
chart_definition.chart_radii_by_id[3],0.45
chart_definition.chart_radii_by_id[4],0.45
chart_definition.chart_radii_by_id[5],0.45
chart_definition.chart_radii_by_id[6],0.45
chart_definition.chart_radii_by_id[7],0.45
chart_definition.chart_radii_by_id[8],0.45
chart_definition.chart_radii_by_id[9],0.45
chart_definition.chart_radii_by_id[10],0.45
chart_definition.chart_radii_by_id[11],0.45
chart_definition.chart_radii_by_id[12],0.45
chart_definition.chart_radii_by_id[13],0.45
chart_definition.chart_radii_by_id[14],0.45
chart_definition.chart_radii_by_id[15],0.45
chart_definition.chart_radii_by_id[16],0.45
chart_definition.chart_radii_by_id[17],0.45
chart_definition.chart_radii_by_id[18],0.45
chart_definition.chart_radii_by_id[19],0.45
chart_definition.chart_radii_by_id[20],0.45
chart_definition.chart_radii_by_id[21],0.45
chart_definition.chart_radii_by_id[22],0.45
chart_definition.chart_radii_by_id[23],0.45
chart_definition.chart_radii_by_id[24],0.45
chart_definition.chart_radii_by_id[25],0.45
chart_definition.chart_radii_by_id[26],0.45
chart_definition.chart_radii_by_id[27],0.45
chart_definition.chart_radii_by_id[28],0.45
chart_definition.chart_radii_by_id[29],0.45
chart_definition.chart_radii_by_id[30],0.45
chart_definition.chart_radii_by_id[31],0.45
chart_definition.chart_radii_by_id[32],0.3181980515339464
chart_definition.chart_radii_by_id[33],0.3181980515339464
chart_definition.chart_radii_by_id[34],0.3181980515339464
chart_definition.chart_radii_by_id[35],0.3181980515339464
chart_definition.chart_radii_by_id[36],0.3181980515339464
chart_definition.chart_radii_by_id[37],0.3181980515339464
chart_definition.chart_radii_by_id[38],0.3181980515339464
chart_definition.chart_radii_by_id[39],0.3181980515339464
chart_definition.chart_radii_by_id[40],0.3181980515339464
chart_definition.chart_radii_by_id[41],0.3181980515339464
chart_definition.chart_radii_by_id[42],0.3181980515339464
chart_definition.chart_radii_by_id[43],0.3181980515339464
chart_definition.chart_radii_by_id[44],0.3181980515339464
chart_definition.chart_radii_by_id[45],0.3181980515339464
chart_definition.chart_radii_by_id[46],0.3181980515339464
chart_definition.chart_radii_by_id[47],0.3181980515339464
chart_definition.chart_radii_by_id[48],0.3181980515339464
chart_definition.chart_radii_by_id[49],0.3181980515339464
chart_definition.chart_radii_by_id[50],0.3181980515339464
chart_definition.chart_radii_by_id[51],0.3181980515339464
chart_definition.chart_radii_by_id[52],0.3181980515339464
chart_definition.chart_radii_by_id[53],0.3181980515339464
chart_definition.chart_radii_by_id[54],0.3181980515339464
chart_definition.chart_radii_by_id[55],0.3181980515339464
