metric,value
version,0.8.8
scope,geodesic emitter-density scaling with source energy decoupled from geometry lambda
configuration.k_geom,64
configuration.center_counts[0],64
configuration.center_counts[1],128
configuration.center_counts[2],256
configuration.center_counts[3],512
configuration.optional_center_count,1024
configuration.m_counts[0],16
configuration.m_counts[1],32
configuration.m_counts[2],64
configuration.m_counts[3],128
configuration.optional_m,256
configuration.radius_factors[0],1.0
configuration.radius_factors[1],1.5
configuration.radius_factors[2],2.0
configuration.fixed_budget,8192
configuration.screen_resolution,256
configuration.higher_resolution,512
configuration.fullhd_resolution[0],1080
configuration.fullhd_resolution[1],1920
configuration.diagnostic_resolution,64
configuration.reference_surface_samples,4096
configuration.views,4
configuration.seed,101
configuration.seeds[0],101
configuration.seeds[1],211
configuration.seeds[2],307
configuration.seeds[3],401
configuration.seeds[4],503
configuration.seeds[5],601
configuration.seeds[6],701
configuration.seeds[7],809
configuration.geodesic_steps,4
configuration.support_margin_ratio,0.08
configuration.proposal_knn,4
configuration.source_chunk_size,256
configuration.micro_samples,1
configuration.fullhd_micro_samples,1
configuration.packet_radius_over_surface_h,1.0
configuration.packet_shell_over_radius,1.0
configuration.packet_step_over_epsilon,0.5
configuration.target_crossing_transmission,0.01
configuration.launch_exclusion_factor,1.05
configuration.detector_extent,2.8
configuration.sensor_gain,1.5
configuration.ambient,0.35
configuration.emission_transition_width,0.05
configuration.response_delta,0.001
configuration.fd_epsilons[0],0.001
configuration.fd_epsilons[1],0.0003
configuration.fd_epsilons[2],0.0001
configuration.mass_deviation_maximum,0.05
configuration.brightness_deviation_maximum,0.08
configuration.response_norm_cv_maximum,0.15
configuration.response_cosine_minimum,0.55
configuration.fd_relative_maximum,0.02
configuration.thin_feature_target,0.75
configuration.sparse_density_maximum,0.2
environment.available,True
environment.gpu,Quadro RTX 5000
environment.vram_mib,15904.875
environment.pytorch,2.5.1+cu124
environment.pytorch_cuda,12.4
source_measure.historical_v084_v085_measure,uniform sign-changing-cell latent push-forward probability measure
source_measure.reference_integral,"S_ref(F)=integral G(x,F) d mu_ref,F(x)"
source_measure.finite_empirical_measure,"mu_ref,N=(1/N) sum_j delta_{Phi_F(C_floor(u_j0*Ncell),u_j1:3)}"
source_measure.cell_selection,each sign-changing grid cell has equal latent probability; not surface-area weighted
source_measure.within_cell,"three Sobol coordinates uniform in the selected cell, then fixed Newton projection with edge fallback"
source_measure.renderer_normalization,v0.8.5 multiplies accumulated detector energy by sensor_gain*H*W/N
source_measure.physical_surface_area_claim,False
source_measure.surface_area_control,FROZEN_INTRINSIC_AREA_WEIGHT approximates normalized dA separately
source_measure.selected_measure,HISTORICAL_SIGN_CELL_PUSHFORWARD
source_measure.selected_quadrature,HISTORICAL_MEASURE_MATCHED
source_measure.reference_area_calibration,9.088634202953163
source_operator.mapping,"x_km(F)=Phi_k(F,xi_m)"
source_operator.energy,"E_km_source=G(x_km,F)*w_km_quad"
source_operator.lambda_amplitude_in_source_energy,False
source_operator.kernel_role,"proposal density, support, and overlap accounting only for Q2-Q4"
source_operator.geometry_active_k,64
source_operator.chart_coefficients_locked_zero_after_64,True
source_operator.finite_packet_transport_reused_unchanged,True
source_operator.continuous_detector_reused_unchanged,True
center_bank.maximum_centers,1024
center_bank.method,nested normal-aware approximate-geodesic farthest-point insertion on frozen zero set
center_bank.metric,"chord_distance*(1+0.5*(1-dot(n_i,n_j)))"
center_bank.first_64_exact_v087,True
center_bank.full_digest,3ba8d7ee4b2937a7e0d8459df6d990c8396b4819f421742e306a244716643a79
center_bank.prefix_digests.64,54198e4500995985843ec5ed9b30dcd212866922c23e89d255b2d9f7ea3c427e
center_bank.prefix_digests.128,527c5608d259a067aad265fac8b2eaff5d221b98f654ec39d0598650addf9a2d
center_bank.prefix_digests.256,cd0c7e8bfd5cf27b0a72d4cf2bda1051f76bddbe2465add838419780894834c5
center_bank.prefix_digests.512,f25f076a4b8a5f908e88cfa2607214d329525b078e4200735b3d105d43f24579
center_bank.prefix_digests.1024,3ba8d7ee4b2937a7e0d8459df6d990c8396b4819f421742e306a244716643a79
center_bank.reference_pool_ids[0],-1
center_bank.reference_pool_ids[1],-1
center_bank.reference_pool_ids[2],-1
center_bank.reference_pool_ids[3],-1
center_bank.reference_pool_ids[4],-1
center_bank.reference_pool_ids[5],-1
center_bank.reference_pool_ids[6],-1
center_bank.reference_pool_ids[7],-1
center_bank.reference_pool_ids[8],-1
center_bank.reference_pool_ids[9],-1
center_bank.reference_pool_ids[10],-1
center_bank.reference_pool_ids[11],-1
center_bank.reference_pool_ids[12],-1
center_bank.reference_pool_ids[13],-1
center_bank.reference_pool_ids[14],-1
center_bank.reference_pool_ids[15],-1
center_bank.reference_pool_ids[16],-1
center_bank.reference_pool_ids[17],-1
center_bank.reference_pool_ids[18],-1
center_bank.reference_pool_ids[19],-1
center_bank.reference_pool_ids[20],-1
center_bank.reference_pool_ids[21],-1
center_bank.reference_pool_ids[22],-1
