branch,candidate,cpu_rss_peak_mib,detector_seconds,geometry_seconds,optimization_seconds,peak_cuda_allocated_mib,peak_cuda_reserved_mib,round,scoring_seconds,source_generation_seconds,source_seconds,stage,total_seconds,transport_seconds
SOFT,,5383.2890625,82.60694208391942,,,450.87744140625,610.0,,,0.2849603130016476,0.004919673083350062,initial,82.65855712303892,1.409091055393219e-06
SOFT,,4421.19921875,,,,2142.4267578125,2246.0,,338.8913967150729,,,candidate_scoring,,
SOFT,0,,,0.2753442630637437,355.60549734788947,,,,,,,single_birth_validation,,
SOFT,1,,,0.2573011361528188,350.02639359398745,,,,,,,single_birth_validation,,
SOFT,3,,,0.2713369349949062,366.7870663229842,,,,,,,single_birth_validation,,
SOFT,6,,,0.26399604696780443,371.1009882730432,,,,,,,single_birth_validation,,
SOFT,15,,,0.2645193301141262,352.2204988410231,,,,,,,single_birth_validation,,
SOFT,23,,,0.24753089202567935,343.5258833030239,,,,,,,single_birth_validation,,
SOFT,26,,,0.2516294219531119,321.15081173204817,,,,,,,single_birth_validation,,
SOFT,31,,,0.24734718585386872,331.4605373060331,,,,,,,single_birth_validation,,
SOFT,,9754.1328125,,,349.551260441076,2143.51953125,2198.0,1,324.3332305769436,,,sequential,681.0362275198568,
SOFT,,9754.1328125,,,610.0137509289198,2145.67724609375,2958.0,2,442.6596093729604,,,sequential,1060.2372079619672,
SOFT,,9754.1328125,,,696.5507597471587,2238.884765625,4526.0,3,556.6352159020025,,,sequential,1260.869606635999,
SOFT,,9754.1328125,,,702.0026388510596,2248.91748046875,6142.0,4,597.3378197799902,,,sequential,1306.8039501379244,
SOFT,,9754.1328125,,,713.7457694329787,2249.4638671875,7806.0,5,599.5867390308995,,,sequential,1320.8348461389542,
SOFT,,9754.1328125,,,738.8515320150182,2251.5791015625,9520.0,6,609.4414626760408,,,sequential,1355.7950776361395,
SOFT,,9754.1328125,,,800.4858278369065,2253.77783203125,11280.0,7,623.8153418099973,,,sequential,1431.8883606889285,
SOFT,,9754.1328125,,,948.6811660849489,2268.8857421875,13084.0,8,675.8049599400256,,,sequential,1632.151269675931,
SOFT,,9754.1328125,,,267.1889270648826,2268.67138671875,3294.0,9,682.9885618430562,,,sequential,957.9479970331304,
SOFT,,9754.1328125,,,265.66955055412836,2268.67138671875,5194.0,10,689.7054581430275,,,sequential,963.0085661420599,
SOFT,,9754.1328125,,,276.9583698308561,2268.67138671875,7142.0,11,676.1549757181201,,,sequential,960.6554504281376,
GLOBE,,6141.43359375,80.20471339905635,,,325.0029296875,348.0,,,0.595673134084791,0.0005076900124549866,initial,144.51464626006782,64.26394345099106
GLOBE,,6931.54296875,,,,1999.2216796875,2192.0,,127.03709191409871,,,candidate_scoring,,
GLOBE,3,,,0.4281360199674964,337.574034771882,,,,,,,single_birth_validation,,
GLOBE,5,,,0.4237750330939889,330.8700236349832,,,,,,,single_birth_validation,,
GLOBE,6,,,0.4139674538746476,322.88240059698,,,,,,,single_birth_validation,,
GLOBE,8,,,0.41334127611480653,328.10557348583825,,,,,,,single_birth_validation,,
GLOBE,13,,,0.41693929280154407,328.56298109400086,,,,,,,single_birth_validation,,
GLOBE,15,,,0.40989631693810225,336.53882829099894,,,,,,,single_birth_validation,,
GLOBE,23,,,0.4084174409508705,306.91575045813806,,,,,,,single_birth_validation,,
GLOBE,24,,,0.39818187220953405,312.56541247921996,,,,,,,single_birth_validation,,
GLOBE,,9754.1328125,,,330.6205631161574,2250.37158203125,2958.0,1,125.51167049398646,,,sequential,463.4210660450626,
GLOBE,,9754.1328125,,,385.5043030171655,2301.28857421875,4526.0,2,196.2110884329304,,,sequential,589.3786171749234,
GLOBE,,9754.1328125,,,409.7332430789247,2383.04150390625,6142.0,3,219.1765591430012,,,sequential,636.3229313790798,
GLOBE,,9754.1328125,,,410.9381974390708,2463.47509765625,7806.0,4,229.24742893013172,,,sequential,647.6850543010514,
GLOBE,,9754.1328125,,,491.9666716950014,2515.65966796875,9518.0,5,232.8229259629734,,,sequential,732.2686182851903,
GLOBE,,9754.1328125,,,532.4690005758312,2565.8427734375,11280.0,6,258.4497595007997,,,sequential,798.4227088089101,
GLOBE,,9754.1328125,,,2174.377651225077,2622.10595703125,13084.0,7,269.79748649010435,,,sequential,2451.686837296933,
GLOBE,,9754.1328125,,,566.1975014840718,2672.16943359375,14010.0,8,271.2337882560678,,,sequential,845.0678575239144,
GLOBE,,9754.1328125,,,581.5393608869053,2725.60498046875,5194.0,9,294.1873373151757,,,sequential,883.2814786660019,
GLOBE,,9754.1328125,,,576.1684542139992,2777.572265625,7142.0,10,293.7972248108126,,,sequential,877.7164508621208,
GLOBE,,9754.1328125,,,610.9337447099388,2831.6435546875,9138.0,11,296.54161680606194,,,sequential,915.5113623330835,
GLOBE,,9754.1328125,,,2434.3206999779213,2649.4072265625,11182.0,12,301.2553534449544,,,sequential,2743.0291846080218,
GLOBE,,9754.1328125,,,2430.1774047969375,2698.728515625,13274.0,13,300.5022309520282,,,sequential,2738.0838196210098,
GLOBE,,9754.1328125,,,651.3894875550177,2747.88525390625,14342.0,14,300.0703388620168,,,sequential,959.0591379969846,
GLOBE,,9754.1328125,,,652.9791295130271,2800.90283203125,5002.0,15,314.5954017229378,,,sequential,975.0891692379955,
GLOBE,,9754.1328125,,,2637.2197211589664,2852.404296875,7234.0,16,315.90025704400614,,,sequential,2960.532017200021,
GLOBE,,9754.1328125,,,2759.737286895979,2901.78125,9514.0,17,347.42023591906764,,,sequential,3114.777305311989,
GLOBE,,9754.1328125,,,668.9205787880346,2948.7197265625,11842.0,18,322.69117597094737,,,sequential,999.3833169401623,
GLOBE,,9754.1328125,,,669.039508915972,3003.57958984375,14218.0,19,328.25095159513876,,,sequential,1004.9349624011666,
GLOBE,,9754.1328125,,,670.1530055149924,3054.77783203125,14218.0,20,330.1391453971155,,,sequential,1007.9093679289799,
GLOBE,,9754.1328125,,,2683.8158815829083,3107.4833984375,5722.0,21,331.27364276815206,,,sequential,3022.6944089911412,
GLOBE,,9754.1328125,,,671.8232761151157,3155.53515625,8238.0,22,334.52453871280886,,,sequential,1014.1816948391497,
GLOBE,,9754.1328125,,,2697.2757029989734,3209.67431640625,10804.0,23,335.18098884099163,,,sequential,3039.9434595960192,
GLOBE,,9754.1328125,,,2699.623359297868,3259.46923828125,13416.0,24,334.8534780431073,,,sequential,3042.00689979014,
GLOBE,,9754.1328125,,,2710.5678341470193,3309.19091796875,14746.0,25,339.43789254990406,,,sequential,3057.917401319137,
