metric,value
branch,SOFT
protocol.damping,1e-07
protocol.coefficient_limit,0.03
protocol.optimization_steps,1
protocol.line_search[0],1.0
protocol.line_search[1],0.5
protocol.line_search[2],0.25
protocol.line_search[3],0.125
protocol.maximum_accepted_births,32
protocol.maximum_consecutive_no_gain,3
protocol.flattening_window,5
protocol.flattening_relative_gain,0.0002
protocol.minimum_births_before_flattening,8
protocol.candidate_bank,32
protocol.solo_per_stratum,2
protocol.candidate_rank_spearman_gate,0.2
protocol.relative_gain_floor,1e-07
protocol.geometry_relative_gain_floor,0.001
protocol.source_coverage_subset,65536
protocol.geometry_samples,16384
protocol.initial_preallocated_dof,0
protocol.support_rule,"Two levels: first half radius .45, second half .45/sqrt(2). Independent of residual."
protocol.optimizer,"Damped Gauss-Newton with exact accumulated CURRENT image Gram, coefficient box projection, deterministic four-trial backtracking"
protocol.scoring,"Full 16M source, four Full-HD views; exact image-space column norms, no stochastic norm sketch"
protocol.evaluation_subset,"Two top, two middle, two low non-null, two seeded random. Largest initial bounded comparison budget; overlap deduplicated and disclosed."
protocol.smoke_use,FD and runtime only; never headline predicted-vs-actual or birth verdicts.
operator.operator,v0817_CURRENT_fixed_measure_C3
operator.h,0.02455721885871518
operator.epsilon,0.02455721885871518
operator.path_step,0.01227860942935759
operator.eta,9.787458785644276e-07
operator.kappa,4.605170185988091
operator.launch,1.05
operator.micro,1
operator.ambient,0.35
operator.gate_width,0.05
operator.gain,1.5
operator.extent,2.8
operator.capture,4
operator.resolution[0],1080
operator.resolution[1],1920
operator.views,4
operator.count,16777216
operator.mass,1.0034377352493191
operator.seed,101
operator.base_grid_digest,c262097d30d246d7437b6ae3736508e68189236e524ef0748013219b3f7859ca
operator.source_dtype,float64
operator.transport_dtype,float64
operator.detector_dtype,float32
operator.precision_note,As v0817; float64 detector in bounded FD diagnostics only.
target_digest,5701b51c2733f9b1e819667378c06f5aa6fbe697821dd4db02d5d97c0b6351bd
initial_preallocated_dof,0
source.signature.config_digest,62ca4976cb787bbdbc3fd85b82677cf3aaa45a383158d798e34cfdd3b30c3861
source.signature.field_digest,c262097d30d246d7437b6ae3736508e68189236e524ef0748013219b3f7859ca
source.signature.count,16777216
source.signature.seed,101
source.signature.operator_version,v0817_CURRENT_fixed_measure_C3
source.signature.shape[0],16777216
source.signature.shape[1],3
source.signature.dtype,float64
source.signature.branch,SOFT
source.definition,"Unchanged v0817 uniform polyhedral reference-area source, already attached to the base field; persistent normal-line pushforward under lambda."
source.attempted_proposals,16777216
source.source_seconds,0.2849603130016476
source.position_digest,9381b4a92942668b428be5796e2b9d64f6bd8d03061b3bae9e79517ed34b780e
source.normal_digest,441dd3697f66fe943b57cfeefbe929538c03c827e508025d8033326cc4ef0e4a
source.weight_digest,e8a23943d73928dce091768b7789dedd1390b88a2ee2ef22b4e84ad52b924711
source.source_mass,1.0034377352493205
derivative_validation.branch,SOFT
derivative_validation.stage,PREFLIGHT_ONLY
derivative_validation.resolution[0],128
derivative_validation.resolution[1],128
derivative_validation.samples,1024
derivative_validation.source_ids[0],0
derivative_validation.source_ids[1],322
derivative_validation.source_ids[2],298
derivative_validation.source_ids[3],304
derivative_validation.source_ids[4],259
derivative_validation.source_ids[5],306
derivative_validation.source_ids[6],164
derivative_validation.source_ids[7],615
derivative_validation.source_ids[8],215
derivative_validation.source_ids[9],1014
derivative_validation.source_ids[10],19
derivative_validation.source_ids[11],409
derivative_validation.source_ids[12],737
derivative_validation.source_ids[13],571
derivative_validation.source_ids[14],7
derivative_validation.source_ids[15],635
derivative_validation.rows[0].candidate,7
derivative_validation.rows[0].rank,high
derivative_validation.rows[0].center[0],0.07914243026299168
derivative_validation.rows[0].center[1],0.7478410544690011
derivative_validation.rows[0].center[2],-0.24319251306233408
derivative_validation.rows[0].radius,0.45
derivative_validation.rows[0].analytic_norm,1622.3866867212864
derivative_validation.rows[0].passed,True
derivative_validation.rows[0].epsilons[0].epsilon,0.001
derivative_validation.rows[0].epsilons[0].relative_l2,0.024614494399157378
derivative_validation.rows[0].epsilons[0].cosine,0.9996976369570476
derivative_validation.rows[0].epsilons[0].norm_ratio,0.9985846805228202
derivative_validation.rows[0].epsilons[0].sign_agreement,0.9984947315604616
derivative_validation.rows[0].epsilons[1].epsilon,0.0001
derivative_validation.rows[0].epsilons[1].relative_l2,0.00027318659695525814
derivative_validation.rows[0].epsilons[1].cosine,0.9999999626953845
derivative_validation.rows[0].epsilons[1].norm_ratio,0.9999953061907311
derivative_validation.rows[0].epsilons[1].sign_agreement,1.0
derivative_validation.rows[0].epsilons[2].epsilon,1e-05
derivative_validation.rows[0].epsilons[2].relative_l2,9.961348428831285e-06
derivative_validation.rows[0].epsilons[2].cosine,0.9999999999749195
derivative_validation.rows[0].epsilons[2].norm_ratio,0.9999929954894928
derivative_validation.rows[0].epsilons[2].sign_agreement,1.0
derivative_validation.rows[0].epsilons[3].epsilon,1e-06
derivative_validation.rows[0].epsilons[3].relative_l2,9.63145016635191e-06
derivative_validation.rows[0].epsilons[3].cosine,0.9999999999781768
derivative_validation.rows[0].epsilons[3].norm_ratio,0.9999929915179974
derivative_validation.rows[0].epsilons[3].sign_agreement,1.0
derivative_validation.rows[1].candidate,14
derivative_validation.rows[1].rank,medium
derivative_validation.rows[1].center[0],0.10032073299168401
derivative_validation.rows[1].center[1],0.24276667953793815
derivative_validation.rows[1].center[2],0.0425322451566001
derivative_validation.rows[1].radius,0.31819805153394637
derivative_validation.rows[1].analytic_norm,661.9630186180568
derivative_validation.rows[1].passed,True
derivative_validation.rows[1].epsilons[0].epsilon,0.001
derivative_validation.rows[1].epsilons[0].relative_l2,0.0017538729951346883
derivative_validation.rows[1].epsilons[0].cosine,0.9999991332466797
derivative_validation.rows[1].epsilons[0].norm_ratio,0.9988404423505282
derivative_validation.rows[1].epsilons[0].sign_agreement,0.9994505494505495
derivative_validation.rows[1].epsilons[1].epsilon,0.0001
derivative_validation.rows[1].epsilons[1].relative_l2,1.1825629307395638e-05
derivative_validation.rows[1].epsilons[1].cosine,0.9999999999585557
derivative_validation.rows[1].epsilons[1].norm_ratio,0.9999924528894075
derivative_validation.rows[1].epsilons[1].sign_agreement,1.0
derivative_validation.rows[1].epsilons[2].epsilon,1e-05
derivative_validation.rows[1].epsilons[2].relative_l2,1.1826854468144842e-07
derivative_validation.rows[1].epsilons[2].cosine,0.9999999999999947
derivative_validation.rows[1].epsilons[2].norm_ratio,0.9999999245176836
derivative_validation.rows[1].epsilons[2].sign_agreement,1.0
derivative_validation.rows[1].epsilons[3].epsilon,1e-06
derivative_validation.rows[1].epsilons[3].relative_l2,1.3327105010106482e-09
derivative_validation.rows[1].epsilons[3].cosine,0.9999999999999994
derivative_validation.rows[1].epsilons[3].norm_ratio,0.9999999991631581
derivative_validation.rows[1].epsilons[3].sign_agreement,1.0
derivative_validation.rows[2].candidate,9
derivative_validation.rows[2].rank,weak
derivative_validation.rows[2].center[0],-0.5642858638818717
derivative_validation.rows[2].center[1],0.2950820402168888
derivative_validation.rows[2].center[2],-0.07241847329651731
derivative_validation.rows[2].radius,0.31819805153394637
derivative_validation.rows[2].analytic_norm,423.8886127022549
derivative_validation.rows[2].passed,True
derivative_validation.rows[2].epsilons[0].epsilon,0.001
derivative_validation.rows[2].epsilons[0].relative_l2,0.00028477024632272914
