experiment,name,centers,scalar_dofs,initial_mse,final_mse,radial_mae,seconds
fixed,scalar,12,12,0.026096154011556776,0.013032563851089864,0.0071696258510706625,6.360714515903965
fixed,p0,12,12,0.026096154011556776,0.0116819326796187,0.0067866770713517904,11.38026699400507
fixed,p1,4,12,0.026096154011556776,0.019152802003288522,0.009647371245498705,11.035217483062297
fixed,p2,2,12,0.026096154011556776,0.02098372978817004,0.010640248119982472,10.838806503918022
fixed,scalar,24,24,0.026096154011556776,0.0025686276754140662,0.003242087863953613,9.046959230909124
fixed,p0,24,24,0.026096154011556776,0.0020641670886277098,0.002929571451250372,11.491688045905903
fixed,p1,8,24,0.026096154011556776,0.006492756379545135,0.005260703045352521,11.027022068854421
fixed,p2,4,24,0.026096154011556776,0.0165092402193912,0.00914171703613709,10.82547939592041
birth,loss_driven,1,6,0.026096154011556776,0.02293502220342052,0.011241778118620762,8.682912105927244
birth,loss_driven,2,12,0.02293502220342052,0.015115970127348043,0.009642923271143912,8.61680760094896
birth,loss_driven,3,18,0.015115970127348043,0.011032057486177964,0.006930120360860076,8.555516290012747
birth,random,1,6,0.026096154011556776,0.02293502220342052,0.01124177811862076,8.497949481010437
birth,random,2,12,0.02293502220342052,0.021978945410810528,0.010662104473167518,9.212905928026885
birth,random,3,18,0.021978945410810524,0.020019476164733683,0.010090638221564516,8.275884818052873
birth,uniform,1,6,0.026096154011556776,0.02293502220342052,0.01124177811862076,8.317881271941587
birth,uniform,2,12,0.02293502220342052,0.020978723329629398,0.010678111092858182,8.49533538799733
birth,uniform,3,18,0.020978723329629398,0.018394596796847608,0.008917929192188593,8.54369567008689
