run,centers,order,iteration,mse,all_view_mse,genus,components,gradient_min,gradient_p01,chart_denominator_min,active_coefficients,coefficient_l2,coefficient_abs_max,accepted
A_dense_real_torus,128,0,0,0.019381408122580598,0.04408737364080951,0,1,1.9999999999999996,1.9999999999999998,1.9999999999999996,0,0.0,0.0,True
A_dense_real_torus,128,0,1,0.015542154459534942,0.04204060434591452,0,1,1.803330584906438,1.8170667714584718,1.7931003845201545,128,0.1084606469886746,0.03457972396614966,True
A_dense_real_torus,128,0,2,0.014030946226043861,0.041047773898383356,0,1,1.7395242918143379,1.7557637789621712,1.7195480190036811,128,0.14517927967875727,0.03616658825512488,True
A_dense_real_torus,128,0,3,0.0132172841651886,0.04038228842323191,0,1,1.7011823578571141,1.720019595687818,1.6667096491553188,128,0.18012165808808198,0.04382792100445469,True
A_dense_real_torus,128,0,4,0.012683910515985566,0.04002679982435896,0,1,1.6910934921906247,1.7101767050365826,1.6647891225839018,128,0.187800463515319,0.044070578033321095,final
B_sphere_like,128,0,0,0.0015951293930221442,0.0015792678222594748,0,1,1.9999999999999996,1.9999999999999998,1.9999999999999996,0,0.0,0.0,True
B_sphere_like,128,0,1,0.00040698031303046676,0.0004450635647823798,0,1,1.9319242340616658,1.9433485335621257,1.9292085636120686,128,0.04671569275052245,0.013706507097861888,True
B_sphere_like,128,0,2,0.00022949387431745762,0.0003087727124054109,0,1,1.9230576436996916,1.9309985661808722,1.921022310603998,128,0.05973215910431692,0.017406760966487307,final
C_weak_torus,128,0,0,0.09349930467726732,0.04408737364080951,0,1,1.9999999999999996,1.9999999999999998,1.9999999999999996,0,0.0,0.0,True
C_weak_torus,128,0,1,0.08640221662100984,0.041252654305278406,0,1,1.7044052612434708,1.7173243764225812,1.6606092389495013,128,0.27357334520238646,0.09792891015165855,True
C_weak_torus,128,0,2,0.08190328063755493,0.038662600173556834,0,1,1.4738795166043415,1.4987267781693685,1.2815934722871265,128,0.46985469858270934,0.14672676206387641,final
D_density_32,32,0,0,0.019381408122580598,0.04408737364080951,0,1,1.9999999999999996,1.9999999999999998,1.9999999999999996,0,0.0,0.0,True
D_density_32,32,0,1,0.016442404604920743,0.04268607912359193,0,1,1.853745368482084,1.8712567944119107,1.843751646452453,32,0.11002473247282939,0.055401972305391976,True
D_density_32,32,0,2,0.014537639498009012,0.04171891968568045,0,1,1.7468080047810974,1.7661346956320394,1.6973267938871985,32,0.20147015712954935,0.1286147524947331,final
D_density_64,64,0,0,0.019381408122580598,0.04408737364080951,0,1,1.9999999999999996,1.9999999999999998,1.9999999999999996,0,0.0,0.0,True
D_density_64,64,0,1,0.016061907164753853,0.042559416017661424,0,1,1.8206494583579795,1.838056671845344,1.8045522022909937,64,0.10748629202196137,0.03611517630643327,True
D_density_64,64,0,2,0.014102890845161559,0.04120562257883566,0,1,1.723364209979603,1.7415465359792255,1.6763142614653497,64,0.16784074321557776,0.06444480238549818,final
