phase,case,iteration,K,order,parameters,radius,mse_or_rmse,genus,components,watertight,min_gradient,chart_denominator,root_multi_fraction,effective_rank,oracle_gradient_cosine,oracle_projection_fraction,accepted
capacity,K128_p0_r0.8,,128,0,128,0.8,0.37707933908135866,0,1,True,,,,,,,
capacity,K128_p0_r1.1,,128,0,128,1.1,0.26392718996943687,0,1,True,,,,,,,
capacity,K128_p0_r1.35,,128,0,128,1.35,0.27514075381806824,0,1,True,,,,,,,
capacity,K256_p0_r1.1,,256,0,256,1.1,0.2616814924174409,0,1,True,,,,,,,
capacity,K256_p0_r1.35,,256,0,256,1.35,0.2729048709549675,,1,False,,,,,,,
capacity,K512_p0_r1.1,,512,0,512,1.1,0.2609828444056808,0,1,True,,,,,,,
capacity,K512_p0_r1.35,,512,0,512,1.35,0.27200878198109696,,1,False,,,,,,,
capacity,K1024_p0_r1.1,,1024,0,1024,1.1,0.2607439615081438,0,1,True,,,,,,,
capacity,K1024_p0_r1.35,,1024,0,1024,1.35,0.27167058784559117,,1,False,,,,,,,
capacity,K256_p1_r1.1,,256,1,768,1.1,0.21687757059870372,1,1,True,,,,,,,
capacity,K128_p2_r1.1,,128,2,768,1.1,0.14733601991677567,1,1,True,,,,,,,
penetration,same_family_genus1,0,256,1,768,1.1,0.17272083729839496,0,1,True,1.9999999999999996,1.9999999999999996,0.0,298,0.0018959610797648309,0.6106967602014416,True
penetration,same_family_genus1,1,256,1,768,1.1,0.1561542320993376,0,1,True,1.3360092243083428,1.3029608453883583,0.0,295,0.0037096287488270706,0.5761545215517321,True
penetration,same_family_genus1,2,256,1,768,1.1,0.14552841467742972,0,1,True,1.0218570622179453,0.7513772160747819,0.0,257,0.00993768746011731,0.4620509646832386,True
penetration,same_family_genus1,3,256,1,768,1.1,0.13993870207400783,0,1,True,1.0562691025729434,0.32353063548869804,0.0,243,-0.008676069698722949,0.44542098508364913,True
penetration,same_family_genus1,4,256,1,768,1.1,0.13887512198711802,0,1,True,1.0931562936812353,0.21142977196461588,0.0,251,-0.004461811651944769,0.4938887723533674,True
penetration,same_family_genus1,5,256,1,768,1.1,0.13831992672939708,0,1,True,1.121640329322856,0.13671338557179777,0.0,254,0.007838549310756554,0.4850269996144627,False
control,control_same_topology,0,256,1,768,1.1,0.0015629130582600272,0,1,True,1.9999999999999996,,0.0,,,,True
control,control_same_topology,1,256,1,768,1.1,0.0002140963552550273,0,1,True,1.89208298746962,,0.0,,,,True
control,control_same_topology,2,256,1,768,1.1,8.093493456340641e-05,0,1,True,1.878953865378032,,0.0,,,,True
control,control_same_topology,3,256,1,768,1.1,4.208215628951322e-05,0,1,True,1.8818349786851363,,0.0,,,,True
control,control_same_topology,4,256,1,768,1.1,2.9227807497774318e-05,0,1,True,1.8844297487828654,,0.0,,,,True
control,control_same_topology,5,256,1,768,1.1,2.545859721081635e-05,0,1,True,1.8830638428408524,,0.0,,,,final
control,control_weak_view,0,256,1,768,1.1,0.16779810010442087,0,1,True,1.9999999999999996,,0.0,,,,True
control,control_weak_view,1,256,1,768,1.1,0.1664758773161916,0,1,True,1.5614373353479654,,0.0,,,,True
control,control_weak_view,2,256,1,768,1.1,0.16572230107683728,0,1,True,1.2158794065222678,,0.0,,,,True
control,control_weak_view,3,256,1,768,1.1,0.16510706636860847,0,1,True,1.0022765859148752,,0.0,,,,True
control,control_weak_view,4,256,1,768,1.1,0.1647901979697305,0,1,True,0.9934089057009877,,0.0,,,,True
control,control_weak_view,5,256,1,768,1.1,0.16423956779555438,0,1,True,0.9939276667606165,,0.0,,,,final
