phase,case,step,resolution,sources,mse,genus,gradient_oracle_cosine,oracle_alpha_star,oracle_response_normalized,oracle_range_projection,rank,condition,min_gradient,min_chart,multi_root_fraction
observation,512x512_16K,,512x512,16384,1.1526012327018975,0,-0.003950902553741098,-0.0002024017160874235,3.132497098003419,0.05787314529817208,32,11.255788551065352,,,
observation,1024x1024_16K,,1024x1024,16384,4.494320462495123,0,-0.0009790269484413236,-1.1934109519173459e-05,12.930449731177191,0.05177488051717075,32,11.276397544728383,,,
observation,512x512_64K,,512x512,65536,0.3870694293031596,0,-0.0016278262902724384,-0.0001769468465752803,1.4015075997489628,0.05397163221244043,32,11.175007568333555,,,
observation,1024x1024_64K,,1024x1024,65536,1.1276031823492367,0,-0.0013438805706196043,-1.6762848885918e-05,6.262975562234469,0.0522508056587283,32,11.336759880168675,,,
observation,1920x1080_64K,,1920x1080,65536,2.2077336532265064,0,-0.00903886879636207,-6.809077842936226e-05,14.210881235204784,0.053529416035223945,32,10.676442007737478,,,
optimization,sphere_start,0,1024x1024,16384,4.494320462495123,0,,,,,,,1.9999999999999996,1.9999999999999996,0.0
optimization,sphere_start,1,1024x1024,16384,4.4928179043045136,0,,,,,,,1.9853178606499824,1.9852901966102152,0.0
optimization,sphere_start,2,1024x1024,16384,4.487800770062759,0,,,,,,,1.9777121017014088,1.9776593051330444,0.0
optimization,sphere_start,3,1024x1024,16384,4.484684666661956,0,,,,,,,1.973886165803738,1.9738180555999822,0.0
optimization,sphere_start,4,1024x1024,16384,4.483117101954092,0,,,,,,,1.973478711773022,1.9734111228270772,0.0
optimization,sphere_start,5,1024x1024,16384,4.191375018350496,0,,,,,,,1.178736292684817,1.0684941558093661,0.0
optimization,sphere_start,6,1024x1024,16384,4.175546274429513,0,,,,,,,1.17551813141886,1.070545764980136,0.0
optimization,sphere_start,7,1024x1024,16384,4.174845358567985,0,,,,,,,1.171189692860808,1.0704390109654722,0.0
optimization,sphere_start,8,1024x1024,16384,4.172212378013656,0,,,,,,,1.1682821708117266,1.0674292377640326,0.0
optimization,sphere_start,9,1024x1024,16384,4.169878427612449,0,,,,,,,1.1682428325089163,1.0674339310103933,0.0
optimization,sphere_start,10,1024x1024,16384,4.166864928064652,0,,,,,,,1.1683744891156647,1.0682054633948566,0.0
optimization,sphere_start,11,1024x1024,16384,4.166594511736679,0,,,,,,,1.168558062380436,1.068582913530813,0.0
optimization,sphere_start,12,1024x1024,16384,4.124318233343671,0,,,,,,,1.016128034172898,0.8643391364086673,0.0
optimization,sphere_start,13,1024x1024,16384,4.121614369617398,0,,,,,,,1.014467459539226,0.8400902529103392,0.0
optimization,sphere_start,14,1024x1024,16384,4.120939824852326,0,,,,,,,1.016583075435339,0.843650697489819,0.0
optimization,sphere_start,15,1024x1024,16384,4.111396517891179,0,,,,,,,1.011615934986324,0.8387512979496111,0.0
optimization,sphere_start,16,1024x1024,16384,4.110722887810659,0,,,,,,,1.0111474182220006,0.8386116283153836,0.0
optimization,sphere_start,17,1024x1024,16384,4.109519845697218,0,,,,,,,1.011145692218446,0.8386172632452048,0.0
optimization,sphere_start,18,1024x1024,16384,4.108832539973911,0,,,,,,,1.011110652426253,0.8385623613645778,0.0
optimization,sphere_start,19,1024x1024,16384,4.101313368240232,0,,,,,,,0.9887544827431847,0.7956587435379973,0.0
optimization,sphere_start,20,1024x1024,16384,4.099365316290151,0,,,,,,,0.9882385385621656,0.7948727759386598,0.0
oracle_path,theta=t theta_T,0.0,1024x1024,16384,4.494320462495123,0,-0.0009790269484413324,,,,,,1.9999999999999996,1.9999999999999996,0.0
oracle_path,theta=t theta_T,0.25,1024x1024,16384,4.712090817364213,0,-0.0013278552703379362,,,,,,0.7062454860511208,0.5296327481325582,0.0
oracle_path,theta=t theta_T,0.5,1024x1024,16384,5.018487106319834,0,-0.009342821636403759,,,,,,0.7716631386681531,0.3921170068732704,0.0
oracle_path,theta=t theta_T,0.6,1024x1024,16384,5.059206211644593,0,-0.0011895940810083667,,,,,,0.9054083728758031,0.0008453488253375996,0.0
oracle_path,theta=t theta_T,0.65,1024x1024,16384,5.103039711573776,0,0.019279720754442974,,,,,,0.9443632460604079,0.0004756124909649495,0.00390625
oracle_path,theta=t theta_T,0.7,1024x1024,16384,5.170386713785579,0,0.0125561166527534,,,,,,0.6987154649434327,3.10939555975084e-05,0.009765625
oracle_path,theta=t theta_T,0.725,1024x1024,16384,5.150425129047279,0,0.0088332356943765,,,,,,0.3763482161865926,0.00014387047235146343,0.013671875
oracle_path,theta=t theta_T,0.74,1024x1024,16384,5.125043812275211,1,0.015013118695046079,,,,,,0.5027433895583872,0.00013692029972012503,0.017578125
oracle_path,theta=t theta_T,0.75,1024x1024,16384,5.126427928013203,1,0.012517266063684564,,,,,,0.6786237891550648,6.112271738379672e-05,0.021484375
oracle_path,theta=t theta_T,0.8,1024x1024,16384,5.11305799974991,1,0.0044310422675333415,,,,,,1.201032052946377,4.972154246167537e-05,0.025390625
oracle_path,theta=t theta_T,1.0,1024x1024,16384,4.890347478613305e-26,1,,,,,,,1.2968032719384999,0.00023344516898353776,0.041015625
